Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0.00312265,0.996877,1,46.744,4.486,0.095,0.682,3
7.38E-16,1,1,127.4,13.25,0.079,0.589,4
0.885723,0.114277,0,29.508,3.165,0.064,0.904,3
0.905588,0.0944117,1,21.149,0,0,1,1
1.86E-06,0.999998,1,72.029,8.751,0.089,0.642,4
0.99664,0.00335976,0,25.409,4.957,0.184,0.495,8
0.987723,0.0122775,0,24.584,4.549,0.145,0.532,4
0.438011,0.561989,0,47.901,9.888,0.194,0.511,6
0.570533,0.429467,0,36.218,5.673,0.132,0.525,5
3.06E-22,1,1,169.632,15.984,0.059,0.622,11
0.996325,0.00367532,0,20.059,2.928,0.127,0.783,2
0.997192,0.00280827,0,27.464,5.659,0.183,0.62,7
0.991135,0.00886473,0,23.084,3.343,0.143,0.574,6
0.99839,0.00161008,0,23.106,4.888,0.178,0.561,6
0.992276,0.00772355,0,20.363,2.344,0.09,0.561,7
1.55E-05,0.999985,1,51.256,1.797,0.034,0.723,2
0.942284,0.0577161,0,30.502,4.326,0.12,0.638,7
0.997033,0.00296727,0,21.51,3.766,0.162,0.751,2
0.982497,0.0175028,0,20.904,1.977,0.08,0.799,2
0.841946,0.158054,0,33.328,5.564,0.157,0.575,4
0.993259,0.00674072,0,21.155,2.88,0.118,0.628,5
2.80E-07,1,1,61.411,1.116,0.002,0.997,2
0.96352,0.0364803,0,34.796,6.701,0.171,0.489,9
0.84981,0.15019,0,22.28,0,0,1,1
0,1,1,386.132,23.54,0.023,0.685,5
5.33E-28,1,1,224.064,29.127,0.094,0.534,8
0.967809,0.0321912,0,30.276,5.883,0.162,0.462,6
2.80E-16,1,1,137.97,15.916,0.099,0.778,4
0.929491,0.0705092,0,29.825,4.44,0.138,0.457,8
0.88821,0.11179,0,30.44,4.662,0.11,0.674,3
0.992831,0.00716874,0,26.838,4.77,0.153,0.702,5
0.146367,0.853633,1,36.815,3.843,0.082,0.648,4
0.0449975,0.955002,1,34.159,1.3,0.031,0.818,2
0.99537,0.00462957,0,27.551,6.305,0.218,0.445,6
0,1,1,262.833,13.564,0.03,0.762,4
0.000636778,0.999363,1,52.523,5.92,0.106,0.558,4
7.96E-23,1,1,172.841,16.998,0.053,0.637,8
0.0510256,0.948974,1,38.983,3.468,0.059,0.765,3
0.997059,0.00294082,0,22.271,4.214,0.175,0.669,3
0.0158137,0.984186,1,44.538,4.336,0.059,0.693,6
0.992807,0.00719269,0,30.946,6.45,0.195,0.638,6
0.998708,0.00129198,0,20.716,3.309,0.131,0.785,5
0.850807,0.149193,0,34.629,6.346,0.174,0.536,4
0.77972,0.22028,0,28.224,2.37,0.065,0.806,3
7.30E-06,0.999993,1,52.015,1.898,0.032,0.588,3
8.58E-09,1,1,94.929,13.099,0.115,0.763,4
0.967569,0.032431,0,33.82,6.81,0.189,0.603,5
0.860782,0.139218,0,30.784,4.787,0.147,0.492,5
0.987959,0.0120408,0,28.476,4.897,0.153,0.512,9
0.760765,0.239235,1,46.249,10.792,0.216,0.491,5
5.45E-24,1,1,158.511,8.316,0.029,0.781,4
0.605313,0.394687,0,34.35,3.949,0.068,0.873,3
0.361634,0.638366,0,45.975,9.272,0.191,0.519,4
0.742527,0.257473,0,41.506,7.809,0.158,0.468,9
0.965507,0.0344932,0,27.224,3.808,0.109,0.833,2
8.77E-09,1,1,93.737,13.726,0.122,0.61,3
8.08E-28,1,1,166.053,4.161,0.025,0.709,2
3.61E-16,1,1,147.681,21.052,0.132,0.668,4
0.000122355,0.999878,1,70.451,12.207,0.165,0.443,6
0.969051,0.0309486,0,21.726,2.592,0.112,0.52,4
0.995862,0.00413772,0,20.3,2.385,0.059,0.898,3
0.997479,0.00252098,0,21.213,3.955,0.158,0.675,3
