Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0.997256,0.00274415,0,49.682,11.171,0.208,0.112,150
0.999392,0.000607821,0,35.854,6.667,0.166,0.117,155
4.98E-27,1,1,170.987,23.149,0.101,0.192,150
0.9999,0.000100433,0,20.469,3.385,0.144,0.202,100
0.998243,0.0017572,0,26.043,4.572,0.164,0.17,83
0.999825,0.000174642,0,25.04,4.693,0.158,0.133,109
1,2.94E-07,0,21.576,5.276,0.229,0.149,138
0.999998,1.74E-06,0,25.271,5.869,0.199,0.166,139
0.999988,1.24E-05,0,20.263,3.737,0.169,0.122,123
0.000105241,0.999895,1,55.053,7.053,0.115,0.155,108
0.999458,0.000542072,0,35.81,6.777,0.167,0.116,153
0.989903,0.0100972,0,21.271,2.977,0.12,0.201,53
0.999813,0.000186945,0,20.394,3.885,0.164,0.148,76
0.999982,1.77E-05,0,21.071,4.078,0.179,0.162,111
0.999542,0.000458,0,36.187,7.474,0.188,0.112,136
0.998079,0.00192074,0,21.465,3.242,0.131,0.154,76
0.996743,0.00325695,1,20.73,2.651,0.097,0.208,78
1.10E-07,1,1,61.88,6.273,0.07,0.295,96
0.999827,0.000173324,0,36.435,7.93,0.193,0.143,137
0.87804,0.12196,0,27.367,3.716,0.116,0.175,63
0,1,1,380.088,54.522,0.119,0.159,209
5.22E-30,1,1,219.789,36.469,0.133,0.158,207
0.999997,2.92E-06,0,26.817,5.812,0.195,0.1,157
0.999765,0.000235276,0,23.424,4.594,0.166,0.168,84
1.82E-17,1,1,139.261,22.046,0.143,0.141,164
0.981151,0.0188487,0,30.427,5.112,0.15,0.173,82
0.999999,5.59E-07,0,29.797,6.859,0.205,0.106,184
0.999652,0.000347644,0,26.979,5.743,0.187,0.145,83
0.994997,0.00500257,1,39.894,7.194,0.151,0.131,154
0.959792,0.0402085,1,36.353,5.553,0.122,0.181,129
0.999945,5.53E-05,0,23.164,4.867,0.177,0.187,92
0.999662,0.000338343,0,20.937,3.975,0.167,0.198,65
0.999491,0.000508607,0,22.52,4.253,0.172,0.161,71
0,1,1,261.117,22.198,0.058,0.294,176
0.0457119,0.954288,1,49.567,7.111,0.12,0.157,139
0.999866,0.000133442,0,21.537,4.139,0.18,0.211,78
4.83E-27,1,1,171.502,22.782,0.088,0.187,169
0.995251,0.00474903,1,45.75,9.381,0.163,0.169,152
0.999483,0.000516533,0,20.831,3.307,0.134,0.154,87
0.999993,6.64E-06,0,23.991,5.473,0.207,0.148,115
0.0113007,0.988699,1,50.603,7.696,0.134,0.152,109
0.99939,0.000609727,0,30.937,6.878,0.203,0.157,82
0.999327,0.000673458,0,22.461,4.218,0.159,0.187,67
0.9999,0.000100077,0,40.615,9.563,0.214,0.118,144
1,4.07E-07,0,23.335,5.651,0.226,0.155,142
0.988333,0.0116672,0,30.362,4.451,0.126,0.235,107
0.310375,0.689625,1,52.983,7.852,0.111,0.171,192
3.43E-08,1,1,91.165,14.485,0.121,0.159,175
0.999961,3.93E-05,1,31.457,7.14,0.199,0.127,127
0.999717,0.000282942,0,32.851,6.738,0.175,0.139,127
0.999441,0.000559029,0,31.552,5.514,0.16,0.139,140
0.999158,0.00084215,1,45.564,10.835,0.215,0.103,131
5.46E-30,1,1,161.42,16.988,0.088,0.242,111
0.294195,0.705805,0,35.339,4.632,0.088,0.311,75
0.997381,0.00261854,0,43.834,9.261,0.193,0.108,143
0.991103,0.00889655,0,43.295,9.237,0.186,0.157,115
0.99804,0.00195967,0,27.139,4.938,0.158,0.162,85
0.999994,5.75E-06,0,25.713,5.384,0.181,0.153,144
0.998211,0.00178926,0,21.298,3.432,0.141,0.173,66
1.59E-05,0.999984,1,92.337,18.156,0.17,0.112,173
1.48E-24,1,1,167.83,23.741,0.128,0.141,186
6.99E-16,1,1,148.731,27.229,0.16,0.131,176
0.0819401,0.91806,1,71.969,14.086,0.18,0.139,191
0.999979,2.12E-05,0,25.28,6.164,0.226,0.166,86
0.999482,0.000517592,0,22.936,3.81,0.145,0.156,94
0.99979,0.000209967,0,22.088,3.342,0.134,0.159,114
0.999943,5.72E-05,0,27.326,6.571,0.22,0.144,85
0.999838,0.000161624,0,66.599,16.785,0.23,0.086,222
0.998924,0.00107597,0,64.221,16.301,0.235,0.099,177
0.999897,0.000102751,0,38.828,9.122,0.219,0.13,134
0.999996,3.67E-06,0,26.161,5.506,0.19,0.141,152
0.99999,1.01E-05,0,21.639,4.195,0.161,0.144,128
0.999706,0.000294355,0,25.19,4.824,0.171,0.135,96
0.98031,0.0196901,0,41.875,8.405,0.175,0.13,115
0.999602,0.000398149,0,31.512,6.452,0.184,0.128,114
0.999995,5.27E-06,0,21.88,4.715,0.201,0.146,118
0.999982,1.84E-05,0,27.081,6.011,0.204,0.127,121
0.999961,3.91E-05,0,26.888,5.674,0.188,0.136,119
0.999812,0.000187828,0,20.18,3.09,0.124,0.205,99
0.949987,0.0500126,0,36.99,6.64,0.157,0.152,97
3.92E-13,1,1,100.24,12.691,0.109,0.2,150
0.997771,0.00222887,0,31.112,5.885,0.173,0.138,100
0,1,1,275.375,24.63,0.061,0.251,152
0.983263,0.0167371,0,33.119,5.901,0.147,0.164,93
0.999906,9.40E-05,0,21.847,3.459,0.126,0.17,121
0.999833,0.000166716,0,21.977,3.929,0.154,0.153,96
0.995291,0.00470892,0,31.551,4.681,0.134,0.135,136
0.999816,0.000183811,0,28.828,5.092,0.157,0.132,140
1.42E-14,1,1,101.092,10.941,0.069,0.234,163
0.0351573,0.964843,1,43.694,6.061,0.11,0.171,99
4.45E-15,1,1,102.242,11.923,0.089,0.281,121
2.94E-05,0.999971,1,72.827,12.09,0.139,0.145,140
0.712451,0.287549,1,58.844,12.281,0.182,0.139,146
0.0282782,0.971722,0,49.191,6.921,0.114,0.163,133
0.999997,2.75E-06,0,20.787,3.718,0.157,0.138,154
0.999966,3.40E-05,1,20.092,3.755,0.162,0.143,104
0.999751,0.000249243,0,41.142,9.567,0.208,0.136,135
2.58E-06,0.999997,1,90.462,15.46,0.138,0.152,204
0.999855,0.000144984,0,48.087,12.084,0.23,0.105,148
0.84418,0.15582,1,42.199,7.596,0.149,0.155,110
0.999397,0.000602819,0,27.284,4.789,0.142,0.158,113
0.992121,0.00787883,0,22.145,2.73,0.11,0.158,80
3.31E-26,1,1,143.937,14.793,0.067,0.198,121
0.000409307,0.999591,0,58.459,8.246,0.121,0.158,132
0.99989,0.000110038,1,28.318,5.927,0.178,0.142,113
0.996391,0.00360919,1,23.095,3.344,0.125,0.184,80
0.999395,0.000604741,0,21.492,3.432,0.14,0.146,88
0.999953,4.73E-05,0,20.49,3.55,0.147,0.145,112
0.999998,1.63E-06,0,30.923,7.065,0.209,0.119,172
0.99997,2.99E-05,0,22.72,4.389,0.166,0.14,117
0.524247,0.475753,0,65.677,13.156,0.175,0.106,190
0.00121124,0.998789,0,60.283,9.42,0.121,0.176,134
0.99647,0.00353027,0,44.575,9.182,0.193,0.119,148
0.994749,0.00525086,0,25.927,3.569,0.118,0.153,104
0.999989,1.08E-05,0,27.722,7.189,0.238,0.148,94
0.99478,0.00522019,0,27.36,3.808,0.12,0.229,106
0.994442,0.00555775,0,39.069,7.66,0.18,0.129,124
4.11E-38,1,1,248.449,38.349,0.117,0.202,184
0.90305,0.0969499,0,91.643,23.64,0.236,0.099,203
0.999398,0.00060177,0,53.117,13.242,0.226,0.115,149
0.999661,0.00033893,0,47.495,10.203,0.186,0.106,191
0.999788,0.000212563,0,29.391,5.427,0.165,0.141,132
0.99992,7.96E-05,0,28.997,5.241,0.165,0.113,151
0.999997,3.42E-06,0,23.871,5.287,0.192,0.152,132
0.999545,0.000455161,0,24.242,4.639,0.156,0.163,84
0.946406,0.0535941,1,46.837,8.26,0.142,0.138,165
0.992015,0.0079851,0,45.111,9.366,0.184,0.125,137
0.999709,0.000290635,0,31.643,6.197,0.161,0.131,132
0.999977,2.29E-05,0,24.509,5.26,0.194,0.171,108
0.987071,0.0129291,0,20.021,2.517,0.11,0.181,52
0.895588,0.104412,0,34.875,5.414,0.121,0.195,99
0.999675,0.000324802,0,30.713,5.948,0.178,0.138,123
0.99828,0.00172043,0,23.526,3.704,0.133,0.158,87
1.31E-12,1,1,113.674,18.196,0.131,0.141,163
0.999894,0.000105965,0,49.485,10.887,0.19,0.109,211
0.99807,0.0019299,0,47.35,10.789,0.204,0.143,138
0.9974,0.00260002,0,32.369,5.986,0.159,0.134,112
0.999998,2.07E-06,0,30.31,6.932,0.21,0.097,167
0.999983,1.68E-05,1,36.93,8.454,0.209,0.133,162
0.999482,0.000518326,0,31.967,6.44,0.181,0.149,114
0.994774,0.00522563,1,46.506,9.683,0.184,0.129,150
0.074439,0.925561,1,44.36,5.923,0.1,0.203,122
0.99923,0.000769602,0,26.522,5.475,0.186,0.191,69
0.999749,0.000250969,0,21.43,4.503,0.19,0.236,52
0.179798,0.820202,1,38.655,5.076,0.105,0.187,98
0.999836,0.000164103,0,33.438,6.237,0.164,0.117,161
0.999839,0.000160779,0,26.481,5.248,0.186,0.178,101
0.999996,3.84E-06,0,28.298,6.426,0.215,0.109,147
0.999902,9.77E-05,0,20.37,4.046,0.184,0.174,75
0.00249879,0.997501,1,98.447,22.669,0.203,0.096,186
0.99928,0.000720487,1,27.189,4.499,0.133,0.204,115
0.00165404,0.998346,1,62.109,8.915,0.119,0.163,176
0.999994,6.21E-06,0,34.763,8.165,0.214,0.105,163
0.992472,0.00752788,0,22.47,3.45,0.134,0.178,57
0.931904,0.068096,0,28.861,3.942,0.117,0.168,84
0.760146,0.239854,0,27.45,3.527,0.104,0.27,50
0.999997,2.91E-06,0,32.866,9.254,0.265,0.157,107
0.99731,0.00269005,0,27.044,5.123,0.154,0.176,73
0.999938,6.22E-05,0,24.022,3.873,0.134,0.145,141
3.93E-21,1,1,122.187,13.181,0.082,0.265,95
0.998901,0.00109852,1,35.941,6.114,0.146,0.145,164
6.22E-12,1,1,132.1,25.23,0.151,0.159,187
0.999072,0.000928067,0,33.056,6.59,0.173,0.121,117
0.996954,0.00304629,0,31.267,4.989,0.147,0.137,128
0.999879,0.000120767,0,22.291,3.71,0.138,0.154,114
0.0048513,0.995149,1,63.592,11.244,0.138,0.189,136
0.0307727,0.969227,1,54.359,8.614,0.139,0.143,141
0.99768,0.00231977,0,42.094,8.609,0.174,0.148,144
0.997721,0.00227924,0,29.558,5.548,0.168,0.135,93
0.999439,0.000561319,0,43.307,9.605,0.2,0.107,150
0.998208,0.00179207,0,41.38,8.45,0.184,0.112,146
0.999966,3.37E-05,0,20.509,4.091,0.182,0.146,95
