Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0.0840281,0.915972,0,39.638,7.626,0.174,0.525,4
0.0339426,0.966057,0,34.832,4.153,0.062,0.842,3
0.048934,0.951066,0,20.417,0,0,1,1
0.0239876,0.976012,0,22.378,0,0,1,1
0.543746,0.456254,0,25.055,3.753,0.116,0.614,3
1.42E-11,1,1,97.781,4.578,0.026,0.829,4
0.983459,0.0165407,0,39.055,7.369,0.175,0.444,7
0.997456,0.00254378,0,21.979,4.502,0.197,0.617,5
0.339539,0.660461,0,20.791,1.472,0.033,0.945,2
0.000390515,0.99961,1,46.744,4.486,0.095,0.682,3
9.33E-16,1,1,127.4,13.25,0.079,0.589,4
0.189018,0.810982,0,29.508,3.165,0.064,0.904,3
0.0375829,0.962417,1,21.149,0,0,1,1
5.02E-07,1,1,72.029,8.751,0.089,0.642,4
0.999983,1.70E-05,0,25.409,4.957,0.184,0.495,8
0.314986,0.685014,0,47.901,9.888,0.194,0.511,6
0.15708,0.84292,0,23.723,2.29,0.096,0.712,2
5.54E-16,1,1,169.632,15.984,0.059,0.622,11
0.49647,0.50353,0,20.059,2.928,0.127,0.783,2
0.999647,0.000352468,0,20.31,2.321,0.09,0.563,6
4.48E-06,0.999995,1,51.256,1.797,0.034,0.723,2
0.948121,0.0518792,0,29.482,4.187,0.12,0.659,5
0.347269,0.652731,0,20.904,1.977,0.08,0.799,2
0.402538,0.597462,0,33.328,5.564,0.157,0.575,4
1.08E-08,1,1,61.233,0,0,1,1
0.999756,0.000244226,0,32.695,5.774,0.151,0.516,8
0.0248674,0.975133,0,22.28,0,0,1,1
0,1,1,386.132,23.54,0.023,0.685,5
1.38E-26,1,1,224.064,29.127,0.094,0.534,8
0.959027,0.0409728,0,21.962,2.507,0.103,0.572,4
1.24E-18,1,1,134.885,14.309,0.091,0.796,2
0.999685,0.00031512,0,26.599,3.901,0.133,0.498,7
0.162921,0.837079,0,30.44,4.662,0.11,0.674,3
0.102211,0.897789,1,36.815,3.843,0.082,0.648,4
0.00280136,0.997199,1,34.159,1.3,0.031,0.818,2
1.04E-37,1,1,253.533,8.163,0.026,0.789,3
0.00186508,0.998135,1,42.697,4.759,0.104,0.647,3
7.22E-20,1,1,170.072,14.573,0.05,0.647,7
0.00587279,0.994127,1,38.983,3.468,0.059,0.765,3
0.823663,0.176337,0,22.271,4.214,0.175,0.669,3
0.0146062,0.985394,1,36.569,3.218,0.055,0.83,3
0.993963,0.00603745,0,30.946,6.45,0.195,0.638,6
0.997994,0.00200645,0,20.716,3.309,0.131,0.785,5
0.325163,0.674837,0,34.629,6.346,0.174,0.536,4
0.980319,0.0196813,0,22.256,5.412,0.237,0.506,4
0.133823,0.866177,0,23.956,1.509,0.032,0.932,2
2.48E-05,0.999975,1,52.015,1.898,0.032,0.588,3
7.92E-10,1,1,84.677,10.052,0.082,0.848,3
0.731101,0.268899,0,29.901,5.367,0.17,0.672,4
0.919016,0.0809835,0,30.784,4.787,0.147,0.492,5
0.999993,6.98E-06,0,28.476,4.897,0.153,0.512,9
0.0247001,0.9753,1,44.257,9.617,0.206,0.512,4
3.18E-21,1,1,158.511,8.316,0.029,0.781,4
0.0118409,0.988159,0,45.975,9.272,0.191,0.519,4
0.999608,0.00039168,0,34.861,7.13,0.179,0.523,8
0.0725669,0.927433,0,27.224,3.808,0.109,0.833,2
4.53E-11,1,1,93.737,13.726,0.122,0.61,3
1.10E-24,1,1,166.053,4.161,0.025,0.709,2
2.46E-18,1,1,147.681,21.052,0.132,0.668,4
0.000124071,0.999876,1,70.451,12.207,0.165,0.443,6
0.961908,0.0380919,0,21.726,2.592,0.112,0.52,4
0.863597,0.136403,0,20.3,2.385,0.059,0.898,3
0.86391,0.13609,0,21.213,3.955,0.158,0.675,3
0.00369348,0.996307,0,61.234,11.68,0.177,0.432,6
0.806667,0.193333,0,54.64,12.059,0.209,0.545,8
0.999798,0.000201897,0,32.838,6.377,0.161,0.612,8
0.999853,0.000147107,0,26.139,5.998,0.217,0.451,7
0.663823,0.336177,0,24.693,4.388,0.164,0.717,3
0.279207,0.720793,0,22.696,3.272,0.127,0.778,2
0.16572,0.83428,0,30.873,4.742,0.131,0.775,3
0.962435,0.0375651,0,23.86,4.959,0.201,0.628,4
0.743454,0.256546,0,27.026,1.643,0.047,0.708,4
7.74E-12,1,1,99.713,5.521,0.034,0.753,4
0.281512,0.718488,0,21.796,2.169,0.09,0.766,2
0,1,1,266.18,12.948,0.028,0.91,2
0.976925,0.0230753,0,33.868,6.638,0.165,0.445,6
0.150577,0.849423,0,37.256,6.375,0.161,0.557,4
0.322397,0.677603,0,22.185,3.254,0.121,0.81,2
0.493122,0.506878,0,32.614,5.862,0.161,0.604,4
0.00908142,0.990919,0,31.096,1.613,0.049,0.74,2
9.86E-15,1,1,98.14,0,0,1,1
0.00192752,0.998073,1,41.613,2.279,0.018,0.968,3
3.77E-07,1,1,101.16,8.799,0.059,0.76,9
0.00157804,0.998422,1,67.656,9.091,0.099,0.575,7
0.000129908,0.99987,1,52.481,9.515,0.154,0.63,3
2.52E-05,0.999975,0,46.841,2.072,0.044,0.707,2
0.836233,0.163767,0,20.466,2.082,0.087,0.731,3
0.837562,0.162438,0,40.737,8.228,0.187,0.558,6
3.04E-11,1,1,90.78,6.558,0.044,0.664,3
0.981815,0.0181855,0,39.785,7.984,0.181,0.487,7
0.125034,0.874966,1,36.868,4.834,0.083,0.703,4
0.13246,0.86754,0,31.032,4.127,0.106,0.761,3
0.809016,0.190984,0,28.066,5.156,0.159,0.506,4
0.0129068,0.987093,0,24.053,0,0,1,1
0.0410086,0.958991,0,20.908,0,0,1,1
9.38E-17,1,1,141.787,7.535,0.022,0.688,6
6.08E-05,0.999939,0,58.04,6.192,0.099,0.621,4
0.84686,0.15314,0,26.515,2.918,0.075,0.833,4
0.230014,0.769986,1,22.737,2.436,0.093,0.789,2
0.823422,0.176578,0,20.708,1.988,0.083,0.759,3
0.390414,0.609586,0,20.903,2.545,0.096,0.829,2
0.000413814,0.999586,0,66.351,11.019,0.118,0.462,6
0.00017801,0.999822,0,56.095,6.834,0.074,0.898,4
0.64079,0.359211,0,30.951,5.668,0.176,0.578,4
0.0145203,0.98548,0,23.736,0,0,1,1
0.384387,0.615613,0,26.636,3.184,0.109,0.686,3
0.988127,0.011873,0,31.487,5.435,0.144,0.507,6
5.62E-31,1,1,248.633,35.45,0.121,0.547,7
0.999997,3.10E-06,0,76.846,16.101,0.171,0.373,17
5.64E-05,0.999944,0,43.637,0.431,0.01,0.711,2
0.0413665,0.958634,0,29.551,5.052,0.167,0.719,2
0.0515216,0.948478,0,20.273,0,0,1,1
0.848492,0.151508,0,21.477,4.032,0.146,0.67,3
0.00043979,0.99956,1,48.067,7.389,0.145,0.613,3
0.996761,0.00323946,0,22.401,4.398,0.186,0.587,5
0.981131,0.0188686,0,26.797,4.656,0.151,0.523,5
0.0753764,0.924624,0,25.551,1.851,0.07,0.731,2
0.966484,0.0335163,0,21.41,1.61,0.047,0.885,4
0.0226837,0.977316,0,29.412,2.233,0.029,0.963,2
0.973881,0.0261189,0,27.89,4.365,0.135,0.693,5
5.85E-14,1,1,115.341,10.795,0.069,0.669,4
0.000104556,0.999895,0,43.933,3.147,0.065,0.767,2
0.997211,0.00278875,0,40.567,7.85,0.173,0.586,8
0.999994,6.28E-06,0,35.918,8.16,0.214,0.504,10
0.0125007,0.987499,0,31.293,2.856,0.071,0.834,2
0.0520422,0.947958,0,27.837,3.568,0.128,0.707,2
0.957295,0.0427047,1,36.291,7.457,0.192,0.487,6
0.444986,0.555014,1,37.414,3.98,0.09,0.648,5
0.00969406,0.990306,0,30.866,0.946,0.016,0.929,2
0.979781,0.0202188,0,20.785,3.359,0.146,0.571,4
1.26E-08,1,1,105.649,22.149,0.194,0.432,7
0.999989,1.06E-05,0,37.306,8.658,0.222,0.392,10
3.54E-07,1,1,59.625,3.868,0.022,0.969,2
0.00832851,0.991672,0,25.228,0,0,1,1
0.286176,0.713824,0,22.007,2.334,0.061,0.913,2
0.285654,0.714346,0,22.895,3.666,0.151,0.743,2
2.95E-13,1,1,115.85,8.472,0.043,0.85,5
0.534069,0.465931,1,24.631,2.252,0.06,0.846,3
1.49E-14,1,1,136.166,22.344,0.129,0.552,6
0.147799,0.852201,0,29.863,3.377,0.111,0.585,3
0.549828,0.450172,0,24.513,2.417,0.053,0.854,3
0.00691442,0.993086,1,57.474,7.402,0.096,0.67,6
0.00490938,0.995091,1,51.879,5.994,0.073,0.677,5
0.842342,0.157658,0,40.028,7.183,0.149,0.629,6
0.780573,0.219427,0,28.12,4.008,0.125,0.657,4
0.452808,0.547192,0,39.038,6.949,0.16,0.537,5
0.948993,0.0510074,0,29.088,4.118,0.135,0.507,5
0.966292,0.033708,0,21.936,3.207,0.107,0.619,4
0.135684,0.864316,1,35.699,3.712,0.083,0.575,4
0.0289861,0.971014,0,35.38,5.046,0.105,0.607,3
0.00569688,0.994303,0,32.02,0.516,0.008,0.932,2
0.987699,0.0123007,1,25.382,3.57,0.127,0.688,5
0.35603,0.64397,0,85.336,18.321,0.197,0.441,12
0.999677,0.000323208,0,60.751,14.878,0.232,0.357,12
0.753442,0.246558,0,41.486,7.546,0.145,0.567,6
0.0063078,0.993692,0,25.971,0,0,1,1
0.577953,0.422047,0,24.403,2.431,0.06,0.901,3
0.0102605,0.98974,0,42.426,2.61,0.046,0.699,4
0.998802,0.00119833,0,25.782,5.353,0.187,0.549,6
0.932524,0.0674761,0,24.505,3.627,0.13,0.706,4
0.975163,0.0248372,0,46.155,7.101,0.115,0.78,8
0.0012608,0.998739,0,42.859,3.179,0.055,0.749,3
0.0751764,0.924824,0,33.324,5.592,0.135,0.642,3
0.000436622,0.999563,0,47.958,7.338,0.135,0.604,3
0.55274,0.44726,0,31.736,5.071,0.127,0.751,4
0.50948,0.49052,0,64.205,13.399,0.174,0.484,9
0.981177,0.0188228,0,34.088,7.166,0.194,0.546,6
1.05E-32,1,1,207.976,0,0,1,1
0.762565,0.237435,0,48.878,11.05,0.213,0.426,7
0.99676,0.00324028,0,39.729,6.423,0.141,0.487,8
0.942418,0.0575817,0,30.924,5.836,0.182,0.605,5
0.980996,0.0190042,0,28.389,6.947,0.194,0.558,5
0.846201,0.153799,0,26.898,4.142,0.151,0.539,4
0.0273392,0.972661,1,35.138,4.389,0.083,0.641,3
0.0129886,0.987011,0,24.036,0,0,1,1
3.78E-11,1,1,115.985,12.744,0.073,0.623,7
3.45E-18,1,1,139.24,17.599,0.089,0.725,3
0.00700928,0.992991,0,39.537,5.67,0.114,0.589,3
0.896162,0.103838,0,32.338,5.37,0.129,0.732,5
1,1.90E-07,0,31.444,7.005,0.204,0.437,11
0.027496,0.972504,0,35.02,3.956,0.11,0.607,3
0.0930183,0.906982,0,24.495,0.972,0.031,0.835,2
1.26E-15,1,1,121.375,12.684,0.054,0.91,3
0.0571302,0.94287,1,45.266,6.216,0.127,0.505,5
