Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0,1,1,565.911,25.209,0.015,0.756,20
1.30E-21,1,1,202.67,12.222,0.04,0.398,21
0.998079,0.00192144,0,20.313,4.716,0.221,0.293,12
0.997732,0.00226836,0,26.314,5.96,0.204,0.287,16
0.999259,0.000741427,0,22.842,5.966,0.247,0.285,15
0.999163,0.000836995,0,20.299,5.1,0.235,0.28,14
0.936482,0.0635179,0,39.269,6.543,0.137,0.25,20
0.986707,0.0132931,0,30.329,5.524,0.153,0.262,17
0.991203,0.00879697,0,28.205,5.296,0.165,0.278,16
0.992995,0.00700522,0,22.662,4.268,0.169,0.312,12
2.98E-19,1,1,221.54,22.299,0.075,0.28,39
0.995214,0.00478563,0,25.97,5.618,0.195,0.279,14
0.997211,0.00278928,0,22.735,4.2,0.158,0.249,17
6.48E-26,1,1,242.916,16.763,0.032,0.738,17
8.74E-29,1,1,252.485,14.947,0.031,0.583,12
0.992939,0.00706064,0,30.209,6.968,0.203,0.283,14
0,1,1,692.49,27.932,0.02,0.668,15
0.0174797,0.98252,0,56.502,6.429,0.072,0.324,17
0.986246,0.0137544,0,24.274,4.121,0.127,0.293,13
0.994121,0.00587855,0,23.37,4.618,0.17,0.287,13
6.82E-08,1,1,169.19,29.795,0.148,0.196,50
0.990431,0.0095691,0,24.955,4.637,0.172,0.292,13
0.997616,0.00238411,0,21.852,4.503,0.177,0.266,15
0.990574,0.00942621,0,21.248,3.457,0.14,0.303,12
0.000235684,0.999764,1,77.294,8.583,0.079,0.274,22
0.979858,0.0201417,1,73.324,16.945,0.21,0.179,39
0.993709,0.00629115,0,24.068,4.934,0.193,0.307,12
0.998863,0.00113683,0,25.68,6.858,0.243,0.263,15
0.980378,0.0196224,0,20.635,2.765,0.097,0.371,10
0.986199,0.0138009,0,32.335,6.007,0.168,0.25,18
0.987685,0.0123145,0,32.953,6.695,0.184,0.252,17
0.978431,0.0215688,0,26.773,4.292,0.138,0.28,14
0.994881,0.00511864,0,26.733,5.929,0.185,0.282,14
0.930861,0.0691387,0,31.856,4.737,0.13,0.27,15
0.990973,0.00902749,0,26.935,5.023,0.168,0.277,15
0.990246,0.00975394,0,25.377,4.828,0.167,0.294,13
0.995922,0.00407795,0,21.94,4.423,0.176,0.286,13
0.969059,0.0309405,0,20.483,2.554,0.083,0.365,9
0.997375,0.00262472,0,20.145,4.323,0.201,0.297,12
1.88E-09,1,0,101.669,5.477,0.029,0.479,15
0.439931,0.560069,0,57.531,8.11,0.121,0.202,29
0.849876,0.150124,0,33.123,4.049,0.088,0.272,16
0.998739,0.00126066,0,21.745,5.501,0.227,0.301,13
0.986286,0.0137145,0,21.225,3.562,0.159,0.417,8
5.85E-13,1,1,131.158,9.73,0.032,0.627,8
0.993269,0.00673132,0,22.7,3.908,0.154,0.28,14
0,1,0,410.947,19.207,0.024,0.574,23
1.18E-15,1,1,155.62,9.01,0.041,0.424,21
0.981766,0.0182341,0,31.036,4.907,0.129,0.252,19
0.994818,0.00518181,0,21.73,3.755,0.157,0.287,14
0.997613,0.00238683,0,20.176,3.996,0.172,0.287,14
0.900228,0.0997718,0,39.29,6.8,0.146,0.269,17
0,1,1,673.793,26.545,0.02,0.541,16
0.594274,0.405726,0,24.75,0.723,0.02,0.672,4
1.67E-22,1,1,204.37,10.917,0.017,0.725,14
0.993665,0.00633513,0,34.218,6.933,0.174,0.231,21
0,1,1,415.631,17.613,0.015,0.776,14
0.972573,0.0274273,0,21.909,2.786,0.112,0.311,11
0.986031,0.0139691,0,21.8,3.473,0.14,0.313,11
0.991183,0.00881745,0,20.713,3.867,0.163,0.364,9
0.869583,0.130417,0,27.579,2.978,0.094,0.296,12
0.972867,0.0271334,0,21.674,2.972,0.118,0.378,9
1.48E-16,1,1,159.091,9.089,0.042,0.388,18
1.05E-08,1,1,114.189,10.914,0.067,0.282,25
0.997396,0.00260384,0,20.507,4.48,0.197,0.305,12
0.996878,0.00312227,0,21.298,3.994,0.147,0.34,14
0.945425,0.054575,0,29.698,5.376,0.139,0.347,10
0.998164,0.00183585,0,20.064,4.951,0.218,0.309,11
0.960622,0.0393782,0,30.153,5.091,0.142,0.322,13
4.38E-11,1,1,122.836,9.793,0.057,0.326,18
0.96271,0.0372899,0,25.557,3.708,0.106,0.432,10
0.99432,0.00567956,0,21.353,4.227,0.173,0.322,11
0.989943,0.0100568,0,20.429,3.25,0.148,0.311,11
0.0167079,0.983292,1,63.265,8.901,0.101,0.27,19
0.99838,0.0016199,0,26.824,6.125,0.209,0.249,18
0.98401,0.0159902,0,22.403,3.385,0.12,0.305,12
0,1,1,408.57,13.786,0.019,0.61,12
0.970705,0.0292954,0,20.245,2.582,0.095,0.461,7
0.996959,0.00304136,0,25.804,5.271,0.192,0.249,17
0.940726,0.0592738,0,26.693,3.726,0.112,0.34,11
0.923878,0.0761219,0,34.066,5.753,0.137,0.3,14
2.65E-36,1,1,333.484,23.668,0.034,0.524,27
1.45E-23,1,1,283.876,33.107,0.086,0.286,51
0.999232,0.000768358,0,23.307,5.973,0.233,0.267,16
0.998914,0.00108591,0,20.529,5.006,0.214,0.278,14
0.973447,0.026553,0,35.352,6.117,0.139,0.284,19
0.997935,0.00206514,0,23.872,4.812,0.187,0.27,17
0.998293,0.00170716,0,22.191,5.169,0.214,0.276,14
0.931691,0.0683091,0,27.863,3.797,0.107,0.329,12
0,1,0,426.212,32.754,0.058,0.308,39
0.457601,0.542399,1,57.123,8.304,0.113,0.224,28
0.997923,0.00207713,0,21.989,4.897,0.199,0.278,14
0.954306,0.0456939,1,26.727,4.222,0.14,0.411,9
0.999651,0.000349446,0,31.327,8.101,0.24,0.217,24
0.996625,0.0033749,0,31.055,6.599,0.19,0.289,19
0.967183,0.0328175,0,32.536,5.691,0.146,0.263,16
0.917945,0.0820553,0,30.373,3.895,0.095,0.293,15
1.49E-13,1,1,164.147,15.495,0.054,0.359,33
2.80E-17,1,1,164.315,10.814,0.031,0.56,11
4.00E-05,0.99996,1,60.957,3.167,0.019,0.608,5
0.996146,0.00385415,0,27.095,5.698,0.197,0.278,16
0.997939,0.00206072,0,22.122,4.872,0.207,0.285,14
0.994084,0.00591596,0,24.437,4.18,0.151,0.28,16
5.56E-10,1,1,119.763,13.64,0.054,0.513,10
2.93E-18,1,1,152.04,3.016,0.015,0.658,7
2.02E-07,1,1,119.337,16.617,0.103,0.301,26
0.999213,0.000787341,0,25.402,6.852,0.246,0.262,16
7.67E-14,1,1,133.335,6.922,0.029,0.681,10
0.996022,0.00397786,0,24.835,5.536,0.192,0.311,13
0.992599,0.0074007,0,26.07,5.451,0.183,0.289,13
0.00508595,0.994914,1,70.051,9.462,0.098,0.248,22
0.917121,0.0828793,0,24.868,3.098,0.095,0.422,8
0.997973,0.0020266,0,24.749,5.944,0.228,0.289,14
0.996158,0.0038421,0,23.078,4.841,0.195,0.296,13
0.995415,0.00458541,0,21.455,4.071,0.163,0.295,13
0.9698,0.0301999,0,27.939,4.712,0.131,0.29,13
0.896709,0.103291,1,26.785,3.006,0.085,0.36,11
0.946769,0.0532308,0,37.23,6.486,0.148,0.254,18
0,1,1,608.682,9.755,0.01,0.731,11
0.99416,0.00583982,0,31.602,6.694,0.195,0.246,18
3.76E-18,1,1,183.434,13.539,0.046,0.5,21
0.986752,0.0132482,0,30.356,6.053,0.177,0.271,15
0.99892,0.00108024,0,23.781,6.143,0.23,0.262,15
0.997593,0.00240725,0,20.851,4.911,0.222,0.31,11
0.92063,0.0793699,0,33.24,4.935,0.125,0.255,16
0.483789,0.516211,0,60.993,11.675,0.166,0.229,23
0.082751,0.917249,0,50.791,6.306,0.096,0.367,15
