Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
4.65E-10,1,0,115.001,19.345,0.137,0.189,108
0.998192,0.00180832,0,40.588,10.336,0.233,0.166,89
0.996912,0.003088,0,36.788,9.032,0.229,0.171,76
0.994819,0.00518069,0,34.383,7.85,0.2,0.18,75
0.999952,4.83E-05,0,32.342,8.952,0.253,0.175,101
0.998618,0.0013823,0,28.414,6.931,0.222,0.206,60
0.999281,0.000719245,0,27.323,5.721,0.193,0.19,90
0.990925,0.00907534,0,26.898,4.918,0.161,0.203,67
0.997301,0.00269876,0,26.668,5.671,0.193,0.197,65
0.99686,0.00314012,0,22.218,4.502,0.178,0.203,51
0.999039,0.00096121,0,22.188,4.915,0.203,0.223,56
0.999007,0.000993507,0,21.068,4.809,0.204,0.213,49
0.0106304,0.98937,1,103.074,24.856,0.219,0.133,150
0.999593,0.000407452,0,50.235,12.72,0.236,0.147,144
0.89901,0.10099,0,37.767,7.013,0.156,0.158,80
0.999642,0.000357618,0,34.45,8.899,0.233,0.153,93
0.9977,0.00230001,0,30.018,6.715,0.195,0.193,74
0.999371,0.000629551,0,29.139,6.794,0.198,0.186,85
0.996101,0.00389856,0,28.083,5.792,0.188,0.2,69
0.999941,5.94E-05,0,23.942,5.386,0.197,0.152,109
0.998713,0.00128703,0,46.229,11.947,0.231,0.143,110
0.998503,0.00149704,0,42.463,11.423,0.248,0.174,83
0.974416,0.0255837,0,36.272,7.497,0.188,0.174,75
0.999479,0.000520693,0,31.849,6.85,0.188,0.162,112
0.994446,0.00555398,0,29.358,6.164,0.181,0.178,69
0.99955,0.000450114,0,27.969,6.133,0.197,0.185,94
0.995862,0.00413768,0,25.584,5.083,0.168,0.203,64
0.98978,0.0102205,0,24.161,4.545,0.157,0.268,46
0.991946,0.00805444,0,22.225,3.55,0.138,0.269,56
0.999928,7.24E-05,1,20.927,4.665,0.208,0.242,88
0.99625,0.00375029,0,41.898,10.717,0.233,0.208,78
0.994176,0.00582391,0,37.81,8.653,0.202,0.194,84
0.99738,0.00261948,0,35.938,8.387,0.212,0.193,85
0.99761,0.00238999,0,34.27,8.33,0.224,0.17,74
0.99838,0.00161976,0,30.152,7.097,0.204,0.188,72
0.999,0.00100002,0,26.998,6.383,0.205,0.197,67
0.997148,0.0028525,0,26.402,5.842,0.205,0.198,57
0.999429,0.00057117,0,25.619,5.422,0.19,0.188,86
0.999702,0.000297703,0,21.717,4.758,0.208,0.216,73
0.997563,0.00243672,0,21.144,3.303,0.14,0.2,75
0.561746,0.438254,0,54.428,11.132,0.179,0.171,101
0.998727,0.00127328,0,38.395,9.424,0.225,0.161,96
0.999699,0.000301061,0,33.704,8.577,0.231,0.17,95
0.998579,0.00142079,0,31.005,7.049,0.201,0.207,81
0.997667,0.00233316,0,29.856,6.066,0.18,0.198,87
0.997423,0.00257711,0,29.778,6.896,0.217,0.207,63
0.984111,0.0158894,0,27.586,5.327,0.176,0.203,54
0.999709,0.000291101,0,20.611,4.822,0.217,0.242,60
0.998373,0.00162655,0,20.221,4.057,0.179,0.237,51
0.947931,0.0520694,0,51.929,11.652,0.211,0.162,107
0.955207,0.0447933,0,49.827,11.272,0.197,0.154,102
0.992672,0.00732779,0,48.041,11.535,0.22,0.144,108
0.972689,0.0273114,0,47.813,10.142,0.19,0.152,117
0.996443,0.00355727,0,36.206,8.398,0.207,0.22,81
0.999806,0.000194373,0,32.918,8.598,0.233,0.149,96
0.95032,0.0496804,0,30.385,5.475,0.147,0.213,59
0.995227,0.00477273,0,29.531,5.706,0.175,0.188,82
0.99921,0.000789753,0,27.427,6.583,0.217,0.178,70
0.998844,0.00115619,0,27.339,5.662,0.185,0.219,83
0.997314,0.00268606,0,26.242,6.093,0.21,0.211,50
0.998933,0.00106681,0,24.507,5.988,0.225,0.212,50
0.999725,0.000275407,0,24.315,5.688,0.201,0.197,79
0.998624,0.00137615,0,21.881,4.708,0.204,0.196,54
0.999576,0.000423949,0,21.294,5.066,0.227,0.211,56
0.998577,0.00142345,0,20.844,4.259,0.188,0.209,55
