Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0.974625,0.0253753,0,22.054,4.311,0.174,0.319,14
0,1,1,313.838,40.587,0.089,0.425,38
0.061635,0.938365,1,46.702,7.892,0.151,0.264,28
0.674392,0.325608,0,36.015,6.553,0.168,0.43,23
8.97E-06,0.999991,1,82.863,15.971,0.168,0.29,30
0.991431,0.00856865,0,22.557,3.72,0.145,0.298,26
0.977962,0.0220375,0,21.401,3.834,0.152,0.298,17
0.974493,0.0255075,0,20.533,3.375,0.147,0.302,17
4.37E-10,1,1,87.293,10.622,0.095,0.449,29
0.965295,0.034705,0,25.881,5.207,0.18,0.298,17
0.999502,0.00049831,0,33.073,7.5,0.203,0.204,43
0.988504,0.0114965,0,23.298,4.641,0.182,0.321,19
0.624796,0.375204,1,34.418,5.265,0.127,0.326,28
6.55E-06,0.999993,1,55.073,6.31,0.071,0.713,16
0.000845141,0.999155,1,55.491,7.615,0.11,0.422,33
0.995287,0.00471264,0,21.012,3.692,0.14,0.328,25
0.992977,0.00702256,0,34.673,8.316,0.221,0.228,28
0.945366,0.0546344,0,25.655,4.04,0.145,0.285,23
3.35E-22,1,1,169.406,22.601,0.099,0.386,38
0.999531,0.000469469,0,28.018,7.263,0.243,0.263,29
0.937171,0.0628294,0,25.215,4.372,0.162,0.328,18
0.989732,0.0102681,0,25.444,5.6,0.194,0.284,19
0.992777,0.00722304,0,33.372,7.281,0.194,0.236,32
0.890857,0.109143,1,20.533,2.565,0.095,0.419,16
1.98E-07,1,1,57.232,4.654,0.057,0.638,16
0.445404,0.554596,0,27.17,3.669,0.116,0.353,15
0,1,1,274.552,33.132,0.101,0.423,25
5.35E-18,1,1,156.442,25.024,0.127,0.411,34
0.267158,0.732842,1,38.46,6.825,0.161,0.341,20
0.61336,0.38664,0,25.451,3.568,0.125,0.347,14
0.927037,0.0729631,1,38.664,7.414,0.16,0.264,35
0.420459,0.579541,1,32.963,4.399,0.104,0.394,26
4.30E-05,0.999957,1,57.917,7.71,0.119,0.374,24
0.00690218,0.993098,1,46.672,7.545,0.115,0.532,19
0.910267,0.0897326,1,42.56,8.937,0.168,0.354,34
0.0685662,0.931434,1,37.161,5.512,0.128,0.381,18
0.999754,0.000246131,0,20.618,4.722,0.215,0.339,29
4.04E-07,1,1,64.079,6.984,0.068,0.433,24
0.98997,0.0100305,0,30.695,7.146,0.212,0.259,23
0.982553,0.017447,0,26.312,4.801,0.163,0.303,25
2.48E-08,1,1,66.068,7.222,0.096,0.593,12
0.0401001,0.9599,0,30.301,3.126,0.053,0.718,13
0.924096,0.0759037,0,39.79,8.613,0.193,0.229,29
0.935044,0.0649558,0,36.891,8.092,0.19,0.297,25
7.66E-06,0.999992,1,91.322,17.803,0.168,0.226,41
1.09E-13,1,1,142.263,25.823,0.159,0.272,39
2.96E-14,1,1,122.151,17.18,0.124,0.318,34
0.933568,0.0664319,0,51.766,12.48,0.215,0.202,37
0.819151,0.18085,0,47.895,10.366,0.194,0.23,35
0.996695,0.00330505,0,20.805,4.237,0.182,0.328,21
0.98817,0.0118296,0,23.085,4.332,0.168,0.287,21
0.998527,0.001473,0,25.986,6.31,0.216,0.245,25
0.551142,0.448858,0,32.362,5.568,0.152,0.297,18
1.65E-11,1,1,94.179,11.284,0.104,0.424,27
0.966048,0.0339523,0,21.508,3.659,0.153,0.328,16
1.22E-38,1,1,223.206,18.364,0.058,0.606,24
0.986858,0.0131415,0,20.64,3.154,0.118,0.358,23
0.977097,0.0229026,0,21.924,3.202,0.132,0.322,23
7.04E-13,1,1,97.152,9.68,0.064,0.487,31
0.0490931,0.950907,1,34.778,4.532,0.099,0.412,17
3.50E-06,0.999997,1,59.293,6.859,0.082,0.61,21
0.000222704,0.999777,1,41.279,3.884,0.066,0.43,13
0.00318807,0.996812,0,44.862,5.91,0.104,0.355,22
0.988484,0.0115164,0,26.72,4.984,0.166,0.29,27
0.160002,0.839998,1,33.51,4.659,0.11,0.371,19
0.995923,0.00407719,0,21.476,4.783,0.189,0.326,18
0.00254707,0.997453,0,45.577,5.988,0.111,0.365,22
0.991041,0.00895937,0,21.955,4.824,0.21,0.371,14
0.475624,0.524376,0,47.555,8.818,0.166,0.251,37
0.876582,0.123418,0,27.775,4.765,0.148,0.399,19
0.984181,0.0158189,0,33.877,6.915,0.188,0.239,32
0.766982,0.233018,0,27.202,3.745,0.119,0.461,21
0.875632,0.124368,0,35.824,6.901,0.176,0.241,27
0.120309,0.879691,0,78.036,19.261,0.224,0.202,42
0.06689,0.93311,1,47.54,9.121,0.163,0.332,22
0.99873,0.00126968,0,33.778,7.279,0.191,0.235,42
0.999964,3.61E-05,0,22.474,5.768,0.231,0.209,37
0.991372,0.00862782,0,20.278,3.388,0.134,0.354,22
0.996934,0.00306645,1,23.669,4.903,0.183,0.313,25
0.336723,0.663277,0,31.766,4.733,0.135,0.297,18
0.985683,0.0143172,0,21.219,3.287,0.128,0.337,23
1.60E-07,1,1,87.777,14.361,0.135,0.296,35
0.948626,0.0513742,0,41.348,9.233,0.2,0.248,31
0.997186,0.00281431,0,33.217,7.65,0.215,0.254,33
0.954564,0.0454361,0,27.383,5.135,0.161,0.29,21
0.999358,0.000642093,0,26.674,5.834,0.199,0.208,35
0.990509,0.0094908,0,26.518,5.553,0.183,0.304,23
0.955466,0.0445338,0,31.369,6.264,0.179,0.303,24
0.998777,0.0012233,1,31.21,7.304,0.21,0.273,34
0.8105,0.1895,1,20.207,2.463,0.09,0.562,12
0.984789,0.0152115,0,20.359,3.75,0.173,0.439,15
0.999425,0.000574608,0,23.112,5.1,0.207,0.24,30
0.0474928,0.952507,1,57.093,12.336,0.189,0.272,25
0.331344,0.668656,1,42.165,6.736,0.141,0.363,33
0.544236,0.455764,0,23.809,2.93,0.098,0.597,12
0.766982,0.233018,0,21.541,2.543,0.103,0.426,14
0.921191,0.0788088,0,23.959,3.997,0.128,0.352,17
1.17E-15,1,1,99.217,7.856,0.053,0.643,16
2.72E-10,1,1,113.401,19.072,0.131,0.363,43
0.96707,0.03293,0,26.26,4.741,0.163,0.299,22
0.957244,0.0427562,0,25.692,4.243,0.148,0.278,23
0.00130234,0.998698,1,59.737,10.246,0.136,0.393,29
0.89794,0.10206,0,41.745,8.492,0.173,0.296,34
0.987348,0.0126522,0,23.936,4.909,0.177,0.271,19
0.927439,0.0725611,1,21.331,3.281,0.127,0.524,14
0.992234,0.00776561,0,29.123,6.078,0.184,0.256,28
0.993552,0.0064479,0,28.352,6.101,0.198,0.276,26
0.730896,0.269104,0,31.77,5.088,0.139,0.291,24
0.554957,0.445043,0,27.61,3.575,0.114,0.373,19
0.000555047,0.999445,0,78.792,16.514,0.174,0.24,36
