Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
6.72E-14,1,1,97.326,10.867,0.097,0.209,72
0.896805,0.103196,0,40.614,7.312,0.171,0.13,94
0.989414,0.0105859,0,20.759,3.609,0.14,0.182,36
0.199477,0.800523,1,41.196,5.868,0.121,0.168,84
1.49E-15,1,1,128.827,18.706,0.119,0.195,127
0.599414,0.400586,1,24.904,2.509,0.088,0.227,40
8.94E-05,0.999911,1,68.682,9.665,0.113,0.182,131
0.994443,0.0055573,0,46.5,10.402,0.207,0.119,118
0.963267,0.0367331,0,30.36,5,0.148,0.136,72
2.20E-24,1,1,162.126,20.302,0.092,0.203,108
0.999495,0.000505006,0,20.078,4.631,0.194,0.203,42
0.999105,0.000894557,0,32.87,6.206,0.165,0.123,115
0.999249,0.000751095,0,33.259,6.571,0.18,0.12,112
0.997575,0.00242475,0,20.01,2.909,0.126,0.164,64
1.45E-07,1,1,58.933,5.069,0.06,0.31,56
0.998647,0.00135302,0,29.839,6.381,0.191,0.167,77
0.756638,0.243362,0,25.966,3.42,0.112,0.184,41
0,1,1,371.94,50.096,0.114,0.163,165
3.01E-28,1,1,206.237,31.011,0.122,0.168,147
0.999984,1.57E-05,0,21.284,4.186,0.179,0.117,110
0.998311,0.00168871,0,20.757,3.986,0.161,0.188,49
6.00E-17,1,1,136.005,20.716,0.139,0.145,108
0.982779,0.017221,0,22.706,3.759,0.149,0.199,40
0.985032,0.014968,1,25.958,4.075,0.132,0.176,65
0.835791,0.164209,1,30.495,4.287,0.109,0.213,65
0,1,1,254.785,18.725,0.052,0.302,86
2.09E-25,1,1,163.39,19.356,0.077,0.196,108
0.891003,0.108997,1,42.18,8.097,0.16,0.183,89
0.999975,2.51E-05,0,22.906,5.238,0.206,0.155,92
0.0149465,0.985054,1,44.711,6.471,0.127,0.17,65
0.999299,0.000701283,0,36.021,7.917,0.2,0.13,107
0.999996,4.09E-06,0,21.602,5.275,0.229,0.166,100
0.949687,0.0503132,0,29.735,4.269,0.123,0.24,72
0.410554,0.589446,1,51.478,7.244,0.106,0.176,153
3.23E-07,1,1,71.225,8.405,0.078,0.198,107
0.999423,0.000577203,0,24.007,5.448,0.201,0.15,59
0.997233,0.00276683,0,26.031,4.074,0.144,0.163,86
0.99919,0.00080987,0,24.154,4.403,0.158,0.178,78
0.997827,0.00217332,1,45.032,10.598,0.213,0.105,115
1.68E-26,1,1,159.775,16.415,0.086,0.244,97
0.994766,0.00523397,0,41.994,9.347,0.2,0.113,104
0.98773,0.0122702,0,24.439,4.256,0.151,0.178,50
0.997488,0.00251172,0,20.161,3.228,0.13,0.186,57
4.55E-05,0.999954,1,85.612,16.069,0.159,0.119,138
2.28E-22,1,1,160.756,21.093,0.12,0.147,141
4.39E-15,1,1,144.7,25.579,0.156,0.135,140
0.00372222,0.996278,1,62.366,10.972,0.165,0.159,100
0.999491,0.000508976,0,21.304,4.836,0.211,0.169,48
0.997119,0.00288113,0,52.067,12.283,0.213,0.103,136
0.994992,0.00500826,0,51.31,12.893,0.233,0.116,109
0.997673,0.00232677,0,35.864,8.286,0.214,0.139,82
0.999693,0.000307308,0,25.176,4.817,0.17,0.135,92
0.996733,0.00326707,0,30.418,6.178,0.178,0.15,77
0.999728,0.000271896,0,25.141,5.155,0.181,0.147,85
0.999938,6.19E-05,0,21.987,4.913,0.209,0.143,80
0.794199,0.205801,0,29.791,3.9,0.119,0.153,66
1.56E-13,1,1,95.505,10.43,0.097,0.21,76
0.978848,0.0211522,0,21.092,3.114,0.131,0.18,40
0,1,1,269.168,21.735,0.056,0.257,97
0.982187,0.0178131,0,32.415,5.975,0.152,0.167,77
0.999022,0.000977529,0,21.414,3.25,0.121,0.173,80
0.999731,0.000268619,0,35.723,7.755,0.197,0.113,121
0.975625,0.0243751,0,24.549,3.289,0.126,0.158,64
0.987673,0.0123272,0,23.143,3.726,0.14,0.16,52
7.75E-13,1,1,99.48,10.282,0.067,0.238,131
0.0598351,0.940165,1,43.33,5.973,0.109,0.172,83
2.38E-14,1,1,95.689,10.043,0.08,0.3,57
7.19E-06,0.999993,1,66.45,9.955,0.123,0.156,78
0.323416,0.676584,1,54.821,11.12,0.178,0.148,98
0.0444412,0.955559,0,44.397,5.694,0.1,0.179,93
0.998189,0.0018113,0,36.028,8.283,0.202,0.152,87
1.26E-06,0.999999,1,79.377,12.376,0.124,0.173,112
0.999293,0.000706491,0,46.482,11.657,0.229,0.108,119
0.688955,0.311045,1,40.891,7.124,0.143,0.16,84
0.988902,0.0110982,0,24.326,3.93,0.129,0.177,59
5.38E-23,1,1,137.502,13.638,0.065,0.207,79
0.00035417,0.999646,0,55.059,7.225,0.114,0.168,87
0.999211,0.00078908,1,23.671,5.04,0.175,0.165,62
0.996262,0.00373817,0,20.575,3.076,0.133,0.152,60
5.90E-05,0.999941,0,58.297,8.769,0.117,0.182,61
0.0151388,0.984861,0,56.531,9.821,0.153,0.121,97
0.951451,0.0485493,0,38.122,7.268,0.18,0.136,84
0.935797,0.0642027,0,20.947,2.28,0.092,0.185,44
0.987976,0.0120236,0,25.875,3.623,0.121,0.241,72
9.77E-36,1,1,242.462,35.667,0.111,0.207,130
0.147647,0.852353,0,84.171,20.897,0.225,0.107,135
0.986312,0.0136879,0,43.882,9.762,0.205,0.136,97
0.977796,0.0222043,0,33.992,5.601,0.137,0.138,97
0.999876,0.000123887,0,26.744,4.496,0.155,0.12,124
0.992871,0.00712955,0,20.13,2.863,0.111,0.196,52
0.213593,0.786407,1,37.428,5.249,0.112,0.169,68
0.995762,0.0042383,0,26.419,5.32,0.176,0.17,57
0.995517,0.00448304,0,23.28,3.632,0.134,0.161,68
2.74E-11,1,1,107.811,16.257,0.123,0.149,132
0.999492,0.000508196,0,37.236,9.475,0.225,0.165,87
0.93083,0.0691699,0,36.415,5.262,0.127,0.144,108
0.997402,0.00259749,0,29.789,5.398,0.157,0.143,92
0.999987,1.34E-05,0,23.512,5.005,0.194,0.113,113
0.999723,0.000276515,1,34.495,7.678,0.209,0.142,109
0.272195,0.727805,1,38.167,4.886,0.102,0.189,84
0.996728,0.00327216,0,29.003,4.94,0.149,0.132,93
0.999922,7.78E-05,0,22.791,5.128,0.215,0.126,80
0.00266232,0.997338,1,94.601,21.562,0.2,0.099,156
0.935047,0.064953,1,21.207,2.707,0.1,0.26,32
0.000651374,0.999349,1,57.909,7.3,0.104,0.175,116
0.999903,9.71E-05,0,27.626,5.858,0.196,0.126,104
0.986569,0.0134313,0,20.285,3.074,0.132,0.195,39
0.889782,0.110218,0,23.612,2.652,0.1,0.195,49
0.886485,0.113515,0,23.145,2.837,0.089,0.31,35
0.996823,0.00317702,0,22.353,4.349,0.161,0.203,46
4.47E-20,1,1,118.319,11.051,0.074,0.273,54
