Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0.701923,0.298077,0,42.537,5.406,0.12,0.74,2
0.972966,0.0270336,0,30.558,3.806,0.091,0.855,2
0.990522,0.00947844,0,25.381,3.48,0.135,0.714,2
0.991625,0.00837504,0,24.15,3.863,0.148,0.61,3
0.00340166,0.996598,1,51.132,0,0,1,1
0.998707,0.00129259,0,24.044,4.808,0.196,0.713,2
1.72E-13,1,1,128.175,0,0,1,1
0.740814,0.259186,1,50.654,10.335,0.169,0.515,5
0.993379,0.00662125,0,26.361,4.04,0.143,0.746,2
0.991925,0.00807486,0,20.9,3.223,0.149,0.583,5
0.672475,0.327525,0,58.407,10.84,0.174,0.744,2
0.991885,0.00811507,0,29.526,4.866,0.152,0.755,2
0.763039,0.236961,0,28.878,0,0,1,1
0.963075,0.0369249,0,25.485,2.119,0.075,0.767,2
0.973691,0.0263088,0,35.329,7.909,0.197,0.442,6
0.997428,0.00257197,0,20.266,2.729,0.101,0.846,2
0.110685,0.889315,1,52.016,5.144,0.067,0.879,2
0.982835,0.0171654,0,34.387,6.577,0.186,0.602,3
0.979112,0.0208881,0,20.177,0,0,1,1
0.986831,0.0131694,1,26.555,3.513,0.128,0.728,2
0.00142122,0.998579,1,53.974,0,0,1,1
0.885729,0.114271,0,26.024,0,0,1,1
0.013729,0.986271,1,46.565,0,0,1,1
0.894772,0.105228,1,30.98,2.942,0.094,0.716,2
0.172967,0.827033,1,43.467,4.195,0.079,0.606,3
0.00090783,0.999092,0,71.502,9.116,0.096,0.583,7
0.0744619,0.925538,0,60.11,7.729,0.105,0.815,2
0.470979,0.529021,0,33.055,0,0,1,1
1.13E-06,0.999999,1,77.17,0,0,1,1
0.27739,0.72261,0,48.084,5.416,0.107,0.741,2
0.965473,0.0345267,0,43.837,8.383,0.179,0.743,2
0.172759,0.827241,0,37.766,0,0,1,1
0.987431,0.0125692,0,30.898,4.932,0.15,0.744,2
0.805186,0.194814,0,28.067,0,0,1,1
0.905869,0.0941307,0,25.321,0,0,1,1
0.986453,0.0135471,0,22.676,2.355,0.103,0.709,2
0.972256,0.0277437,0,21.122,0,0,1,1
4.00E-08,1,1,105.485,8.287,0.039,0.772,3
0.000397103,0.999603,1,101.311,16.963,0.151,0.764,2
0.603696,0.396304,1,36.93,4.417,0.075,0.608,4
0.889717,0.110283,0,25.894,0,0,1,1
0.987899,0.0121014,0,34.619,7.321,0.187,0.604,4
0.93654,0.0634601,0,46.577,9.38,0.194,0.631,3
0.0613356,0.938664,1,41.541,0,0,1,1
0.00848417,0.991516,1,48.146,0,0,1,1
0.97549,0.0245097,0,30.763,4.3,0.136,0.723,2
0.0626404,0.93736,1,52.19,4.829,0.081,0.785,2
0.988151,0.0118492,1,20.313,1.414,0.044,0.887,3
4.48E-06,0.999995,1,94.375,9.413,0.05,0.839,3
0.993659,0.00634142,0,25.115,3.701,0.141,0.734,2
0.996951,0.00304858,1,21.177,3.061,0.134,0.752,2
0.923181,0.0768186,1,37.685,5.221,0.115,0.808,2
0.357723,0.642277,1,56.145,8.586,0.141,0.756,2
0.932815,0.0671851,0,29.755,2.59,0.064,0.854,2
0.987318,0.0126818,0,26.351,4.353,0.145,0.59,3
0.263555,0.736445,0,36.016,0,0,1,1
0.98933,0.0106698,0,26.94,4.55,0.165,0.594,3
0.997917,0.00208288,0,22.034,3.688,0.159,0.737,2
0.465997,0.534003,1,33.12,0,0,1,1
0.893523,0.106477,0,25.766,0,0,1,1
0.984574,0.0154263,0,20.941,0.96,0.018,0.959,2
0.00175466,0.998245,1,78.607,10.051,0.098,0.841,2
0.938395,0.0616049,0,23.829,0,0,1,1
1.76E-08,1,1,111.709,8.784,0.041,0.916,3
0.973418,0.0265822,1,22.072,0.631,0.005,0.994,2
