Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
3.92E-07,1,1,50.159,6.195,0.078,0.406,26
0.000284382,0.999716,1,48.804,7.848,0.134,0.324,36
2.35E-13,1,1,65.984,5.074,0.061,0.468,20
5.50E-05,0.999945,1,30.758,2.559,0.057,0.536,17
0.996954,0.00304555,0,39.279,10.691,0.251,0.169,44
0.999982,1.82E-05,0,34.149,9.957,0.268,0.162,54
0.990942,0.00905816,0,32.247,7.11,0.199,0.172,44
0.9466,0.0534003,0,24.455,5.585,0.206,0.218,26
0.993653,0.00634698,0,21.141,5.408,0.237,0.222,26
1.75E-05,0.999982,0,48.679,6.651,0.101,0.335,33
2.07E-14,1,1,111.012,19.631,0.139,0.314,39
0.859689,0.140311,0,28.709,6.014,0.184,0.226,31
0.00105076,0.998949,1,52.879,9.889,0.141,0.254,39
0.996847,0.00315267,0,29.088,7.218,0.221,0.244,39
0.322064,0.677936,0,26.465,3.515,0.119,0.28,32
1.53E-06,0.999998,1,70.773,12.763,0.162,0.223,43
0.999925,7.55E-05,0,36.866,9.678,0.237,0.16,58
0.994758,0.00524176,0,35.031,7.372,0.19,0.186,52
0.536005,0.463995,1,20.528,2.854,0.124,0.329,24
4.23E-06,0.999996,1,36.748,3.074,0.057,0.358,19
0.656447,0.343553,1,32.319,6.143,0.153,0.252,36
0.835753,0.164247,0,26.491,4.883,0.154,0.243,32
0.999731,0.000269262,0,34.425,8.053,0.215,0.168,57
0.954922,0.0450784,0,22.843,5.071,0.207,0.335,26
1.54E-19,1,1,83.176,4.781,0.042,0.523,13
0.997035,0.0029653,1,32.617,8.548,0.24,0.226,40
0.984684,0.015316,0,39.273,9.923,0.226,0.183,43
0.703461,0.296539,0,23.34,3.468,0.129,0.269,30
0.999838,0.000162096,0,21.424,4.496,0.187,0.186,47
5.15E-05,0.999949,1,45.174,5.955,0.107,0.339,32
0.00036506,0.999635,1,60.31,12.48,0.184,0.268,38
0.020662,0.979338,1,56.336,12.569,0.193,0.19,42
0.999407,0.000593449,0,54.877,15.177,0.25,0.144,64
0.998779,0.00122095,0,45.492,12.936,0.263,0.165,50
0.743337,0.256663,1,35.327,8.748,0.233,0.22,28
0.97269,0.0273099,0,22.455,4.458,0.169,0.225,31
0.998331,0.00166927,0,22.328,5.223,0.203,0.218,36
4.28E-11,1,1,100.627,18.685,0.157,0.276,46
0.00253643,0.997464,1,31.641,4.041,0.069,0.593,25
0.0013344,0.998666,1,35.329,4.944,0.104,0.364,25
0.993126,0.0068739,0,31.418,6.82,0.188,0.202,45
0.982656,0.0173435,1,34.936,7.122,0.181,0.217,49
0.274406,0.725594,1,24.95,3.618,0.116,0.354,27
0.762627,0.237373,1,20.163,2.977,0.131,0.321,26
0.196345,0.803655,1,29.928,4.56,0.13,0.274,32
0.211701,0.788299,1,51.887,10.163,0.165,0.206,55
0.999964,3.58E-05,0,25.496,6.399,0.228,0.17,51
0.999082,0.000918236,0,24.642,5.899,0.213,0.212,40
0.0213916,0.978608,1,29.901,4.023,0.104,0.374,27
0.0102834,0.989717,1,46.096,9.104,0.178,0.282,34
0.734121,0.265879,0,20.633,3.261,0.131,0.328,25
8.58E-22,1,1,113.325,11.602,0.073,0.426,30
0.367778,0.632222,1,26.576,4.318,0.139,0.314,28
0.000999202,0.999001,1,58.853,10.221,0.151,0.242,52
0.999903,9.70E-05,0,27.016,6.476,0.217,0.179,51
0.949847,0.0501533,1,34.291,6.567,0.158,0.217,47
0.960878,0.0391221,0,20.33,3.969,0.176,0.268,27
0.9788,0.0212002,0,33.188,7.483,0.203,0.2,41
9.77E-15,1,1,102.801,13.606,0.108,0.285,51
0.000352898,0.999647,1,40.111,5.971,0.12,0.387,26
0.763727,0.236273,1,27.625,5.544,0.17,0.255,29
0.00272237,0.997278,1,50.378,9.244,0.143,0.28,40
2.96E-10,1,1,66.969,8.67,0.083,0.507,28
0.999668,0.00033217,1,33.909,9.391,0.258,0.17,46
6.83E-09,1,1,82.65,13.158,0.125,0.277,52
0.0743569,0.925643,1,28.643,4.746,0.151,0.3,23
5.67E-06,0.999994,1,53.921,7.613,0.12,0.292,36
0.838115,0.161885,0,31.429,6.746,0.185,0.212,33
0.983456,0.0165443,0,25.131,4.618,0.163,0.214,39
0.997368,0.00263239,0,21.122,5.007,0.221,0.216,32
0.720742,0.279258,1,41.015,8,0.179,0.238,48
0.974365,0.0256353,1,21.556,3.764,0.136,0.277,34
4.23E-15,1,1,83.315,8.882,0.067,0.459,27
0.916527,0.0834727,1,41.46,8.388,0.183,0.18,52
1.29E-06,0.999999,1,45.494,4.906,0.082,0.423,26
0.133602,0.866398,1,29.643,4.509,0.124,0.282,30
0.011361,0.988639,1,43.716,7.409,0.141,0.264,39
0.963171,0.0368293,1,25.347,4.724,0.158,0.226,36
0.000139154,0.999861,0,62.154,11.56,0.156,0.223,45
0.164808,0.835192,0,44.999,8.641,0.17,0.234,45
0.773302,0.226698,1,22.342,3.542,0.145,0.273,28
0.992038,0.00796163,0,46.849,12.879,0.256,0.19,47
0.846261,0.153739,1,23.369,4.341,0.175,0.26,27
0.000663811,0.999336,1,29.257,2.788,0.082,0.393,20
1.64E-08,1,1,59.803,8.41,0.093,0.516,26
0.00268333,0.997317,1,47.151,9.276,0.169,0.325,31
0.945047,0.054953,1,20.255,3.176,0.137,0.258,31
2.99E-06,0.999997,1,52.816,7.624,0.117,0.356,31
1.30E-05,0.999987,1,29.606,1.99,0.056,0.547,12
0.806181,0.193819,1,21.082,3.904,0.165,0.298,23
0.00852619,0.991474,1,48.737,9.717,0.161,0.306,37
0.970105,0.0298951,0,21.333,3.697,0.147,0.286,33
0.996704,0.00329633,0,41.75,10.751,0.24,0.172,50
4.37E-21,1,1,108.267,9.572,0.063,0.363,35
0.0475377,0.952462,1,34.239,5.685,0.148,0.252,30
0.222457,0.777543,0,32.505,5.969,0.169,0.263,30
1.30E-21,1,1,108.198,8.85,0.059,0.464,35
0.232473,0.767527,1,27.405,5.332,0.166,0.296,21
0.192045,0.807955,1,40.818,6.837,0.147,0.22,46
0.991674,0.00832607,0,26.787,5.263,0.174,0.25,42
0.0037968,0.996203,1,57.155,10.979,0.164,0.265,48
0.00848071,0.991519,0,41.609,6.999,0.135,0.265,35
0.005095,0.994905,1,40.189,6.589,0.138,0.328,32
0.995462,0.00453753,1,21.45,5.032,0.208,0.23,31
0.000270257,0.99973,1,48.238,8.097,0.13,0.33,33
0.139633,0.860367,1,53.383,11.156,0.169,0.2,51
0.916188,0.0838124,0,31.661,6.635,0.19,0.222,37
0.969014,0.0309861,0,23.649,4.837,0.183,0.217,31
0.993863,0.00613745,0,22.483,5.107,0.208,0.211,32
0.487556,0.512444,1,37.995,9.753,0.226,0.235,25
0.015781,0.984219,0,37.969,6.117,0.141,0.26,33
0.973492,0.0265084,0,23.794,4.986,0.188,0.22,31
0.955189,0.0448111,0,22.514,4.053,0.155,0.243,32
0.999334,0.000665898,0,22.481,5.775,0.237,0.26,36
0.0111911,0.988809,1,20.555,2.495,0.098,0.492,10
0.878846,0.121154,0,23.225,3.487,0.125,0.291,34
0.704522,0.295478,1,21.014,3.537,0.153,0.259,23
0.011419,0.988581,1,35.637,4.674,0.106,0.248,35
0.983772,0.016228,1,23.166,4.872,0.19,0.245,32
0.00898676,0.991013,1,21.493,2.185,0.075,0.504,14
0.0546355,0.945364,1,21.85,2.32,0.094,0.342,20
0.000137339,0.999863,1,41.029,5.883,0.104,0.459,26
0.275606,0.724394,1,28.851,4.774,0.137,0.401,30
0.278516,0.721484,1,29.364,4.588,0.139,0.299,32
1.09E-08,1,1,49.798,5.017,0.063,0.453,19
2.66E-20,1,1,106.879,12.108,0.085,0.41,23
1.17E-12,1,1,71.155,7.375,0.082,0.374,25
0.99883,0.00117031,0,31.779,6.589,0.187,0.196,54
0.338884,0.661116,0,23.75,3.504,0.134,0.283,25
0.973073,0.0269275,0,23.204,5.195,0.2,0.243,28
0.993655,0.00634475,1,26.571,5.876,0.203,0.205,38
0.416324,0.583676,1,29.252,5.807,0.188,0.369,26
0.987229,0.0127712,0,21.865,4.314,0.177,0.21,33
0.986341,0.0136595,0,20.547,3.94,0.167,0.264,32
0.960719,0.0392812,0,38.564,7.06,0.16,0.204,56
0.950663,0.0493371,0,33.564,8.349,0.228,0.203,33
0.156913,0.843087,1,24.602,4.645,0.171,0.333,16
1.78E-17,1,1,89.405,7.722,0.059,0.441,29
0.124582,0.875418,1,45.105,8.22,0.151,0.243,47
0.961602,0.0383985,0,36.334,8.433,0.214,0.208,41
0.767698,0.232302,1,29.611,6.909,0.213,0.214,25
0.999529,0.000471346,0,28.778,7.516,0.242,0.21,43
0.838558,0.161442,0,22.847,4.571,0.175,0.241,24
0.996048,0.00395215,0,20.515,4.286,0.187,0.232,34
0.777289,0.222711,0,23.225,3.828,0.133,0.281,29
4.55E-06,0.999995,1,51.123,7.935,0.133,0.353,26
0.127165,0.872835,0,27.878,4.469,0.141,0.267,25
0.897839,0.102161,0,31.168,6.898,0.206,0.227,33
0.994543,0.00545715,0,29.358,7.769,0.233,0.222,34
0.172517,0.827483,1,23.837,3.277,0.114,0.371,24
0.240411,0.759589,1,38.1,7.141,0.159,0.222,38
0.930546,0.0694543,0,37.972,8.925,0.21,0.192,40
0.829019,0.170981,0,27.235,5.559,0.185,0.235,29
0.997513,0.00248675,1,23.095,5.127,0.201,0.198,37
0.999943,5.75E-05,0,26.719,6.635,0.227,0.17,51
