Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0.997951,0.00204929,0,36.649,8.948,0.226,0.207,47
0.972433,0.0275672,0,33.214,6.643,0.177,0.185,48
0.842571,0.157429,0,30.257,4.684,0.138,0.25,39
0.999855,0.00014463,0,21.506,5.296,0.214,0.266,52
0.997972,0.00202836,0,21.372,4.26,0.184,0.208,37
0,1,1,263.841,25.174,0.048,0.678,84
0.998886,0.00111416,0,39.206,9.973,0.235,0.163,71
0.998562,0.00143779,0,37.583,9.258,0.228,0.185,71
0.999663,0.000337352,0,31.355,8.09,0.231,0.204,59
0.998596,0.00140391,0,30.92,7.251,0.218,0.173,64
0.997718,0.00228184,0,27.994,6.253,0.196,0.214,40
0.996058,0.00394253,0,22.852,4.218,0.161,0.289,37
0.998963,0.00103666,0,21.4,4.531,0.197,0.201,44
0.999918,8.22E-05,0,43.081,12.379,0.27,0.145,92
0.994602,0.00539796,0,34.252,7.635,0.206,0.171,65
0.997257,0.00274293,0,31.437,7.182,0.194,0.184,59
0.998142,0.00185826,0,29.85,6.663,0.208,0.156,81
0.997838,0.00216223,0,29.002,6.549,0.207,0.187,49
0.999479,0.00052105,0,27.866,6.624,0.215,0.159,87
0.998431,0.00156875,0,26.486,5.904,0.197,0.236,39
0.999632,0.00036804,0,24.998,6.132,0.228,0.253,29
0.997994,0.00200593,0,24.121,4.907,0.175,0.229,59
0.999391,0.000609257,0,22.857,5.2,0.21,0.244,35
0.999725,0.000275285,0,22.668,5.488,0.229,0.199,49
0.999526,0.000473934,0,21.334,4.821,0.216,0.205,46
0.999494,0.000505762,0,20.201,4.435,0.202,0.243,39
0.999676,0.000324444,0,22.223,5.415,0.22,0.222,31
0.998433,0.00156665,0,21.387,4.379,0.192,0.212,35
0.999563,0.000436773,0,20.542,4.729,0.213,0.242,25
0,1,1,265.567,20.763,0.04,0.554,43
0.981331,0.0186688,0,57.382,14.299,0.227,0.165,77
0.985185,0.0148152,0,35.752,7.648,0.199,0.201,50
0.999068,0.000932427,0,28.292,6.698,0.224,0.206,44
0.998721,0.00127885,0,24.983,5.523,0.198,0.206,48
0.999458,0.00054237,0,24.68,5.876,0.216,0.228,36
0.999528,0.000471826,0,23.856,5.706,0.214,0.228,35
0.999861,0.000139101,0,47.085,13.649,0.266,0.16,66
0.999433,0.0005673,0,40.079,10.737,0.248,0.2,45
0.99985,0.000150432,0,32.72,8.92,0.255,0.18,62
0.998314,0.00168644,0,30.179,7.074,0.22,0.184,44
0.992081,0.00791863,0,27.391,5.496,0.177,0.234,29
0.999357,0.000642767,0,25.407,5.956,0.218,0.237,38
0.999644,0.0003561,0,25.114,6.189,0.222,0.223,41
0.999663,0.00033674,0,24.356,5.933,0.222,0.215,47
0.998483,0.00151722,0,23.422,5.025,0.191,0.239,31
0.999905,9.45E-05,0,23.159,5.98,0.247,0.202,65
0.999431,0.00056888,0,22.957,5.363,0.198,0.219,40
0.999244,0.000756096,0,21.422,4.498,0.188,0.334,28
0,1,1,706.024,35.03,0.022,0.655,46
2.54E-06,0.999997,0,74.527,10.882,0.114,0.249,56
0.987844,0.0121565,0,42.956,10.133,0.203,0.177,55
0.948357,0.0516428,0,40.621,8.645,0.17,0.191,55
0.999648,0.000352232,0,28.389,7.234,0.244,0.216,36
0.9863,0.0136999,0,27.83,5.288,0.174,0.194,46
0.975113,0.0248867,0,24.061,3.978,0.137,0.222,30
0.958599,0.0414014,0,23.992,3.516,0.14,0.266,28
0.998983,0.00101696,0,21.134,4.438,0.192,0.204,47
0.997627,0.00237258,0,23.299,4.795,0.183,0.245,27
6.62E-17,1,1,211.571,41.255,0.167,0.159,129
0.765259,0.234742,0,50.059,10.542,0.191,0.165,73
0.994146,0.00585389,0,41.19,9.808,0.22,0.167,65
0.995947,0.00405342,0,33.886,7.722,0.216,0.221,41
0.997826,0.00217436,0,26.21,5.713,0.187,0.216,42
0.998589,0.00141069,0,25.224,5.603,0.2,0.235,33
0.993826,0.00617422,0,24.472,4.696,0.165,0.202,43
0.9975,0.00250042,0,23.348,4.757,0.182,0.244,30
0.99914,0.000860168,0,22.8,5.128,0.206,0.194,39
0.990042,0.00995763,0,22.775,4.032,0.145,0.242,25
0.987471,0.0125292,1,21.657,3.524,0.137,0.244,29
0.999585,0.000415101,0,20.752,4.765,0.2,0.245,36
0.998175,0.00182467,0,20.018,3.834,0.165,0.211,49
0.995694,0.00430628,0,27.303,5.68,0.182,0.208,47
0.98871,0.0112902,0,23.732,4.24,0.162,0.196,34
0.999141,0.000859401,0,23.466,5.254,0.2,0.202,48
0.991725,0.00827524,0,22.142,3.775,0.129,0.291,32
0.591123,0.408877,0,41.902,7.655,0.158,0.176,62
0.987888,0.0121119,0,40.147,9.065,0.209,0.166,69
0.987922,0.0120782,0,38.423,8.758,0.199,0.173,48
0.999774,0.000225679,0,30.051,7.97,0.252,0.193,45
0.999362,0.000638266,0,20.084,4.265,0.183,0.289,34
0.999807,0.000192996,0,20.056,4.861,0.23,0.215,41
0.996086,0.00391405,0,41.42,10.101,0.225,0.163,65
0.996507,0.00349249,0,36.162,8.409,0.205,0.21,63
0.990045,0.00995523,0,34.41,7.551,0.191,0.179,50
0.995415,0.00458521,0,29.094,6.229,0.196,0.233,33
0.998923,0.00107659,0,25.618,5.807,0.192,0.219,49
0.997769,0.00223149,0,25.023,5.348,0.2,0.2,37
0.99962,0.000379806,0,23.279,5.338,0.213,0.14,90
0.999875,0.000124909,0,21.541,5.595,0.239,0.244,28
0.998628,0.00137181,0,21.031,4.324,0.186,0.242,30
1.96E-09,1,0,105.873,17.005,0.127,0.204,72
0.998562,0.00143825,0,37.418,9.314,0.228,0.178,63
0.997825,0.00217544,0,31.825,7.487,0.222,0.192,39
0.999476,0.000523475,0,28.445,7.142,0.23,0.2,37
0.999177,0.000823202,0,22.749,5.051,0.197,0.224,42
0.999562,0.000437723,0,22.544,5.24,0.221,0.224,40
0.99036,0.0096404,0,22.306,3.853,0.143,0.232,33
0.997528,0.00247195,0,20.023,3.796,0.165,0.22,34
0.0731384,0.926862,1,90.227,21.395,0.217,0.149,86
0.905297,0.094703,0,32.059,5.71,0.148,0.18,46
0.998358,0.00164206,0,28.134,6.436,0.199,0.195,49
0.998962,0.00103814,0,22.24,4.808,0.195,0.22,39
0.99883,0.00117018,0,21.93,4.68,0.196,0.255,24
0.99949,0.000509522,0,37.17,9.801,0.24,0.166,63
0.961956,0.0380444,0,31.597,5.972,0.173,0.196,42
0.999469,0.000531473,0,29.083,7.28,0.225,0.194,47
0.998727,0.00127265,0,25.572,5.841,0.177,0.268,28
0.994533,0.0054667,0,24.64,4.863,0.169,0.206,36
0.999909,9.09E-05,0,24.039,6.311,0.244,0.273,43
0.999828,0.000171502,0,22.196,5.626,0.232,0.22,39
0.997785,0.00221504,0,21.644,4.276,0.17,0.214,44
0.999954,4.59E-05,0,21.544,6.007,0.254,0.255,32
0,1,1,365.653,33.466,0.053,0.416,68
0.989874,0.0101256,0,43.505,10.21,0.222,0.187,62
0.98954,0.0104598,0,37.796,8.498,0.189,0.184,62
0.982793,0.0172069,0,37.592,8.246,0.194,0.188,49
0.996351,0.00364909,0,32.265,7.306,0.193,0.25,38
0.996955,0.00304519,0,29.665,6.543,0.198,0.19,55
0.979934,0.0200658,0,29.068,5.587,0.158,0.231,32
0.989237,0.0107627,0,26.568,5.057,0.171,0.205,40
0.999594,0.000405694,0,26.243,6.49,0.222,0.179,54
0.999717,0.000282926,0,21.135,5.11,0.226,0.194,39
0.99939,0.00060988,0,35.427,9.107,0.239,0.193,57
0.998149,0.00185125,0,32.483,7.763,0.223,0.187,43
0.999768,0.000231681,0,28.344,7.448,0.234,0.169,56
0.999855,0.000145136,0,27.686,7.229,0.238,0.188,73
0.999847,0.00015288,0,25.298,6.562,0.243,0.277,30
0.997014,0.00298573,0,24.52,4.975,0.179,0.216,46
0.996809,0.0031913,0,21.534,4.111,0.171,0.218,35
0.99937,0.000629657,0,21.302,4.851,0.2,0.225,29
0.999475,0.000525229,0,20.081,4.393,0.204,0.244,36
0.998956,0.00104365,0,27.417,6.391,0.205,0.206,49
0.996402,0.00359848,0,20.353,3.744,0.164,0.225,28
0.998971,0.00102942,0,46.17,12.292,0.246,0.163,67
0.999802,0.000198269,0,29.888,8.048,0.242,0.211,39
0.991967,0.00803318,0,26.305,4.933,0.163,0.273,42
0.999106,0.000893672,0,23.736,5.399,0.209,0.197,38
0.996027,0.00397301,0,21.741,4.051,0.16,0.246,32
0.999477,0.000522609,0,20.699,4.697,0.194,0.24,33
0.95088,0.0491205,0,49.627,11.371,0.201,0.159,74
0.999745,0.000255081,0,48.295,13.705,0.269,0.164,63
0.999592,0.000407837,0,47.654,12.795,0.239,0.128,128
0.994635,0.00536546,0,47.492,11.921,0.229,0.155,65
0.944609,0.055391,0,44.504,9.687,0.193,0.16,71
0.999368,0.000631509,0,34.087,8.701,0.235,0.183,57
0.998528,0.00147231,0,33.005,7.923,0.22,0.182,59
0.994752,0.00524763,0,27.602,5.748,0.19,0.2,38
0.998852,0.00114797,0,27.002,6.307,0.205,0.187,45
0.999744,0.000256152,0,26.575,6.812,0.235,0.193,48
0.999163,0.000836566,0,25.585,5.953,0.218,0.207,39
0.99865,0.00134974,0,23.681,5.18,0.21,0.218,28
0.997479,0.00252106,0,22.724,4.555,0.162,0.26,34
0.999367,0.00063293,0,21.338,4.766,0.207,0.239,30
0.999261,0.000738888,0,20.746,4.545,0.196,0.241,29
0.940984,0.0590162,0,32.693,6.008,0.153,0.246,42
0.997181,0.00281917,0,31.242,7.116,0.203,0.169,58
0.974991,0.025009,0,29.771,5.541,0.16,0.207,52
0.997147,0.00285281,0,27.943,6.03,0.204,0.258,30
0.997906,0.00209428,0,23.564,4.94,0.187,0.223,33
0.999421,0.000578516,0,21.905,5.003,0.217,0.207,35
0.999762,0.000237994,0,21.567,5.347,0.224,0.231,29
0.999719,0.00028055,1,23.811,5.755,0.222,0.269,40
0.998192,0.00180768,0,20.346,3.945,0.176,0.26,29
0.991222,0.00877777,0,36.606,8.33,0.204,0.163,50
0.993017,0.00698321,0,35.997,7.973,0.203,0.235,55
0.994293,0.00570691,0,27.329,5.598,0.185,0.205,40
0.999393,0.000607279,0,21.667,4.891,0.219,0.209,34
0.999815,0.000185202,0,21.534,5.371,0.23,0.195,47
0.999411,0.000589323,0,21.172,4.744,0.21,0.263,22
0.999651,0.000348664,0,20.983,4.887,0.215,0.267,27
0.995048,0.00495191,0,20.704,3.558,0.152,0.214,48
0.999339,0.000660752,0,20.025,4.443,0.181,0.23,33
0.412888,0.587112,0,51.301,10.229,0.181,0.171,62
0.997137,0.0028632,0,26.2,5.545,0.2,0.211,38
0.998906,0.00109421,0,22.873,4.966,0.204,0.225,35
0.999644,0.000355778,0,22.453,5.338,0.215,0.283,24
0.99803,0.0019699,0,39.039,9.814,0.227,0.178,50
0.967005,0.032995,0,35.059,7.153,0.18,0.207,39
0.994632,0.00536785,0,31.556,6.727,0.194,0.191,67
0.997866,0.00213414,0,30.873,7.216,0.219,0.194,37
0.998785,0.00121463,0,25.671,5.829,0.203,0.219,37
0.999792,0.000207721,0,21.741,5.395,0.225,0.203,45
0.999663,0.000336797,0,21.681,5.101,0.204,0.285,30
0.855254,0.144746,0,45.564,9.608,0.189,0.192,47
0.968932,0.0310679,0,43.386,9.667,0.206,0.191,55
0.496251,0.503749,0,37.784,6.297,0.145,0.211,38
0.968424,0.0315763,0,37.624,7.886,0.182,0.202,52
0.968338,0.0316621,0,36.335,7.532,0.189,0.186,47
0.870012,0.129988,0,31.383,5.159,0.135,0.222,51
0.999821,0.000178644,0,31.135,8.32,0.245,0.177,66
0.992847,0.00715281,0,31.026,6.26,0.184,0.252,65
0.742582,0.257418,1,30.833,4.649,0.122,0.217,45
0.998674,0.00132567,0,30.226,7.026,0.198,0.174,76
0.994245,0.00575516,0,28.444,5.886,0.192,0.203,44
0.999125,0.000875061,0,27.576,6.554,0.215,0.197,46
0.999191,0.000809159,0,26.942,6.35,0.216,0.224,41
0.997418,0.0025824,0,26.835,5.686,0.182,0.284,36
0.998696,0.00130419,0,26.162,6.029,0.197,0.175,46
0.996595,0.00340485,0,22.816,4.408,0.162,0.242,40
0.998138,0.00186198,0,20.53,4.027,0.176,0.232,34
0.999863,0.000136973,0,20.208,5.189,0.236,0.22,29
0.451366,0.548634,0,45.4,8.53,0.163,0.2,48
0.999907,9.31E-05,0,35.026,9.986,0.261,0.196,51
0.999594,0.000405803,0,28.1,7.213,0.23,0.198,34
0.999163,0.000837226,0,26.743,6.305,0.217,0.217,39
0.9998,0.000200307,0,25.842,6.732,0.242,0.202,40
0.995383,0.00461662,0,24.981,5.038,0.177,0.22,31
0.997937,0.00206279,0,22.132,4.445,0.186,0.251,28
0.999822,0.000177795,0,21.605,5.399,0.232,0.227,38
0.999852,0.000148042,0,20.273,4.951,0.229,0.263,39
0.972271,0.0277289,0,39.867,8.672,0.192,0.201,50
0.99773,0.0022698,0,31.568,7.106,0.209,0.219,62
0.983688,0.0163124,0,31.212,6.346,0.159,0.236,36
0.998765,0.00123545,0,29.761,7.088,0.222,0.192,43
0.990033,0.00996712,0,29.275,5.998,0.158,0.256,30
0.999676,0.000323525,0,25.291,6.26,0.232,0.233,37
0.998676,0.00132384,1,24.068,5.241,0.197,0.242,34
0.992536,0.00746364,0,23.921,4.454,0.163,0.263,21
0.999221,0.000778911,0,20.312,4.292,0.191,0.191,54
0.960822,0.0391784,0,49.129,11.316,0.199,0.17,74
0.99986,0.00013981,0,36.901,10.302,0.261,0.174,64
0.989503,0.0104968,0,36.7,8.195,0.206,0.192,46
0.939708,0.0602924,0,34.17,6.548,0.156,0.234,38
0.988892,0.0111075,0,33.724,7.299,0.198,0.203,36
0.998737,0.00126349,0,33.603,8.199,0.229,0.18,56
0.995734,0.00426601,0,29.855,6.58,0.195,0.21,35
0.982797,0.0172034,0,26.334,4.792,0.144,0.216,42
0.996495,0.00350518,1,21.79,4.015,0.167,0.246,40
0.99983,0.000169603,0,21.484,5.488,0.225,0.227,32
0.99769,0.00231028,0,23.88,5.003,0.182,0.223,34
0.999836,0.000163686,0,22.725,5.759,0.231,0.255,35
0.999791,0.000208916,0,20.751,5.146,0.23,0.227,28
0.998552,0.00144789,0,33.225,8.063,0.225,0.196,47
0.999807,0.000193478,0,26.137,6.754,0.238,0.181,57
0.999876,0.000123596,0,25.705,6.96,0.24,0.209,39
0.999758,0.000242424,0,24.235,6.167,0.227,0.227,33
0.999703,0.000297091,0,23.3,5.727,0.228,0.224,35
3.75E-17,1,0,113.974,9.423,0.045,0.427,55
0.000107435,0.999893,0,70.95,11.841,0.142,0.168,67
0.179133,0.820867,0,50.644,9.441,0.148,0.188,64
0.998277,0.00172322,0,34.26,8.372,0.216,0.206,42
0.988178,0.0118217,0,24.707,4.208,0.16,0.363,14
0.999716,0.000283795,0,22.586,5.414,0.213,0.197,60
0.99956,0.000440156,0,20.462,4.751,0.2,0.24,27
0.998759,0.00124071,0,20.002,4.038,0.19,0.234,31
0.99314,0.00685995,0,43.759,10.445,0.217,0.187,71
0.989395,0.0106053,0,30.31,6.201,0.169,0.197,52
0.997374,0.00262582,0,25.882,5.515,0.188,0.265,25
0.999919,8.06E-05,0,24.711,6.588,0.252,0.218,57
0.999428,0.000571933,0,21.734,4.924,0.21,0.217,38
1.45E-20,1,1,143.562,14.302,0.046,0.572,44
0.966756,0.0332443,0,34.734,7.122,0.168,0.182,45
0.994065,0.00593462,0,31.359,6.809,0.197,0.174,52
0.99916,0.000840111,0,28.333,6.767,0.227,0.232,35
0.997762,0.00223815,0,27.893,6.112,0.196,0.194,57
0.99871,0.00128984,0,27.698,6.438,0.204,0.175,52
0.999555,0.000444753,0,27.112,6.588,0.223,0.228,51
0.994405,0.00559536,0,21.321,3.746,0.171,0.243,25
0.999791,0.000209204,0,20.969,5.159,0.232,0.238,29
0.966315,0.033685,0,40.901,8.915,0.192,0.176,56
0.999678,0.000322113,0,29.372,7.525,0.24,0.198,51
0.994499,0.00550055,0,27.462,5.641,0.19,0.184,46
0.999668,0.000331796,0,22.741,5.506,0.231,0.228,30
0.993031,0.00696947,0,40.49,9.527,0.211,0.15,70
0.998637,0.00136251,0,30.52,7.227,0.214,0.244,36
0.997387,0.00261265,0,26.267,5.625,0.196,0.209,40
0.999798,0.000202259,0,25.542,6.555,0.238,0.204,48
0.999726,0.000273757,0,24.464,6.138,0.236,0.184,45
0.998548,0.00145225,0,23.931,5.13,0.197,0.223,41
0.999743,0.000256737,0,22.22,5.581,0.21,0.221,33
0.99968,0.000320354,0,21.227,5.032,0.222,0.228,34
0.99913,0.000869991,0,21.156,4.599,0.197,0.216,35
0,1,0,427.248,29.349,0.032,0.551,53
8.92E-29,1,1,163.321,10.66,0.045,0.404,38
0.621722,0.378278,0,45.833,8.846,0.158,0.179,77
0.995691,0.0043093,0,33.429,7.646,0.201,0.192,47
0.93208,0.0679203,0,33.387,6.206,0.167,0.204,43
0.999356,0.000643923,0,31.51,7.867,0.23,0.21,49
0.980506,0.0194936,0,29.388,5.67,0.172,0.224,31
0.998671,0.00132874,0,23.922,5.163,0.2,0.226,40
0.00708157,0.992918,0,69.624,13.604,0.17,0.168,71
0.998171,0.00182871,0,26.782,5.863,0.196,0.289,28
0.993661,0.00633951,0,26.437,5.248,0.175,0.269,25
0.999459,0.000541167,0,22.137,5.139,0.215,0.22,30
0.679465,0.320535,0,38.791,6.885,0.146,0.201,57
0.981555,0.0184452,0,35.055,7.442,0.187,0.178,49
0.99897,0.00102965,0,27.089,6.262,0.215,0.199,49
0.993587,0.00641253,0,25.814,5.09,0.168,0.218,39
0.999813,0.000186997,0,23.982,6.171,0.243,0.207,37
0.996381,0.00361955,0,23.363,4.63,0.166,0.219,38
0.993933,0.00606682,0,31.337,6.836,0.197,0.196,41
0.998978,0.00102168,0,24.014,5.369,0.202,0.238,33
0.99928,0.000719667,0,22.495,5.108,0.215,0.206,33
0.999215,0.000784801,0,20.739,4.478,0.19,0.276,24
0.999576,0.000424246,0,20.062,4.506,0.212,0.219,40
0,1,1,700.333,45.867,0.029,0.52,68
0.888664,0.111336,0,61.688,14.528,0.21,0.137,104
0.923887,0.0761133,0,46.109,10.051,0.197,0.161,66
0.991118,0.00888183,0,41.73,9.763,0.213,0.15,72
0.986172,0.0138278,0,38.578,8.522,0.194,0.188,65
0.986333,0.0136671,0,37.691,8.243,0.2,0.19,61
0.999916,8.39E-05,0,35.161,9.896,0.263,0.156,80
0.999199,0.000801259,0,33.897,8.556,0.232,0.198,49
0.997569,0.00243085,0,27.814,6.218,0.193,0.194,42
0.960036,0.0399637,0,25.309,3.947,0.134,0.233,43
0.998646,0.00135416,0,25.103,5.58,0.202,0.201,43
0.999103,0.000897204,0,24.933,5.679,0.214,0.239,33
0.999326,0.000674008,0,23.771,5.467,0.207,0.202,47
0.997477,0.00252303,0,22.769,4.593,0.171,0.242,33
0.2381,0.7619,0,30.652,2.82,0.056,0.545,23
0.998197,0.00180299,0,28.234,6.414,0.21,0.211,39
0.998772,0.00122756,0,28.188,6.5,0.209,0.258,36
0.995283,0.00471738,0,24.116,4.634,0.173,0.216,44
0.999385,0.000615188,0,24.06,5.531,0.207,0.227,47
0.999562,0.000437835,0,20.966,4.757,0.208,0.26,32
0.99904,0.000960304,0,20.822,4.37,0.186,0.249,36
0.981332,0.0186682,0,53.544,13.07,0.224,0.147,81
0.910973,0.0890271,0,31.269,5.393,0.136,0.241,42
0.994959,0.00504119,0,28.078,5.879,0.19,0.208,40
0.996961,0.00303857,0,27.701,5.928,0.191,0.189,56
0.999921,7.90E-05,0,21.577,5.788,0.252,0.218,37
0.996607,0.00339326,0,20.798,3.711,0.157,0.264,39
0.999482,0.000517908,0,27.009,6.575,0.226,0.204,47
0.9972,0.00279952,0,25.335,5.269,0.193,0.207,43
0.964655,0.0353445,0,24.415,3.588,0.116,0.339,32
0.996152,0.00384752,0,24.296,4.759,0.173,0.205,52
0.999646,0.00035399,0,23.756,5.67,0.228,0.207,50
0.996451,0.00354878,0,22.123,4.171,0.154,0.224,48
0.999953,4.71E-05,0,21.646,6.047,0.258,0.18,51
0.999524,0.000476392,0,21.328,4.925,0.212,0.231,30
5.31E-38,1,1,211.215,13.485,0.023,0.701,33
0.940733,0.0592673,0,46.729,10.53,0.199,0.18,48
0.994556,0.0054439,0,28.88,6.091,0.185,0.182,51
0.998969,0.00103106,0,27.906,6.64,0.212,0.2,40
0.999471,0.000528558,0,25.841,6.291,0.225,0.218,33
0.99042,0.00958034,0,24.11,4.334,0.153,0.251,33
0.999471,0.000528767,0,20.513,4.559,0.208,0.249,30
0,1,1,429.437,23.582,0.021,0.75,46
0.992545,0.00745535,0,45.82,11.188,0.222,0.181,60
0.993813,0.00618716,0,38.304,8.885,0.212,0.215,49
0.996436,0.00356447,0,32.501,7.343,0.205,0.185,57
0.998342,0.00165758,0,30.07,7.085,0.213,0.197,40
0.980199,0.0198013,0,29.884,5.696,0.168,0.213,48
0.999373,0.000626786,0,28.868,7.149,0.23,0.199,40
0.985973,0.0140266,0,26.172,4.843,0.159,0.213,37
0.997004,0.00299641,0,23.272,4.56,0.176,0.284,27
0.995461,0.00453925,0,22.081,4.079,0.157,0.23,39
0.0179257,0.982074,0,45.027,6.471,0.122,0.198,47
0.997862,0.0021383,0,31.567,7.396,0.209,0.214,40
0.998598,0.00140196,0,30.39,7.324,0.207,0.208,36
0.958564,0.0414355,0,29.842,5.332,0.151,0.287,26
