Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
1.78E-26,1,1,244.095,14.541,0.021,0.944,4
0.999784,0.000216433,0,22.727,5.019,0.2,0.411,6
0.998803,0.00119687,0,20.952,3.643,0.142,0.511,4
1.78E-29,1,1,251.258,10.029,0.01,0.985,2
0.997197,0.00280321,0,46.961,10.231,0.197,0.35,9
0.999357,0.000643461,0,20.022,3.793,0.176,0.516,4
0.999731,0.000268693,0,21.574,4.832,0.214,0.457,5
0.999407,0.000592987,0,21.488,4.287,0.192,0.546,4
0,1,1,701.949,5.366,0.001,0.991,2
0.0181414,0.981859,0,46.177,1.809,0.034,0.584,3
7.05E-10,1,1,178.838,30.117,0.136,0.394,14
0.997751,0.00224941,0,20.178,2.994,0.14,0.579,3
0.999866,0.000134505,0,26.606,6.809,0.242,0.477,6
0.979746,0.0202539,0,20.181,0,0,1,1
0.99874,0.00125981,0,38.323,7.294,0.163,0.366,9
0.992974,0.00702612,0,25.167,2.544,0.087,0.491,5
0.998571,0.0014292,0,21.012,3.346,0.139,0.523,4
0.986024,0.0139759,0,31.906,4.1,0.106,0.417,6
8.68E-05,0.999913,1,88.873,8.805,0.08,0.44,9
0.932315,0.0676846,1,77.027,16.252,0.19,0.435,12
0.999908,9.24E-05,0,39.172,9.031,0.219,0.336,11
0.999993,6.62E-06,0,28.148,7.438,0.243,0.314,11
0.999538,0.000461712,0,26.64,4.257,0.138,0.379,8
0.999838,0.000162058,0,22.731,5.268,0.217,0.417,6
0.99823,0.00176957,0,28.325,5.558,0.191,0.459,5
0.997138,0.00286159,0,24.848,4.215,0.151,0.665,3
0.999807,0.000192924,0,21.075,3.806,0.151,0.384,7
0.99963,0.000370132,0,20.734,4.297,0.175,0.451,5
0.999775,0.000225333,0,26.87,4.423,0.154,0.342,9
0.9965,0.00349955,0,28.861,5.616,0.181,0.517,4
0.99922,0.000779472,0,23.021,4.435,0.185,0.581,4
0.999256,0.000743798,0,20.088,3.941,0.183,0.619,3
0.997829,0.00217083,0,35.003,6.069,0.162,0.359,8
0.975117,0.0248832,0,26.179,1.503,0.049,0.485,5
0.999298,0.000701526,0,25.175,5.268,0.187,0.476,5
