Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0,1,1,353.608,37.541,0.077,0.543,16
0.412004,0.587996,0,45.327,8.06,0.148,0.349,9
0.195632,0.804368,0,33.044,3.346,0.09,0.747,3
0.990315,0.00968522,0,32.604,7.884,0.218,0.37,8
0.975198,0.0248024,0,31.784,6.448,0.17,0.363,8
0.994874,0.00512633,0,22.779,4.807,0.189,0.431,6
0.988706,0.0112941,0,45.842,10.885,0.224,0.297,13
0.98345,0.0165503,0,36.847,9.5,0.24,0.367,8
0.907917,0.0920825,0,30.605,4.837,0.115,0.426,7
0.994692,0.00530849,0,29.427,6.91,0.211,0.368,8
0.999091,0.000909437,1,28.942,7.839,0.26,0.351,9
0.996302,0.00369813,0,23.195,5.425,0.204,0.428,6
0.94681,0.05319,0,22.687,3.271,0.125,0.7,3
0.985774,0.0142258,0,21.173,3.474,0.15,0.636,4
0.997888,0.00211175,0,21.119,4.816,0.208,0.45,6
0.996076,0.00392385,0,20.604,4.015,0.185,0.415,6
9.58E-38,1,0,247.131,11.567,0.019,0.771,4
2.02E-28,1,0,202.506,13.383,0.03,0.756,6
0.925797,0.0742027,0,42.363,8.311,0.167,0.33,11
0.88052,0.11948,0,41.053,7.8,0.162,0.336,10
0.995897,0.004103,0,38.314,9.688,0.231,0.318,11
0.942624,0.0573762,0,27.492,5.158,0.161,0.463,5
0.916404,0.0835957,0,25.932,3.17,0.113,0.435,6
0.978963,0.0210368,0,25.633,4.572,0.165,0.447,6
0.982652,0.0173479,0,24.399,4.04,0.136,0.496,6
0.993548,0.0064523,0,23.321,4.246,0.152,0.402,7
0.994127,0.00587326,0,21.407,3.933,0.173,0.428,6
0,1,1,480.945,51.818,0.068,0.532,22
0.779004,0.220996,0,25.912,3.084,0.07,0.907,2
0.992199,0.00780084,0,24.935,4.791,0.179,0.392,7
0.987539,0.0124613,0,24.198,4.131,0.153,0.518,6
0.994395,0.00560499,0,23.268,4.411,0.155,0.399,7
