Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
1.46E-23,1,1,74.332,5.25,0.069,0.27,16
1.97E-26,1,1,84.418,5.238,0.052,0.291,18
6.38E-15,1,1,39.536,1.83,0.042,0.302,17
0,1,1,145.547,15.017,0.074,0.225,44
7.92E-14,1,1,43.97,1.74,0.032,0.412,8
0,1,1,295.704,24.609,0.081,0.204,32
0,1,1,164.126,15.272,0.085,0.209,33
6.10E-31,1,1,88.854,9.697,0.091,0.209,29
3.49E-09,1,1,20.688,1.42,0.052,0.304,12
0,1,1,231.187,12.02,0.039,0.332,24
1.25E-36,1,1,126.047,7.127,0.036,0.253,18
3.69E-20,1,1,56.536,4.532,0.051,0.248,20
5.81E-38,1,1,130.849,8.06,0.057,0.297,18
1.90E-09,1,0,26.058,1.003,0.03,0.417,8
0,1,1,141.515,15.663,0.107,0.165,48
1.77E-33,1,1,95.761,10.668,0.105,0.196,32
6.00E-09,1,1,22.044,3.326,0.138,0.378,8
3.16E-22,1,1,69.044,4.785,0.066,0.285,16
0,1,1,254.344,15.805,0.047,0.272,35
1.15E-23,1,1,76.943,2.494,0.032,0.306,16
3.54E-26,1,1,81.516,6.158,0.06,0.351,19
3.57E-19,1,1,46.204,5.933,0.09,0.215,25
3.47E-13,1,0,31.525,2.785,0.048,0.246,17
2.66E-19,1,1,53.227,4.101,0.075,0.248,20
3.30E-15,1,0,39.067,3.999,0.062,0.258,17
0,1,1,186.507,17.026,0.071,0.268,31
2.10E-19,1,1,58.715,2.851,0.048,0.258,16
6.93E-14,1,1,37.738,0,0,0.25,16
3.82E-09,1,1,24.721,1.132,0.043,0.371,8
2.63E-32,1,1,101.86,8.09,0.058,0.316,23
3.47E-09,1,1,25.497,2.784,0.078,0.431,6
1.96E-09,1,1,21.726,1.43,0.064,0.303,12
6.10E-12,1,0,29.304,5.09,0.157,0.307,12
0,1,1,155.922,13.387,0.08,0.207,36
7.21E-10,1,1,25.805,1.123,0.038,0.342,10
8.30E-34,1,1,95.833,9.802,0.09,0.19,34
3.92E-27,1,1,80.655,6.107,0.066,0.251,24
5.02E-29,1,1,96.426,6.474,0.066,0.272,16
8.64E-09,1,1,20.181,2.445,0.087,0.321,10
1.91E-15,1,1,50.497,2.192,0.043,0.36,8
3.55E-37,1,1,135.073,6.085,0.036,0.386,12
3.25E-36,1,1,109.678,11.364,0.077,0.31,29
4.37E-13,1,1,32.401,4.848,0.109,0.276,14
1.32E-20,1,1,64.001,2.565,0.04,0.273,16
2.05E-17,1,1,39.82,4.623,0.089,0.208,25
2.10E-16,1,1,38.681,4.463,0.098,0.23,22
0,1,1,245.572,30.906,0.1,0.212,41
0,1,1,231.745,16.215,0.056,0.265,32
0,1,1,119.516,12.455,0.099,0.188,41
0,1,1,124.415,10.029,0.066,0.214,30
4.65E-16,1,1,48.656,2.691,0.047,0.345,12
2.45E-23,1,1,64.01,5.663,0.084,0.207,25
6.12E-31,1,1,92.343,6.585,0.059,0.22,28
0,1,1,138.569,13.021,0.088,0.182,40
0,1,1,145.198,10.914,0.068,0.229,32
2.49E-34,1,1,101.076,8.528,0.079,0.195,32
0,1,1,143.818,10.99,0.06,0.249,29
3.58E-33,1,1,102.058,8.73,0.072,0.24,26
2.28E-17,1,1,49.583,3.505,0.07,0.255,16
1.95E-26,1,1,74.194,6.777,0.068,0.211,27
5.20E-25,1,1,71.633,6.215,0.081,0.221,24
3.46E-10,1,0,26.762,1.531,0.055,0.378,10
3.36E-08,1,0,20.831,1.026,0.049,0.358,8
6.95E-13,1,1,33.307,3.89,0.093,0.299,13
4.81E-16,1,1,46.839,0.015,0,0.25,16
5.35E-27,1,1,77.163,8.55,0.084,0.22,25
3.41E-19,1,1,49.12,3.657,0.069,0.214,24
2.89E-10,1,0,25.606,0.985,0.037,0.313,12
8.53E-09,1,1,21.224,2.414,0.081,0.339,9
2.78E-24,1,1,79.227,2.894,0.036,0.303,16
0,1,1,169.759,6.869,0.029,0.412,12
6.08E-10,1,1,24.049,1.245,0.051,0.292,12
7.11E-12,1,1,30.233,2.408,0.067,0.308,13
2.15E-11,1,1,27.152,2.529,0.06,0.269,14
7.70E-09,1,1,21.42,1.158,0.048,0.346,10
1.89E-22,1,1,56.617,5.163,0.087,0.194,29
5.11E-11,1,1,32.551,1.246,0.037,0.368,8
1.28E-21,1,1,68.239,2.659,0.039,0.251,16
4.93E-31,1,1,92.525,9.331,0.08,0.254,26
7.73E-11,1,1,25.782,1.313,0.047,0.271,14
0,1,1,156.997,12.104,0.066,0.226,36
3.92E-10,1,1,27.611,1.473,0.049,0.367,9
9.98E-12,1,1,27.086,1.826,0.066,0.268,16
3.43E-31,1,1,96.539,7.663,0.069,0.259,24
0,1,1,136.655,18.46,0.112,0.179,48
5.78E-24,1,1,80.965,4.018,0.034,0.366,12
7.69E-15,1,1,41.062,0.857,0.021,0.254,16
5.76E-23,1,1,70.354,4.546,0.056,0.274,18
7.43E-21,1,1,65.12,3.692,0.05,0.309,15
1.45E-25,1,1,70.787,7.673,0.104,0.212,26
2.35E-16,1,1,43.467,4.549,0.087,0.244,17
0,1,1,152.907,15.329,0.083,0.224,40
0,1,1,195.329,17.897,0.082,0.222,38
2.26E-20,1,1,67.219,3.547,0.05,0.33,11
5.00E-24,1,1,81.465,3.683,0.021,0.401,12
6.60E-19,1,1,60.603,2.792,0.042,0.346,12
9.03E-13,1,1,29.424,4.36,0.122,0.268,16
4.93E-28,1,1,84.147,6.524,0.075,0.228,24
6.14E-10,1,0,23.787,1.542,0.063,0.289,12
3.16E-11,1,1,24.094,2.883,0.096,0.274,16
4.27E-20,1,1,63.877,0.097,0.001,0.25,16
2.47E-19,1,1,54.116,3.171,0.048,0.254,20
1.16E-20,1,1,58.768,4.368,0.066,0.247,20
0,1,1,246.128,10.805,0.031,0.399,16
1.51E-09,1,0,22.432,1.177,0.051,0.297,12
9.92E-34,1,1,102.877,8.138,0.078,0.216,28
2.29E-13,1,1,35.381,3.824,0.09,0.309,13
2.86E-25,1,1,75.382,6.664,0.075,0.246,21
5.81E-25,1,1,80.916,4.332,0.041,0.332,16
1.44E-14,1,1,44.955,1.978,0.042,0.346,10
2.02E-15,1,1,41.476,3.365,0.074,0.252,16
1.04E-15,1,1,46.111,2.799,0.059,0.31,13
1.02E-14,1,1,53.072,0,0,0.5,4
9.13E-27,1,1,70.993,6.194,0.085,0.19,32
0,1,1,157.112,13.255,0.072,0.219,32
0,1,1,183.458,20.734,0.102,0.168,46
9.61E-21,1,1,59.684,3.623,0.054,0.271,20
0,1,1,143.245,7.564,0.046,0.267,20
3.17E-08,1,1,21.038,0.834,0.032,0.41,8
1.08E-09,1,1,27.098,1.064,0.036,0.377,8
2.49E-11,1,1,33.8,1.343,0.039,0.36,8
1.01E-11,1,1,26.862,2.096,0.078,0.255,16
1.36E-19,1,1,61.642,0.239,0.004,0.25,16
0,1,1,181.885,8.233,0.04,0.362,11
4.49E-16,1,1,48.377,3.158,0.059,0.316,12
0,1,1,135.784,12.585,0.083,0.215,33
5.13E-21,1,1,56.115,4.492,0.072,0.241,24
1.64E-19,1,1,54.343,3.808,0.06,0.263,20
1.01E-12,1,1,26.867,4.758,0.154,0.246,18
3.57E-27,1,1,89.398,5.411,0.055,0.321,16
0,1,1,150.13,10.205,0.059,0.237,24
0,1,1,144.774,12.859,0.081,0.213,40
1.15E-27,1,1,92.31,4.445,0.048,0.27,16
2.44E-22,1,1,66.22,3.948,0.047,0.234,20
0,1,1,142.079,16.031,0.104,0.169,40
1.49E-15,1,1,46.607,2.598,0.049,0.336,12
1.01E-26,1,1,87.376,5.587,0.062,0.292,16
4.37E-26,1,1,72.703,6.762,0.072,0.226,27
1.12E-33,1,1,105.984,7.734,0.062,0.256,25
2.78E-16,1,1,41.425,2.955,0.062,0.23,20
5.53E-18,1,1,46.626,5.41,0.101,0.229,20
1.04E-09,1,0,22.951,3.794,0.137,0.318,10
2.33E-23,1,1,65.979,4.582,0.063,0.218,24
0,1,1,266.307,13.639,0.033,0.336,24
1.91E-23,1,1,70.273,4.658,0.055,0.267,20
1.90E-15,1,1,41.954,2.905,0.068,0.257,16
0,1,1,154.887,13.321,0.073,0.228,30
3.24E-10,1,0,24.742,1.799,0.069,0.295,12
1.53E-21,1,1,56.305,5.83,0.069,0.214,25
0,1,1,190.297,20.636,0.101,0.175,49
2.39E-18,1,1,62.084,3.022,0.047,0.363,8
1.69E-08,1,1,22.079,1.039,0.046,0.363,8
1.45E-28,1,1,89.402,6.568,0.047,0.248,21
2.58E-30,1,1,93.23,7.177,0.07,0.253,24
1.46E-38,1,1,131.66,7.658,0.048,0.311,20
2.22E-07,1,1,22.092,0.01,0,0.5,4
4.26E-28,1,1,76.849,8.433,0.1,0.19,30
1.50E-08,1,1,22.503,0.807,0.036,0.354,8
0,1,1,150.93,10.616,0.056,0.293,29
2.57E-21,1,1,61.067,4.923,0.075,0.259,20
4.80E-08,1,1,20.281,0.903,0.044,0.358,8
3.10E-13,1,1,37.372,1.951,0.049,0.308,12
6.72E-11,1,1,31.93,1.311,0.031,0.425,8
2.11E-19,1,1,54.448,3.143,0.045,0.245,20
2.27E-32,1,1,103.615,7.554,0.059,0.277,22
5.16E-22,1,1,69.608,4.224,0.054,0.29,15
1.52E-13,1,1,35.321,3.601,0.08,0.297,14
5.16E-17,1,1,47.161,4.625,0.079,0.278,16
8.57E-10,1,1,23.159,2.767,0.09,0.311,11
1.30E-29,1,1,99.633,5.446,0.041,0.354,16
7.24E-17,1,1,45.743,4.376,0.073,0.27,17
6.12E-22,1,1,64.401,4.019,0.042,0.295,20
0,1,1,382.548,34.161,0.076,0.218,45
3.14E-13,1,0,36.899,2.497,0.067,0.305,12
3.04E-32,1,1,98.518,8.202,0.07,0.266,26
1.86E-12,1,1,31.253,0.536,0.017,0.261,16
1.30E-28,1,1,95.044,5.989,0.061,0.293,16
1.46E-19,1,1,58.389,5.223,0.06,0.35,15
9.92E-16,1,1,44.499,1.216,0.027,0.275,16
5.38E-10,1,1,23.994,1.585,0.064,0.289,12
4.90E-25,1,1,74.077,8.104,0.081,0.387,20
1.46E-31,1,1,95.449,11.023,0.092,0.242,24
3.21E-20,1,1,59.189,3.97,0.061,0.291,18
3.44E-24,1,1,69.011,5.176,0.068,0.216,24
3.19E-13,1,1,30.965,2.382,0.072,0.241,18
5.34E-31,1,1,96.717,6.469,0.059,0.233,24
0,1,0,126.922,10.339,0.079,0.208,32
9.36E-19,1,1,50.683,5.711,0.065,0.24,19
6.39E-22,1,1,70.61,4.917,0.044,0.363,13
3.47E-25,1,1,73.267,5.115,0.063,0.217,24
1.45E-15,1,0,37.477,4.058,0.084,0.244,20
3.99E-14,1,1,40.958,2.084,0.042,0.361,12
9.06E-21,1,1,54.283,4.231,0.068,0.232,25
3.30E-17,1,1,53.688,2.483,0.043,0.336,12
4.02E-13,1,1,28.175,4.041,0.115,0.234,19
1.16E-09,1,1,22.523,4.038,0.155,0.325,10
4.70E-29,1,1,82.188,8.053,0.089,0.212,29
4.19E-28,1,1,82.716,6.13,0.058,0.253,26
0,1,1,222.788,29.498,0.114,0.172,45
8.56E-14,1,1,31.131,2.666,0.082,0.228,20
4.87E-19,1,1,55.824,4.482,0.076,0.281,16
1.56E-20,1,1,62.446,4.09,0.052,0.298,16
3.36E-34,1,1,109.005,9.272,0.056,0.252,23
1.33E-12,1,1,30.35,2.386,0.071,0.253,16
1.53E-22,1,1,64.975,5.305,0.063,0.233,21
8.18E-27,1,1,69.868,7.839,0.105,0.192,32
1.31E-23,1,1,74.602,5.166,0.068,0.263,16
3.14E-14,1,1,36.849,2.838,0.073,0.26,16
1.08E-21,1,1,58.186,5.519,0.088,0.206,24
1.72E-31,1,1,100.107,7.328,0.059,0.257,22
1.89E-19,1,1,49.453,4.578,0.087,0.217,24
1.20E-16,1,1,40.74,5.733,0.096,0.227,20
