Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
7.78E-07,0.999999,1,81.744,6.08,0.058,0.604,3
0.967761,0.0322386,1,21.593,0,0,1,1
5.20E-07,1,1,74.916,0,0,1,1
0.00297885,0.997021,1,49.087,0,0,1,1
0.808262,0.191738,0,27.45,0,0,1,1
0.994886,0.00511371,0,20.246,2.553,0.123,0.725,2
9.87E-06,0.99999,1,75.472,5.494,0.072,0.71,2
5.48E-10,1,1,95.367,0,0,1,1
1.46E-05,0.999985,1,64.959,0,0,1,1
6.04E-12,1,1,108.815,0,0,1,1
0.776365,0.223635,0,39.021,5.413,0.137,0.714,2
0.00105455,0.998945,1,52.191,0,0,1,1
1.72E-14,1,1,150.032,10.822,0.047,0.888,2
2.67E-05,0.999973,1,63.164,0,0,1,1
0.000791736,0.999208,0,53.047,0,0,1,1
0.0931678,0.906832,0,38.532,0,0,1,1
0.664949,0.335051,0,30.467,1.707,0.052,0.751,2
0.872927,0.127073,0,25.993,0,0,1,1
0.9916,0.00839985,0,24.963,3.649,0.138,0.744,2
0.909772,0.0902277,0,24.848,0,0,1,1
0.91716,0.0828402,0,24.569,0,0,1,1
0.946661,0.0533386,0,23.161,0,0,1,1
0.974886,0.025114,0,20.826,0,0,1,1
0.97934,0.0206605,0,20.23,0,0,1,1
0.0177395,0.982261,0,43.719,0,0,1,1
0.721515,0.278485,0,38.301,5.583,0.137,0.626,3
0.990692,0.00930813,0,28.84,4.986,0.167,0.726,2
0.996731,0.0032692,0,26.032,5.693,0.213,0.603,3
1.08E-08,1,1,122.546,18.397,0.096,0.634,6
0.721538,0.278462,0,47.835,8.845,0.173,0.693,3
1.10E-05,0.999989,1,65.803,0,0,1,1
0.924743,0.0752571,0,24.258,0,0,1,1
0.992355,0.00764532,0,24.074,4.145,0.165,0.625,3
0.000506866,0.999493,1,68.554,8.301,0.117,0.605,4
0.893835,0.106165,0,43.713,8.084,0.182,0.713,2
0.11284,0.88716,0,37.895,0,0,1,1
0.18328,0.81672,0,36.201,0,0,1,1
0.370026,0.629974,1,36.009,2.476,0.065,0.738,2
9.74E-09,1,1,86.782,0,0,1,1
0.136003,0.863997,1,37.259,0,0,1,1
0.215974,0.784026,1,37.872,2.501,0.066,0.708,2
0.0488455,0.951154,0,40.601,0,0,1,1
0.28173,0.71827,1,34.535,0,0,1,1
0.997795,0.00220467,0,20.055,3.247,0.16,0.708,2
0.784081,0.21592,0,27.895,0,0,1,1
0.986778,0.0132216,0,25.381,3.48,0.135,0.714,2
0.987725,0.012275,0,24.15,3.863,0.148,0.61,3
0.00150321,0.998497,1,51.132,0,0,1,1
0.998227,0.00177268,0,24.044,4.808,0.196,0.713,2
9.19E-15,1,1,128.175,0,0,1,1
0.633686,0.366314,1,47.313,9.445,0.166,0.547,4
0.358188,0.641812,0,58.407,10.84,0.174,0.744,2
0.987433,0.0125675,0,29.526,4.866,0.152,0.755,2
0.000580414,0.99942,1,53.974,0,0,1,1
0.00690937,0.993091,1,46.565,0,0,1,1
0.840037,0.159963,1,30.98,2.942,0.094,0.716,2
0.0770075,0.922992,1,43.467,4.195,0.079,0.606,3
0.00036381,0.999636,0,63.473,5.62,0.07,0.654,3
0.00479063,0.995209,0,47.664,0,0,1,1
0.391777,0.608223,0,33.055,0,0,1,1
2.44E-07,1,1,77.17,0,0,1,1
0.127867,0.872133,0,48.084,5.416,0.107,0.741,2
0.920738,0.0792618,0,43.837,8.383,0.179,0.743,2
0.117241,0.882759,0,37.766,0,0,1,1
0.774161,0.225839,0,28.067,0,0,1,1
0.895886,0.104114,0,25.321,0,0,1,1
0.972339,0.0276609,0,21.122,0,0,1,1
0.977122,0.0228784,0,20.541,0,0,1,1
3.08E-09,1,1,105.485,8.287,0.039,0.772,3
3.16E-05,0.999968,1,101.311,16.963,0.151,0.764,2
0.550586,0.449414,1,34.952,3.828,0.071,0.641,3
0.876563,0.123437,0,25.894,0,0,1,1
0.975123,0.0248774,0,34.619,7.321,0.187,0.604,4
0.83806,0.16194,0,46.577,9.38,0.194,0.631,3
0.0361218,0.963878,1,41.541,0,0,1,1
0.0040789,0.995921,1,48.146,0,0,1,1
0.960696,0.0393041,0,30.763,4.3,0.136,0.723,2
0.0230088,0.976991,1,52.19,4.829,0.081,0.785,2
0.989511,0.0104887,1,20.219,1.379,0.044,0.891,2
4.80E-07,1,1,94.375,9.413,0.05,0.839,3
0.996296,0.00370412,1,21.177,3.061,0.134,0.752,2
0.863958,0.136042,1,37.685,5.221,0.115,0.808,2
0.142535,0.857464,1,56.145,8.586,0.141,0.756,2
0.905977,0.0940231,0,29.755,2.59,0.064,0.854,2
0.98,0.0199997,0,26.351,4.353,0.145,0.59,3
0.192744,0.807256,0,36.016,0,0,1,1
0.997367,0.00263256,0,22.034,3.688,0.159,0.737,2
0.000293385,0.999707,1,78.607,10.051,0.098,0.841,2
0.934158,0.0658418,0,23.829,0,0,1,1
1.23E-09,1,1,111.709,8.784,0.041,0.916,3
0.96401,0.0359898,1,21.933,0,0,1,1
0.984604,0.0153962,0,20.864,1.676,0.073,0.767,2
1.48E-05,0.999985,1,64.921,0,0,1,1
0.0158383,0.984162,0,44.063,0,0,1,1
0.235674,0.764326,0,35.253,0,0,1,1
0.988287,0.0117131,0,33.903,7.564,0.212,0.589,3
0.0240637,0.975936,1,42.79,0,0,1,1
0.993315,0.00668473,0,21.603,3.43,0.154,0.617,3
0.995115,0.00488542,0,27.901,5.302,0.187,0.709,2
0.977626,0.0223744,1,20.473,0,0,1,1
0.84682,0.15318,0,28.91,2.193,0.072,0.741,2
7.76E-11,1,1,101.198,0,0,1,1
0.00126855,0.998731,1,57.259,2.883,0.027,0.928,2
0.0150685,0.984932,1,44.214,0,0,1,1
0.987796,0.0122039,1,26.188,3.76,0.137,0.736,2
0.962237,0.0377632,0,22.082,0,0,1,1
0.971618,0.028382,0,21.201,0,0,1,1
1.57E-05,0.999984,1,64.748,0,0,1,1
0.0428703,0.95713,0,41.009,0,0,1,1
0.535106,0.464894,0,31.323,0,0,1,1
0.975115,0.0248853,0,20.798,0,0,1,1
1.82E-06,0.999998,1,91.093,10.011,0.074,0.792,4
0.218846,0.781154,0,35.539,0,0,1,1
0.920103,0.0798972,0,32.291,3.806,0.096,0.817,2
0.000932295,0.999068,1,52.559,0,0,1,1
0.975017,0.024983,0,20.81,0,0,1,1
6.00E-10,1,1,95.098,0,0,1,1
0.00367549,0.996324,1,54.574,4.791,0.075,0.64,3
0.947345,0.0526552,0,32.739,4.375,0.104,0.833,2
0.469843,0.530156,0,32.103,0,0,1,1
0.878662,0.121338,0,27.133,2.24,0.064,0.723,3
0.959389,0.0406109,0,24.507,2.191,0.089,0.708,2
0.859472,0.140528,1,41.654,8.09,0.19,0.582,4
0.142839,0.857161,0,37.089,0,0,1,1
4.42E-08,1,1,82.271,0,0,1,1
0.931889,0.0681111,1,33.523,6.044,0.159,0.57,4
0.895979,0.104021,0,25.318,0,0,1,1
0.877705,0.122295,1,42.373,7.184,0.147,0.788,2
1.74E-05,0.999983,1,64.443,0,0,1,1
0.963274,0.036726,1,38.641,7.199,0.173,0.75,2
0.000509672,0.99949,1,54.362,0,0,1,1
0.000255763,0.999744,0,56.42,0,0,1,1
0.387313,0.612687,0,33.111,0,0,1,1
0.959351,0.0406487,1,27.816,3.288,0.118,0.708,2
0.0176439,0.982356,1,54.799,6.053,0.071,0.775,3
0.995293,0.00470746,0,25.49,4.22,0.139,0.802,2
0.993175,0.00682469,0,21.712,4.208,0.173,0.512,4
0.976368,0.023632,1,20.64,0,0,1,1
0.642707,0.357293,1,31.053,1.461,0.037,0.83,2
1.18E-05,0.999988,1,90.468,11.277,0.085,0.866,3
0.91693,0.0830696,0,24.578,0,0,1,1
0.880652,0.119348,0,41.554,6.946,0.15,0.771,2
0.955713,0.0442867,0,37.104,6.481,0.168,0.729,2
0.00134153,0.998658,1,51.472,0,0,1,1
0.124213,0.875787,1,37.57,0,0,1,1
0.0481649,0.951835,1,40.645,0,0,1,1
0.000266127,0.999734,1,76.095,10.025,0.087,0.76,4
0.195207,0.804793,0,35.969,0,0,1,1
0.85146,0.14854,1,26.533,0,0,1,1
0.692141,0.307859,0,45.996,7.388,0.141,0.779,2
0.992761,0.0072386,0,23.525,3.393,0.142,0.712,2
0.96006,0.0399404,1,22.256,0,0,1,1
1.26E-12,1,1,113.499,0,0,1,1
0.415258,0.584742,1,43.417,5.457,0.125,0.707,2
0.959918,0.040082,0,22.267,0,0,1,1
3.90E-13,1,1,116.991,0,0,1,1
2.90E-05,0.999971,1,62.919,0,0,1,1
0.0427466,0.957253,1,41.018,0,0,1,1
0.797604,0.202396,1,27.651,0,0,1,1
0.997814,0.00218584,0,22.061,3.85,0.165,0.74,2
0.974481,0.0255192,0,20.875,0,0,1,1
0.980356,0.0196441,0,20.585,1.507,0.071,0.731,2
0.0176296,0.98237,1,65.337,11.287,0.137,0.607,4
0.994986,0.00501383,1,29.593,5.892,0.196,0.71,2
0.240546,0.759454,0,44.728,7.438,0.125,0.498,6
0.760047,0.239953,1,40.084,5.723,0.118,0.787,3
0.599379,0.400621,0,40.958,7.34,0.165,0.462,5
0.724958,0.275042,0,28.851,0,0,1,1
0.988218,0.0117817,1,28.569,4.681,0.159,0.722,2
0.995736,0.00426426,0,20.634,2.741,0.122,0.758,2
0.976111,0.0238886,1,20.673,0,0,1,1
8.81E-06,0.999991,1,66.471,0,0,1,1
9.25E-06,0.999991,1,66.325,0,0,1,1
0.722361,0.277639,1,47.176,9.089,0.184,0.599,3
0.953262,0.046738,0,38.178,7.702,0.193,0.604,3
0.99658,0.00342011,0,25.596,4.762,0.18,0.721,2
0.989969,0.0100308,0,25.077,3.394,0.117,0.79,2
0.956119,0.0438809,0,22.549,0,0,1,1
0.000230744,0.999769,1,89.323,14.489,0.155,0.733,2
0.422408,0.577592,0,41.455,5.984,0.128,0.581,4
0.621503,0.378497,0,30.263,0,0,1,1
0.989585,0.0104147,0,29.829,5.142,0.156,0.763,2
0.865108,0.134892,0,26.198,0,0,1,1
0.41924,0.58076,0,32.715,0,0,1,1
6.37E-13,1,1,115.529,0,0,1,1
0.0487211,0.951279,1,40.609,0,0,1,1
0.214862,0.785138,1,35.609,0,0,1,1
0.772609,0.227391,1,54.071,11.787,0.211,0.647,3
0.989858,0.0101416,0,26.023,3.868,0.14,0.74,2
0.898605,0.101395,0,25.233,0,0,1,1
0.954749,0.0452508,0,22.645,0,0,1,1
0.637431,0.362569,1,33.241,2.478,0.068,0.764,2
0.0811081,0.918892,1,38.985,0,0,1,1
0.0614486,0.938551,1,42.471,2.311,0.047,0.787,2
0.950596,0.049404,1,22.92,0,0,1,1
0.0121957,0.987804,1,67.022,9.66,0.104,0.86,2
