Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0.739923,0.260077,1,43.168,4.91,0.102,0.307,12
0.131089,0.868911,1,43.44,2.873,0.047,0.467,7
0.587378,0.412622,1,33.901,3.336,0.083,0.454,8
0.00571058,0.994289,1,62.773,3.532,0.05,0.492,7
0.412699,0.587301,1,27.988,1.537,0.038,0.588,5
0.283821,0.716179,0,34.284,2.07,0.052,0.464,6
0.0213471,0.978653,1,96.658,14.272,0.116,0.359,19
0.918506,0.0814943,1,38.664,5.019,0.088,0.338,13
0.563709,0.436291,1,51.4,7.174,0.129,0.293,13
0.55513,0.44487,1,30.715,1.283,0.033,0.423,7
0.000268544,0.999731,1,80.928,4.16,0.039,0.538,7
0.359229,0.640771,1,29.03,2.041,0.06,0.508,5
0.277618,0.722382,1,38.246,6.982,0.152,0.399,7
0.917318,0.0826817,1,28.276,3.078,0.105,0.323,10
0.0180429,0.981957,1,87.15,15.509,0.145,0.316,16
0.145592,0.854408,1,26.352,0.56,0.021,0.71,2
0.410935,0.589065,1,24.195,1.056,0.044,0.516,4
0.713995,0.286005,1,20.384,1.66,0.058,0.534,5
0.636772,0.363228,1,26.018,3.894,0.124,0.47,6
1.77E-05,0.999982,1,100.153,5.582,0.046,0.482,8
0.00207754,0.997922,1,89.081,8.488,0.084,0.328,13
0.481715,0.518285,1,29.684,2.686,0.077,0.513,6
0.0105513,0.989449,1,52.893,3.131,0.046,0.639,5
0.0430214,0.956979,1,60.706,5.391,0.076,0.369,10
0.269749,0.730251,1,34.579,2.042,0.056,0.437,6
0.00146675,0.998533,1,70.929,3.596,0.036,0.537,7
0.183787,0.816213,1,37.852,2.488,0.057,0.506,6
0.713421,0.28658,1,26.796,2.319,0.07,0.406,7
0.781134,0.218866,0,41.878,4.837,0.102,0.315,12
0.838665,0.161335,0,26.031,3.152,0.11,0.373,8
0.936261,0.0637388,0,20.468,4.746,0.215,0.358,8
0.526037,0.473963,1,21.567,1.258,0.058,0.519,4
0.0161109,0.983889,1,46.874,2.385,0.03,0.656,4
0.433444,0.566556,1,41.012,4.101,0.077,0.454,9
0.224934,0.775066,1,26.348,1.154,0.043,0.613,3
0.362371,0.637629,1,22.476,1.182,0.052,0.617,3
0.000157588,0.999842,1,100.848,6.832,0.052,0.389,12
0.913093,0.0869067,1,21.907,2.919,0.117,0.367,8
1.65E-05,0.999983,1,97.2,5.094,0.043,0.515,7
0.422911,0.577088,1,34.169,3.33,0.088,0.422,7
0.84646,0.15354,0,29.017,3.447,0.09,0.363,9
0.598027,0.401973,1,26.716,2.718,0.074,0.476,6
0.512517,0.487483,1,35.604,3.565,0.081,0.441,8
0.700398,0.299602,1,20.188,0.734,0.034,0.45,5
0.944677,0.0553229,1,25.556,2.051,0.069,0.328,10
0.136102,0.863898,1,29.965,1.346,0.04,0.622,3
0.0635801,0.93642,1,38.07,0.676,0.016,0.587,4
0.000107085,0.999893,1,99.998,8.599,0.07,0.437,11
0.0116829,0.988317,1,61.781,4.374,0.062,0.429,8
0.79988,0.20012,1,21.612,4.184,0.189,0.482,6
0.00190534,0.998095,1,83.129,5.676,0.049,0.474,11
0.684301,0.315699,1,20.807,1.31,0.051,0.464,5
0.196561,0.803439,1,40.765,4.742,0.099,0.437,7
0.877662,0.122338,1,24.388,3.81,0.135,0.392,8
0.800409,0.199592,1,37.82,4.218,0.104,0.337,11
0.000400968,0.999599,1,92.305,9.615,0.095,0.418,11
0.454974,0.545026,1,23.264,1.337,0.043,0.54,4
0.320462,0.679538,0,29.87,1.99,0.064,0.47,5
0.308147,0.691853,1,50.972,4.713,0.072,0.42,11
0.471301,0.528699,1,46.656,6.084,0.109,0.329,11
0.0479919,0.952008,1,49.783,2.782,0.035,0.463,7
0.23838,0.76162,1,32.418,1.644,0.046,0.518,5
0.480911,0.519089,1,22.586,1.194,0.049,0.521,4
0.019687,0.980313,1,65.462,6.461,0.082,0.365,10
0.0223552,0.977645,1,41.61,1.742,0.038,0.685,3
0.416565,0.583435,1,44.603,5.281,0.112,0.354,10
0.0186016,0.981398,1,55.589,3.4,0.049,0.459,7
0.000386688,0.999613,1,75.232,5.081,0.062,0.498,6
0.859927,0.140074,1,31.863,4.367,0.114,0.332,10
0.842387,0.157613,1,25.849,2.577,0.096,0.386,8
0.630197,0.369803,1,22.176,1.009,0.034,0.475,5
0.00365532,0.996345,1,62.211,3.279,0.031,0.571,6
0.23484,0.76516,1,32.5,2.284,0.045,0.511,5
0.0510323,0.948968,1,50.417,3.876,0.048,0.642,7
0.539451,0.460549,1,31.647,2.332,0.053,0.507,7
0.0101762,0.989824,1,73.098,6.328,0.073,0.417,11
0.18479,0.81521,1,34.179,1.837,0.045,0.493,5
0.256492,0.743508,1,48.877,5.833,0.108,0.358,10
0.0644815,0.935519,1,44.589,3.398,0.07,0.449,6
0.264866,0.735134,1,44.959,4.214,0.083,0.356,9
0.0438538,0.956146,1,53.709,4.156,0.063,0.406,8
2.66E-11,1,1,192.6,14.879,0.063,0.404,12
0.449486,0.550514,1,36.822,2.767,0.066,0.408,8
0.964368,0.0356324,0,30.311,6.017,0.173,0.297,12
0.0630201,0.93698,1,41.424,2.14,0.04,0.52,5
0.740525,0.259475,1,33.289,4.251,0.113,0.415,9
0.263372,0.736628,1,58.804,6.499,0.102,0.298,13
0.00175034,0.99825,1,70.046,5.036,0.064,0.533,7
0.00359225,0.996408,1,75.794,8.513,0.079,0.412,10
0.367745,0.632255,1,42.292,3.534,0.077,0.392,9
0.332379,0.667621,1,49.984,5.197,0.096,0.328,11
0.493161,0.506839,1,25.901,1.554,0.046,0.545,5
0.418159,0.581841,1,20.771,0.325,0.015,0.596,3
0.0707008,0.929299,0,43.923,2.519,0.053,0.453,6
0.330241,0.669759,1,36.607,4.49,0.085,0.444,7
0.796048,0.203952,1,27.696,2.957,0.09,0.392,8
0.0174019,0.982598,1,69.963,8.518,0.11,0.382,11
0.664366,0.335634,1,31.837,2.81,0.075,0.439,8
0.00265916,0.997341,1,57.112,2.314,0.035,0.571,4
0.189553,0.810447,1,47.588,4.63,0.083,0.373,9
0.570404,0.429596,1,20.557,0.882,0.035,0.553,4
0.304456,0.695544,1,40.749,4.567,0.105,0.413,8
0.496946,0.503054,1,28.861,1.833,0.056,0.448,6
0.0227211,0.977279,1,47.616,1.934,0.035,0.518,5
0.301149,0.698851,1,44.01,4.219,0.09,0.368,9
0.00382569,0.996174,1,61.463,2.322,0.028,0.484,6
0.672315,0.327685,1,21.335,1.543,0.065,0.488,5
0.040383,0.959617,1,44.042,3.247,0.067,0.462,5
0.151668,0.848332,1,29.387,0.995,0.024,0.672,3
0.0865478,0.913452,1,70.202,7.752,0.089,0.331,14
0.153311,0.846689,1,52.482,4.997,0.083,0.353,10
0.902602,0.097398,1,22.563,2.604,0.108,0.362,8
0.698851,0.301149,1,24.157,2.259,0.084,0.476,6
0.0533495,0.946651,1,45.762,3.979,0.08,0.435,6
0.190422,0.809578,1,40.762,2.797,0.062,0.437,7
0.712235,0.287765,1,23.409,1.923,0.076,0.414,6
0.3872,0.612801,1,31.679,2.729,0.062,0.477,6
0.129296,0.870704,1,36.64,2.418,0.062,0.469,5
0.762955,0.237045,1,21.963,2.251,0.083,0.424,6
0.000247847,0.999752,1,77.402,3.75,0.041,0.439,6
0.020183,0.979817,1,48.323,2.229,0.042,0.509,5
0.0655489,0.934451,1,65.041,6.083,0.08,0.356,12
0.729999,0.270001,1,33.236,3.79,0.096,0.363,9
0.193905,0.806095,1,50.852,5.473,0.105,0.335,10
0.00409224,0.995908,1,78.358,8.55,0.093,0.366,11
0.177039,0.822961,1,31.443,2.555,0.065,0.556,4
0.472065,0.527935,1,43.109,4.594,0.091,0.345,10
0.676273,0.323727,1,38.602,6.194,0.128,0.392,10
0.603529,0.396471,1,30.1,3.891,0.114,0.435,7
0.627055,0.372945,0,29.143,2.589,0.08,0.403,7
0.0435671,0.956433,1,53.99,7.487,0.096,0.408,8
0.890253,0.109747,1,33.823,5.269,0.136,0.326,11
0.802294,0.197706,1,23.894,1.32,0.045,0.429,7
0.515594,0.484406,1,38.589,3.577,0.083,0.355,9
0.217191,0.782809,1,39.81,2.472,0.052,0.452,7
0.00919301,0.990807,1,59.721,4.491,0.068,0.424,7
0.854063,0.145937,1,25.296,2.928,0.109,0.367,8
0.391704,0.608296,1,24.623,0.934,0.035,0.518,4
0.0218585,0.978141,1,61.676,5.308,0.072,0.443,9
0.537157,0.462843,1,28.434,2.253,0.07,0.532,6
0.781973,0.218027,1,28.384,2.453,0.083,0.438,8
0.306633,0.693367,1,30.385,1.996,0.06,0.501,5
0.707426,0.292574,1,20.678,2.867,0.123,0.481,5
0.194338,0.805662,1,37.335,3.731,0.091,0.444,6
4.29E-05,0.999957,1,101.903,8.716,0.062,0.45,10
0.300309,0.699691,1,51.249,8.544,0.149,0.338,11
0.423898,0.576102,1,37.379,3.674,0.093,0.366,8
0.105642,0.894358,1,76.21,13.623,0.167,0.293,16
0.16565,0.83435,1,42.006,2.791,0.053,0.495,7
0.466756,0.533244,1,26.18,1.001,0.026,0.502,5
0.497917,0.502083,0,25.134,0.226,0.007,0.464,5
0.824614,0.175386,1,26.639,2.923,0.101,0.387,8
0.0877501,0.91225,1,46.11,3.147,0.058,0.46,7
0.0538323,0.946168,1,42.413,2.911,0.056,0.502,5
0.506194,0.493806,1,32.176,2.635,0.067,0.442,7
0.76676,0.23324,1,25.464,3.557,0.126,0.4,7
0.128236,0.871764,1,46.955,3.708,0.069,0.417,8
1.36E-09,1,1,166.322,12.008,0.061,0.471,11
0.0652511,0.934749,1,35.045,1.752,0.048,0.671,3
0.748424,0.251576,1,25.972,3.171,0.113,0.4,7
0.397988,0.602012,1,27.872,1.456,0.032,0.503,5
0.750432,0.249568,0,22.258,1.562,0.067,0.423,6
0.623482,0.376518,1,22.885,2.732,0.106,0.497,5
0.462137,0.537863,0,23.302,1.342,0.056,0.566,4
0.634508,0.365492,1,26.062,2.633,0.085,0.513,6
0.163662,0.836338,1,49.153,5.825,0.109,0.442,9
0.731913,0.268087,1,26.538,2.073,0.076,0.455,7
0.890861,0.109139,1,47.817,9.587,0.182,0.278,15
0.148838,0.851162,1,49.107,2.859,0.04,0.388,9
0.912038,0.0879616,1,32.394,4.834,0.14,0.325,11
0.00172676,0.998273,1,69.984,7.242,0.085,0.477,7
0.313331,0.686669,1,43.605,4.141,0.076,0.37,9
0.353115,0.646885,1,26.475,1.925,0.06,0.659,4
0.819129,0.180871,1,20.024,1.703,0.071,0.451,6
0.690357,0.309643,1,24.945,1.899,0.059,0.611,6
0.0525238,0.947476,1,49.371,4.504,0.09,0.427,7
0.163678,0.836322,1,32.036,2.754,0.051,0.578,4
0.494812,0.505189,1,22.073,0.029,0.001,0.54,4
0.599356,0.400644,1,26.622,1.842,0.067,0.474,6
0.268242,0.731758,1,31.349,1.515,0.045,0.492,5
0.103119,0.896881,1,42.133,2.811,0.049,0.579,6
0.236318,0.763682,1,32.688,3.3,0.093,0.502,5
0.429178,0.570822,1,30.727,1.743,0.048,0.508,6
0.457839,0.542161,1,36.489,3.21,0.074,0.372,8
0.798118,0.201882,0,27.438,2.498,0.088,0.36,8
0.0152488,0.984751,1,63.548,5.721,0.08,0.379,9
0.0304188,0.969581,1,59.422,4.706,0.068,0.398,9
0.469699,0.530301,1,22.944,1.56,0.064,0.522,4
0.0384168,0.961583,1,68.739,12.303,0.151,0.339,12
0.224074,0.775926,1,29.905,2.29,0.07,0.588,4
0.669563,0.330437,1,31.689,3.633,0.084,0.425,8
0.00165586,0.998344,1,87.369,10.613,0.101,0.39,12
0.0143627,0.985637,1,60.377,3.643,0.048,0.412,8
