Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0,1,0,580.805,20.075,0.011,0.819,12
0.996151,0.00384888,0,23.7,6.006,0.233,0.342,10
1.65E-34,1,1,263.054,15.907,0.026,0.741,18
0.386151,0.613849,0,41.789,5.571,0.11,0.268,18
0.854565,0.145435,0,38.963,6.812,0.147,0.266,18
0.788802,0.211198,0,29.306,4.205,0.109,0.342,10
0.993389,0.00661083,0,20.948,4.426,0.206,0.345,9
0,1,1,701.634,14.083,0.015,0.652,12
0.965933,0.0340669,0,26.131,4.813,0.165,0.345,10
0.997336,0.00266425,0,22.102,5.471,0.231,0.31,11
0.0110478,0.988952,0,43.501,4.278,0.045,0.548,7
0.49209,0.507909,0,43.343,7.348,0.143,0.426,14
0.932013,0.0679874,0,42.146,8.054,0.157,0.243,22
0.998972,0.00102831,0,23.601,6.027,0.243,0.276,15
0.998813,0.00118719,0,24.583,6.097,0.229,0.268,16
0.992319,0.00768093,0,21.715,4.148,0.165,0.34,11
0,1,1,370.798,27.077,0.062,0.302,31
0.953384,0.0466165,0,30.959,6.339,0.185,0.347,11
0.965855,0.0341452,0,26.586,4.786,0.171,0.315,11
0.975195,0.0248053,0,23.523,4.362,0.148,0.418,8
0.990992,0.00900806,0,20.223,3.845,0.177,0.345,9
0,1,1,336.266,31.115,0.069,0.406,31
0.966817,0.0331829,0,34.696,6.849,0.145,0.247,18
0.992626,0.00737424,0,29.706,6.65,0.19,0.264,16
0.987753,0.0122468,0,23.372,4.394,0.176,0.326,11
0.93865,0.0613498,0,28.907,4.95,0.127,0.339,12
0.976116,0.0238838,0,22.852,3.772,0.144,0.533,7
0.997095,0.00290551,1,21.43,4.787,0.212,0.302,12
2.49E-34,1,0,245.897,11.214,0.021,0.669,10
2.28E-25,1,0,199.797,13.209,0.028,0.689,13
0.96015,0.03985,0,32.693,5.565,0.144,0.245,18
0.894731,0.105269,0,25.835,3.419,0.116,0.344,10
0,1,1,460.47,46.296,0.065,0.354,60
0.981472,0.0185275,0,24.707,4.853,0.185,0.458,8
0.995495,0.00450498,0,22.709,5.255,0.209,0.309,11
0,1,1,880.668,38.384,0.012,0.855,19
0,1,1,621.895,30.905,0.027,0.591,17
0,1,1,423.958,22.888,0.019,0.751,19
0.970353,0.0296473,0,36.002,8.546,0.22,0.281,14
0.993177,0.00682321,0,20.511,3.871,0.166,0.308,11
3.29E-25,1,1,198.923,13.899,0.031,0.453,15
0.989328,0.0106718,0,22.213,4.33,0.164,0.348,10
0,1,1,608.602,35.138,0.025,0.584,20
0.971621,0.0283792,0,30.698,6.077,0.187,0.28,14
0.980932,0.0190684,0,24.65,4.525,0.166,0.328,11
0.979059,0.0209408,0,23.21,3.8,0.155,0.316,11
0.995126,0.00487445,0,22.875,5.482,0.226,0.379,9
0.994226,0.0057745,0,20.098,3.874,0.159,0.317,11
0.972067,0.0279334,0,23.365,3.579,0.129,0.332,11
0,1,1,907.611,22.264,0.01,0.798,13
0.704648,0.295351,0,29.866,2.993,0.078,0.393,12
0.747155,0.252845,0,28.672,3.934,0.099,0.359,9
0,1,1,408.502,12.777,0.027,0.56,11
0.721679,0.278321,0,34.691,4.777,0.119,0.287,15
0.959219,0.0407805,0,22.774,3.454,0.113,0.561,6
0,1,0,364.936,28.94,0.033,0.759,18
0,1,1,344.472,20.773,0.039,0.442,16
3.88E-05,0.999961,1,92.014,15.64,0.154,0.225,26
0.987937,0.0120634,0,28.803,6.734,0.216,0.298,12
0.992696,0.0073038,0,20.346,3.898,0.166,0.34,10
0.992011,0.00798892,0,20.251,3.972,0.176,0.354,9
0.977673,0.0223271,0,30.351,5.753,0.162,0.255,16
0.0193439,0.980656,1,37.467,1.941,0.027,0.623,6
0.987759,0.0122408,0,27.007,5.783,0.184,0.334,12
0.992997,0.00700253,0,23.671,4.945,0.198,0.357,11
0.995159,0.00484134,0,35.745,8.399,0.215,0.226,21
0,1,1,542.096,27.123,0.03,0.453,25
0.990124,0.00987561,0,23.695,4.757,0.178,0.339,11
0.996047,0.0039531,0,23.06,5.275,0.199,0.31,12
0.998566,0.00143353,0,22.276,5.411,0.23,0.273,14
0.977144,0.0228556,0,20.667,2.969,0.141,0.363,9
0,1,1,337.73,10.814,0.021,0.642,13
8.72E-27,1,1,205.814,13.227,0.027,0.497,13
0.322629,0.677371,0,51.848,9.399,0.158,0.317,19
0.989946,0.0100542,0,25.597,5.243,0.187,0.341,12
5.78E-17,1,0,139.148,10.676,0.036,0.527,7
4.98E-06,0.999995,0,72.854,7.915,0.076,0.611,9
0.983531,0.0164685,0,29.644,6.208,0.192,0.348,13
0,1,1,897.513,29.601,0.009,0.841,13
0.988771,0.0112289,0,24.031,4.868,0.183,0.316,11
0.995289,0.00471137,0,20.021,3.708,0.174,0.298,12
0,1,1,949.848,45.17,0.017,0.773,23
0.961331,0.0386689,0,36.945,7.852,0.189,0.254,17
0.988407,0.0115933,0,25.146,5.142,0.196,0.343,11
0,1,0,747.056,30.597,0.023,0.555,16
0,1,0,279.497,13.188,0.017,0.773,13
0.944688,0.0553122,0,27.362,4.275,0.132,0.335,12
0.995316,0.00468419,0,26.529,6.126,0.217,0.277,14
0.617191,0.382809,0,29.045,3.211,0.077,0.531,7
0.983402,0.0165978,0,20.3,3.39,0.135,0.342,9
0.652517,0.347483,0,34.039,3.88,0.103,0.261,16
2.48E-31,1,1,221.3,6.887,0.011,0.784,10
0.990309,0.0096908,0,22.178,3.642,0.148,0.3,13
0.995564,0.00443555,0,20.993,4.158,0.181,0.312,12
0,1,1,613.37,35.699,0.022,0.794,17
0.779157,0.220843,0,39.524,7.631,0.133,0.285,15
0.99079,0.0092095,0,24.895,5.419,0.199,0.324,11
0.994597,0.00540254,0,23.577,5.269,0.21,0.339,11
0,1,1,449.846,10.487,0.012,0.744,11
0,1,1,390.898,20.968,0.024,0.729,24
0.995076,0.00492452,0,20.14,3.989,0.171,0.322,11
0,1,0,387.303,19.189,0.019,0.637,15
0,1,1,447.493,7.195,0.01,0.76,8
3.60E-07,1,0,71.701,4.709,0.037,0.578,8
0.990964,0.00903566,0,35.971,8.208,0.196,0.229,20
0.980617,0.0193829,0,33.296,7.67,0.221,0.286,14
0.971183,0.0288166,0,24.187,4.332,0.147,0.382,9
0.984398,0.0156019,0,32.067,8.214,0.235,0.386,10
0.993414,0.00658568,0,27.115,6.345,0.217,0.283,13
0.94136,0.05864,0,23.639,3.192,0.117,0.331,10
0,1,0,506.927,27.286,0.019,0.788,14
0,1,0,314.104,19.459,0.024,0.749,19
0.359989,0.640011,0,39.392,4.765,0.087,0.329,16
0.997253,0.0027475,0,30.033,7.47,0.233,0.256,17
0.975648,0.0243518,0,21.9,3.34,0.115,0.359,10
0.979353,0.0206468,0,21.477,3.1,0.127,0.319,11
0.996444,0.00355556,0,21.057,4.544,0.182,0.302,12
1.41E-23,1,1,197.88,17.147,0.037,0.639,15
0.990632,0.00936807,0,35.345,8.38,0.219,0.244,18
0.801207,0.198793,0,31.376,4.998,0.114,0.334,11
0.959724,0.0402761,0,21.81,3.102,0.114,0.345,9
0.993326,0.00667369,0,21.475,4.716,0.205,0.342,9
0.994835,0.00516492,0,20.825,4.458,0.199,0.326,10
0,1,1,341.882,21.062,0.025,0.666,18
0,1,1,1334.886,45.509,0.011,0.807,23
0.159579,0.840421,0,47.334,7.211,0.103,0.288,17
0.910063,0.0899372,0,31.079,5.06,0.124,0.289,14
0.782074,0.217926,0,25.557,3.224,0.101,0.445,6
0.995376,0.004624,0,20.422,3.898,0.175,0.304,12
0.994244,0.00575596,0,30.646,6.74,0.193,0.248,18
0.994392,0.00560771,0,21.343,4.075,0.166,0.322,12
0.994136,0.00586349,0,20.806,4.183,0.168,0.313,11
0.810374,0.189626,0,36.707,6.808,0.161,0.318,13
0,1,1,909.332,16.445,0.011,0.781,12
0.901943,0.0980572,0,35.188,6.68,0.16,0.311,14
0,1,1,919.403,33.133,0.023,0.609,16
0.777946,0.222054,0,35.615,6.584,0.171,0.338,11
0.95951,0.0404899,0,28.467,5.487,0.175,0.318,11
0.972835,0.0271646,0,27.569,5.63,0.176,0.307,11
0.944039,0.0559613,0,26.344,4.032,0.123,0.297,12
0.985167,0.0148328,0,25.341,5.203,0.189,0.305,11
0.98838,0.0116199,0,23.544,5.004,0.173,0.323,10
0,1,1,743.988,27.971,0.011,0.819,16
0.99581,0.00419049,0,29.022,6.046,0.182,0.239,19
1.39E-34,1,0,265.445,15.878,0.027,0.713,21
0.98863,0.0113703,0,26.22,5.032,0.175,0.285,14
0,1,1,286.723,11.899,0.022,0.586,12
0.98178,0.0182197,0,26.45,4.664,0.159,0.28,14
2.96E-14,1,1,124.405,9.752,0.035,0.577,10
0.899245,0.100755,0,24.522,2.763,0.092,0.313,11
0.885732,0.114268,0,34.501,6.48,0.171,0.301,13
0.979942,0.020058,0,26.073,4.664,0.156,0.296,13
0.245878,0.754122,0,25.593,0.904,0.019,0.469,5
0.989938,0.0100618,0,23.519,4.842,0.186,0.362,10
0.982102,0.0178983,0,32.211,7.284,0.211,0.286,14
0.997308,0.00269216,0,31.412,8.227,0.227,0.262,17
0.98502,0.0149802,0,31.373,6.591,0.191,0.259,16
0.989006,0.0109942,0,23.22,4.14,0.135,0.296,13
0.993553,0.00644717,0,20.884,3.981,0.175,0.323,11
0,1,0,356.84,6.179,0.013,0.647,9
0.998042,0.00195765,0,20.875,4.975,0.217,0.304,12
1.86E-05,0.999981,0,68.272,6.489,0.054,0.632,11
0.382952,0.617048,0,34.994,4.463,0.093,0.348,11
0.944502,0.0554984,0,29.056,5.027,0.134,0.289,13
0.930971,0.0690291,0,24.6,3.669,0.101,0.575,6
0.998521,0.00147947,0,23.264,5.757,0.233,0.29,14
0.995724,0.00427637,0,26.554,5.796,0.209,0.36,14
0.838355,0.161645,0,32.143,4.771,0.128,0.277,14
0.992855,0.00714543,0,26.227,5.278,0.188,0.266,15
0.988143,0.0118566,0,20.273,3.642,0.152,0.352,9
0.998518,0.00148176,0,20.143,4.849,0.235,0.301,12
0.996794,0.00320573,0,20.128,4.661,0.212,0.322,10
0,1,1,930.734,28.488,0.012,0.752,19
0.995054,0.0049458,0,46.341,11.84,0.236,0.209,26
0.839089,0.160911,0,37.643,7.245,0.173,0.29,14
0,1,1,300.635,19.029,0.025,0.689,17
0.290483,0.709517,0,32.612,3.342,0.077,0.452,8
0.99354,0.00646,0,20.071,3.947,0.183,0.38,9
0.00112208,0.998878,0,50.309,3.721,0.051,0.386,12
0.788475,0.211525,0,25.914,2.694,0.067,0.542,7
0.993479,0.00652049,0,24.786,5.26,0.192,0.293,13
0.985286,0.0147143,0,21.904,4.41,0.194,0.399,7
0,1,1,499.296,32.063,0.025,0.793,27
0.939743,0.0602572,0,45.024,9.323,0.167,0.232,23
0.993907,0.00609263,0,27.316,6.465,0.224,0.289,13
0.997157,0.0028429,0,22.194,4.74,0.181,0.285,14
0,1,1,328.241,24.113,0.031,0.685,20
0.998743,0.00125738,0,22.296,4.981,0.199,0.278,16
3.85E-17,1,1,140.992,8.415,0.031,0.7,11
0.35163,0.64837,0,56.277,10.428,0.168,0.215,24
0.934778,0.0652217,0,28.703,4.681,0.139,0.53,9
0.995652,0.00434752,0,23.338,5.266,0.212,0.299,12
0.997111,0.00288898,0,22.464,5.048,0.202,0.295,13
0,1,1,526.883,22.676,0.015,0.822,14
0,1,1,347.738,14.95,0.016,0.774,13
0.971398,0.0286017,0,31.233,5.435,0.158,0.265,17
0.996178,0.00382157,0,24.406,4.817,0.179,0.267,16
0,1,0,940.62,21.128,0.019,0.551,14
0.000418211,0.999582,0,95.199,16.767,0.149,0.239,35
0.861035,0.138965,0,42.916,7.454,0.151,0.241,22
0.995219,0.0047814,0,24.742,5.763,0.218,0.374,11
0.994535,0.00546503,0,22.505,4.317,0.178,0.307,13
0.990776,0.0092236,0,20.229,3.618,0.162,0.394,9
5.02E-31,1,1,221.814,8.215,0.019,0.563,13
0.989623,0.0103764,0,24.459,4.927,0.175,0.304,12
0.957277,0.0427225,0,32.639,6.966,0.202,0.322,12
0.972544,0.0274561,0,29.818,6.38,0.188,0.294,12
0.990193,0.00980706,0,26.959,6.109,0.2,0.307,12
0.988243,0.0117568,0,21.685,4.022,0.171,0.324,10
0.99337,0.00663014,0,21.461,4.496,0.197,0.322,10
0,1,1,495.452,23.224,0.021,0.683,17
0.00986336,0.990137,0,41.527,3.132,0.042,0.416,9
0.980889,0.0191106,0,35.56,6.997,0.179,0.246,20
0.998848,0.00115215,0,21.888,5.58,0.24,0.313,13
