Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0,1,1,606.968,46.67,0.028,0.929,14
0.971213,0.0287868,0,42.67,11.394,0.242,0.242,23
0.996589,0.00341119,0,29.153,7.198,0.234,0.326,23
0.96908,0.03092,0,28.143,6.195,0.194,0.3,18
0.903231,0.0967691,0,29.18,6.017,0.181,0.309,16
0,1,1,371.516,39.061,0.07,0.636,14
0,1,1,345.979,28.032,0.034,0.915,12
5.93E-21,1,0,192.282,15.819,0.022,0.929,10
0.822765,0.177235,0,29.875,7.031,0.22,0.342,13
0.368998,0.631002,0,39.94,7.285,0.155,0.395,16
0.6141,0.3859,0,33.851,6.218,0.161,0.373,15
0.960206,0.0397944,0,33.695,8.255,0.218,0.28,19
0.893649,0.106351,0,29.967,6.861,0.211,0.309,15
0.860842,0.139158,0,31.031,6.923,0.205,0.333,15
0.957581,0.0424185,0,30.573,6.97,0.205,0.314,18
0.92918,0.0708203,0,23.555,5.218,0.193,0.419,13
0.899698,0.100302,0,23.13,5.544,0.226,0.385,11
0,1,1,919.165,37.375,0.007,0.981,9
0.61536,0.38464,0,28.006,5.368,0.161,0.539,11
0.990929,0.00907053,0,21.019,5.399,0.242,0.326,16
0.320939,0.679061,0,29.539,3.628,0.093,0.512,12
0.991445,0.00855486,0,20.523,4.091,0.186,0.301,18
0.940602,0.0593978,0,22.816,5.701,0.23,0.381,12
0,1,1,716.007,34.705,0.015,0.946,14
0.711977,0.288023,0,35.702,7.344,0.174,0.418,16
0,1,1,544.431,34.858,0.024,0.724,19
0.732353,0.267647,0,35.713,8.753,0.222,0.415,14
0.141808,0.858192,0,40.407,7.385,0.15,0.376,13
0,1,0,360.481,32.336,0.042,0.929,9
0.53139,0.46861,0,22.013,3.976,0.163,0.52,7
3.83E-25,1,0,217.98,15.01,0.023,0.939,7
5.27E-07,1,0,93.477,14.43,0.114,0.71,14
0.954167,0.0458331,0,23.618,5.402,0.204,0.381,14
0.731208,0.268792,0,23.846,4.074,0.159,0.369,11
0,1,1,1062.702,37.554,0.005,0.984,13
0.66874,0.33126,0,28.05,5.467,0.138,0.374,12
0.895486,0.104514,0,27.187,5.966,0.198,0.336,14
0,1,1,388.405,41.001,0.043,0.693,20
3.43E-05,0.999966,1,108.118,24.331,0.195,0.273,24
0.984021,0.0159795,0,28.304,6.785,0.215,0.272,19
0.992347,0.00765337,0,22.743,4.871,0.186,0.353,19
0,1,1,761.462,26.57,0.005,0.983,6
0,1,1,513.792,35.606,0.024,0.928,13
0,1,1,604.123,41.63,0.016,0.95,14
0,1,1,375.696,20.263,0.012,0.952,10
0.996646,0.00335364,0,20.847,5.202,0.223,0.277,19
0.807168,0.192832,0,23.43,4.982,0.194,0.528,10
0.862859,0.137141,0,35.705,8.204,0.215,0.404,17
0.054108,0.945892,0,43.964,8.674,0.158,0.58,11
0.620033,0.379967,0,36.65,7.96,0.174,0.344,15
0.927441,0.0725586,0,23.56,5.199,0.199,0.37,13
0.957584,0.0424159,0,23.111,4.747,0.176,0.325,15
6.71E-27,1,1,274.19,33.555,0.067,0.831,18
0.994912,0.00508763,0,38.691,10.139,0.243,0.241,26
0.997943,0.0020573,0,25.963,6.353,0.225,0.266,23
0.491487,0.508513,0,40.546,9.091,0.208,0.379,15
0,1,1,539.694,32.992,0.019,0.904,15
0.990484,0.00951642,0,25.513,6.012,0.217,0.319,19
0.925447,0.074553,0,20.485,4.037,0.159,0.511,12
0.831715,0.168285,0,25.215,5.718,0.212,0.409,11
0.860018,0.139982,0,21.309,4.591,0.199,0.379,10
0,1,1,328.804,10.535,0.008,0.978,4
1.53E-23,1,1,210.409,15.386,0.029,0.868,10
0.558385,0.441615,0,51.077,10.414,0.182,0.32,23
0.955108,0.0448919,0,26.395,5.11,0.175,0.377,17
1.04E-37,1,1,328.93,23.928,0.025,0.934,11
0.881957,0.118043,0,24.096,5.22,0.204,0.349,12
1.26E-13,1,0,129.596,11.519,0.043,0.901,8
0.000108982,0.999891,0,73.037,11.519,0.118,0.674,15
0.995552,0.00444816,0,22.174,4.847,0.198,0.297,20
0.982478,0.0175225,0,23.226,4.998,0.193,0.334,17
0.987749,0.0122511,0,22.347,4.965,0.211,0.403,17
0,1,1,891.539,35.142,0.007,0.983,11
0.882727,0.117273,0,21.476,3.782,0.143,0.499,12
0.914767,0.0852325,0,23.766,5.59,0.217,0.392,12
0.979877,0.0201235,0,22.636,5.057,0.204,0.317,16
0,1,0,742.034,33.619,0.011,0.965,10
5.32E-31,1,0,268.497,17.604,0.019,0.943,10
0.991459,0.00854045,0,26.898,6.372,0.219,0.285,20
0.900506,0.0994944,0,32.34,6.443,0.177,0.312,18
0.886942,0.113058,0,25.723,5.54,0.199,0.4,13
0.258693,0.741307,0,25.816,4.165,0.148,0.478,7
0.972539,0.0274611,0,21.445,4.577,0.192,0.269,15
0.0617169,0.938283,0,45.74,8.082,0.144,0.442,14
0.88886,0.11114,0,21.768,4.626,0.188,0.445,11
1.25E-25,1,1,212.831,11.867,0.016,0.969,4
0.956855,0.0431446,0,28.324,6.19,0.196,0.428,17
0.957436,0.0425639,0,27.344,6.41,0.218,0.288,16
0,1,1,962.139,50.418,0.012,0.976,15
0,1,1,644.374,28.815,0.013,0.943,11
0,1,1,608.486,36.054,0.019,0.955,11
0.223415,0.776585,0,39.29,7.082,0.15,0.342,14
0,1,1,440.975,16.191,0.007,0.976,10
0,1,1,390.884,25.389,0.022,0.888,14
0,1,0,388.595,28.785,0.02,0.932,13
0,1,1,446.111,17.505,0.007,0.985,4
4.08E-05,0.999959,0,74.171,9.732,0.07,0.755,16
0.947613,0.0523867,0,30.052,5.738,0.162,0.307,19
0.95115,0.0488502,0,31.317,7.071,0.214,0.325,18
0.847376,0.152624,0,26.461,5.379,0.178,0.45,13
0.76367,0.23633,0,24.234,4.579,0.175,0.351,11
