Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0.764493,0.235507,0,46.305,9.061,0.169,0.254,34
0.997518,0.00248229,0,36.214,7.7,0.188,0.258,38
0.929353,0.0706471,0,35,7.603,0.196,0.369,22
0.971232,0.0287677,0,26.018,4.791,0.144,0.4,21
0.963801,0.0361992,0,25.318,5.028,0.173,0.315,18
0.996317,0.00368276,0,24.336,4.945,0.184,0.307,25
0.996335,0.00366463,0,21.08,5.003,0.226,0.371,17
0.965069,0.0349308,0,20.066,3.611,0.151,0.368,14
0.730997,0.269003,0,47.944,9.382,0.169,0.266,35
0.995254,0.00474622,0,45.181,10.375,0.212,0.25,41
0.997159,0.00284093,0,40.509,10.698,0.247,0.234,32
0.975285,0.024715,0,38.706,8.816,0.199,0.27,29
0.464964,0.535036,0,33.733,5.493,0.132,0.339,20
0.749986,0.250014,0,29.637,5.496,0.158,0.36,16
0.9996,0.000400017,0,28.205,6.675,0.21,0.293,33
0.981248,0.0187516,0,24.356,4.317,0.158,0.317,22
0.999563,0.000437382,0,23.12,5.632,0.22,0.305,27
0.989765,0.0102351,0,21.675,4.253,0.179,0.315,19
0.993964,0.00603593,0,20.853,4.481,0.195,0.326,18
0.496771,0.503229,0,47.671,9.504,0.173,0.274,30
0.966597,0.0334029,0,45.36,10.59,0.213,0.249,33
0.980103,0.0198968,0,37.43,8.615,0.203,0.285,28
0.998496,0.00150424,0,33.802,8.7,0.242,0.244,30
0.997501,0.00249888,0,32.877,8.133,0.23,0.242,29
0.986937,0.0130633,0,33.71,7.567,0.203,0.276,27
0.997255,0.00274516,0,32.627,8.277,0.236,0.285,27
0.995193,0.00480716,0,31.068,6.993,0.214,0.267,28
0.997034,0.00296613,0,27.121,6.101,0.205,0.288,26
0.969752,0.0302483,0,24.004,5.004,0.187,0.313,16
0.998461,0.00153872,0,21.632,5.324,0.224,0.27,21
0.997088,0.00291189,0,22.723,5.057,0.201,0.302,22
0.994975,0.00502522,0,21.058,4.079,0.178,0.341,21
1.58E-10,1,0,112.128,18.063,0.13,0.368,33
0.98951,0.0104897,0,37.387,9.322,0.228,0.267,27
0.994532,0.00546764,0,35.78,8.732,0.229,0.253,29
0.983598,0.0164016,0,34.348,7.878,0.2,0.286,26
0.998266,0.00173443,0,30.089,7.305,0.226,0.304,28
0.995641,0.00435853,0,26.75,5.624,0.194,0.298,26
0.935711,0.0642893,0,26.671,4.857,0.16,0.349,19
0.997542,0.00245766,0,26.396,6.099,0.219,0.291,25
0.99951,0.000490315,0,21.444,5.531,0.229,0.264,24
0.992334,0.00766641,0,21.982,4.421,0.175,0.32,20
0.996933,0.00306721,0,20.492,4.654,0.202,0.323,19
0.000526718,0.999473,1,102.331,24.605,0.218,0.24,42
0.997634,0.00236612,0,49.069,12.426,0.236,0.236,42
0.856691,0.143309,0,35.882,6.561,0.152,0.278,27
0.999337,0.000662746,0,35.137,9.786,0.248,0.233,31
0.996058,0.00394183,0,27.89,6.284,0.192,0.278,26
0.976686,0.0233135,0,27.408,5.626,0.187,0.303,21
0.983025,0.0169754,0,27.31,5.518,0.182,0.362,22
0.998468,0.00153191,0,44.819,11.602,0.231,0.243,39
0.952444,0.0475563,0,35.689,7.364,0.188,0.277,27
0.990721,0.0092787,0,33.927,8.171,0.216,0.263,26
0.994783,0.00521649,0,31.147,6.586,0.185,0.285,30
0.989861,0.0101388,0,28.136,5.857,0.179,0.278,25
0.989598,0.0104018,0,27.229,5.782,0.191,0.301,23
0.983772,0.0162275,0,25.349,5.06,0.167,0.328,21
0.993839,0.00616146,0,23.892,4.563,0.154,0.353,24
0.979887,0.020113,0,20.705,3.272,0.135,0.381,19
0.99973,0.000270418,1,20.361,4.537,0.207,0.348,28
0.988657,0.0113435,0,36.857,8.298,0.199,0.332,30
0.983584,0.0164161,0,35.156,8.156,0.21,0.302,26
0.916289,0.0837114,0,34.825,7.685,0.201,0.321,21
0.991965,0.00803483,0,29.297,6.854,0.202,0.317,23
0.994443,0.00555672,0,28.025,5.977,0.2,0.289,26
0.997241,0.00275949,0,25.332,5.362,0.19,0.317,26
0.994641,0.00535869,0,23.727,5.204,0.203,0.299,21
0.963947,0.0360533,0,22.258,4.229,0.167,0.381,15
0.997273,0.00272699,0,21.268,4.67,0.209,0.295,21
0.981329,0.0186707,0,20.829,3.197,0.137,0.361,20
0.194463,0.805537,0,53.517,10.809,0.177,0.307,30
0.972682,0.0273183,0,42.657,9.426,0.193,0.244,34
