Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
3.95E-15,1,1,150.032,10.822,0.047,0.888,2
2.04E-05,0.99998,1,63.164,0,0,1,1
0.000598276,0.999402,0,53.047,0,0,1,1
0.0709651,0.929035,0,38.532,0,0,1,1
0.488224,0.511776,0,30.467,1.707,0.052,0.751,2
0.834359,0.165641,0,25.993,0,0,1,1
0.880728,0.119272,0,24.848,0,0,1,1
0.928436,0.0715645,0,23.161,0,0,1,1
0.989217,0.0107832,0,20.847,3.722,0.174,0.627,3
0.0133245,0.986675,0,43.719,0,0,1,1
0.398711,0.601289,0,38.301,5.583,0.137,0.626,3
0.975362,0.0246383,0,28.84,4.986,0.167,0.726,2
0.987462,0.012538,0,26.032,5.693,0.213,0.603,3
3.32E-10,1,1,122.546,18.397,0.096,0.634,6
8.44E-06,0.999992,1,65.803,0,0,1,1
0.899929,0.100071,0,24.258,0,0,1,1
0.974191,0.0258088,0,24.074,4.145,0.165,0.625,3
7.43E-05,0.999926,1,68.554,8.301,0.117,0.605,4
0.706844,0.293156,0,43.713,8.084,0.182,0.713,2
0.0863404,0.91366,0,37.895,0,0,1,1
0.142673,0.857327,0,36.201,0,0,1,1
0.210466,0.789534,1,36.009,2.476,0.065,0.738,2
7.64E-09,1,1,86.782,0,0,1,1
0.10464,0.89536,1,37.259,0,0,1,1
0.11171,0.88829,1,37.872,2.501,0.066,0.708,2
0.0368579,0.963142,0,40.601,0,0,1,1
0.225008,0.774992,1,34.535,0,0,1,1
0.862906,0.137094,0,21.267,3.103,0.144,0.477,5
0.994921,0.00507864,0,20.055,3.247,0.16,0.708,2
0.727397,0.272603,0,27.895,0,0,1,1
0.969204,0.0307964,0,25.381,3.48,0.135,0.714,2
0.959897,0.0401032,0,24.15,3.863,0.148,0.61,3
0.0011337,0.998866,1,51.132,0,0,1,1
0.995363,0.00463714,0,24.044,4.808,0.196,0.713,2
7.54E-15,1,1,128.175,0,0,1,1
0.186585,0.813415,1,47.313,9.445,0.166,0.547,4
0.933381,0.0666188,0,20.9,3.223,0.149,0.583,5
0.110977,0.889023,0,58.407,10.84,0.174,0.744,2
0.966933,0.0330668,0,29.526,4.866,0.152,0.755,2
0.000439016,0.999561,1,53.974,0,0,1,1
0.00519178,0.994808,1,46.565,0,0,1,1
0.69742,0.302579,1,30.98,2.942,0.094,0.716,2
0.0234159,0.976584,1,43.467,4.195,0.079,0.606,3
2.70E-05,0.999973,0,67.818,7.571,0.088,0.613,5
0.00360218,0.996398,0,47.664,0,0,1,1
0.322501,0.677499,0,33.055,0,0,1,1
1.89E-07,1,1,77.17,0,0,1,1
0.0496033,0.950397,0,48.084,5.416,0.107,0.741,2
0.762717,0.237283,0,43.837,8.383,0.179,0.743,2
0.0898011,0.910199,0,37.766,0,0,1,1
0.715856,0.284144,0,28.067,0,0,1,1
0.863106,0.136894,0,25.321,0,0,1,1
0.962459,0.0375412,0,21.122,0,0,1,1
0.968876,0.0311245,0,20.541,0,0,1,1
6.19E-10,1,1,105.485,8.287,0.039,0.772,3
4.17E-06,0.999996,1,101.311,16.963,0.151,0.764,2
0.12416,0.87584,1,36.93,4.417,0.075,0.608,4
0.838879,0.161121,0,25.894,0,0,1,1
0.86142,0.13858,0,34.619,7.321,0.187,0.604,4
0.490032,0.509968,0,46.577,9.38,0.194,0.631,3
0.027195,0.972805,1,41.541,0,0,1,1
0.0030681,0.996932,1,48.146,0,0,1,1
0.905655,0.0943448,0,30.763,4.3,0.136,0.723,2
0.00865442,0.991346,1,52.19,4.829,0.081,0.785,2
0.962521,0.0374785,1,20.313,1.414,0.044,0.887,3
8.52E-08,1,1,94.375,9.413,0.05,0.839,3
0.991485,0.00851464,1,21.177,3.061,0.134,0.752,2
0.6926,0.307401,1,37.685,5.221,0.115,0.808,2
0.0430621,0.956938,1,56.145,8.586,0.141,0.756,2
0.807726,0.192274,0,29.755,2.59,0.064,0.854,2
0.933348,0.0666521,0,26.351,4.353,0.145,0.59,3
0.150401,0.849599,0,36.016,0,0,1,1
0.993665,0.00633489,0,22.034,3.688,0.159,0.737,2
6.89E-05,0.999931,1,78.607,10.051,0.098,0.841,2
0.912116,0.0878841,0,23.829,0,0,1,1
2.33E-10,1,1,111.709,8.784,0.041,0.916,3
0.951345,0.0486547,1,21.933,0,0,1,1
0.968405,0.0315954,0,20.864,1.676,0.073,0.767,2
1.13E-05,0.999989,1,64.921,0,0,1,1
0.0118952,0.988105,0,44.063,0,0,1,1
0.185946,0.814054,0,35.253,0,0,1,1
0.948827,0.0511733,0,33.903,7.564,0.212,0.589,3
0.0180855,0.981914,1,42.79,0,0,1,1
0.978685,0.0213148,0,21.603,3.43,0.154,0.617,3
0.986721,0.0132794,0,27.901,5.302,0.187,0.709,2
0.969553,0.0304467,1,20.473,0,0,1,1
0.869389,0.130611,0,25.532,1.937,0.072,0.741,2
6.19E-11,1,1,101.198,0,0,1,1
0.000539892,0.99946,1,57.259,2.883,0.027,0.928,2
0.0113167,0.988683,1,44.214,0,0,1,1
0.000102793,0.999897,1,67.627,5.267,0.032,0.956,2
0.0323133,0.967687,0,41.009,0,0,1,1
0.459164,0.540836,0,31.323,0,0,1,1
0.96618,0.0338203,0,20.798,0,0,1,1
1.46E-07,1,1,92.727,11.027,0.078,0.779,5
0.171915,0.828085,0,35.539,0,0,1,1
0.82102,0.17898,0,32.291,3.806,0.096,0.817,2
0.000704133,0.999296,1,52.559,0,0,1,1
0.966049,0.0339515,0,20.81,0,0,1,1
4.75E-10,1,1,95.098,0,0,1,1
0.00100666,0.998993,1,54.574,4.791,0.075,0.64,3
0.871839,0.128161,0,32.739,4.375,0.104,0.833,2
0.395494,0.604506,0,32.103,0,0,1,1
0.70415,0.29585,0,27.133,2.24,0.064,0.723,3
0.916876,0.0831239,0,24.507,2.191,0.089,0.708,2
0.477913,0.522087,1,41.654,8.09,0.19,0.582,4
0.110082,0.889918,0,37.089,0,0,1,1
3.45E-08,1,1,82.271,0,0,1,1
0.708334,0.291666,1,33.523,6.044,0.159,0.57,4
0.863224,0.136776,0,25.318,0,0,1,1
0.684486,0.315514,1,42.373,7.184,0.147,0.788,2
1.33E-05,0.999987,1,64.443,0,0,1,1
0.889143,0.110857,1,38.641,7.199,0.173,0.75,2
0.000385667,0.999614,1,54.362,0,0,1,1
0.000193963,0.999806,0,56.42,0,0,1,1
0.318427,0.681573,0,33.111,0,0,1,1
