Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
6.45E-11,1,1,61.773,5.304,0.075,0.22,38
0.702297,0.297703,0,26.792,3.638,0.123,0.154,81
0.99834,0.00165979,0,23.852,5.261,0.199,0.15,92
2.27E-06,0.999998,1,68.949,11.416,0.152,0.128,110
0.999977,2.26E-05,0,32.585,8.168,0.229,0.095,155
0.221431,0.778569,1,29.43,3.691,0.11,0.172,76
0.997099,0.00290074,0,25.291,5.413,0.191,0.13,95
0.979669,0.0203314,0,24.339,4.991,0.192,0.13,74
1.26E-11,1,1,80.454,8.245,0.083,0.194,105
2.71E-05,0.999973,1,43.306,3.884,0.065,0.2,71
0.640921,0.359079,1,25.933,4.468,0.137,0.166,60
0.998998,0.00100225,0,32.238,8.091,0.23,0.108,114
0.00273804,0.997262,1,30.352,2.964,0.089,0.206,44
0.878432,0.121568,0,29.951,5.635,0.151,0.147,85
0.990354,0.00964587,0,21.815,4.698,0.205,0.161,67
0.998173,0.00182648,0,23.173,4.027,0.155,0.128,107
0.99954,0.000460141,0,21.04,4.495,0.203,0.142,97
0.0135611,0.986439,1,41.606,6.211,0.123,0.15,91
2.99E-23,1,1,126.209,10.547,0.063,0.256,97
0.854502,0.145498,1,34.254,7.25,0.186,0.149,87
0.96615,0.0338505,0,26.384,5.518,0.19,0.134,75
0.993998,0.00600247,0,22.191,4.144,0.168,0.147,85
0.996426,0.00357447,0,21.325,4.572,0.193,0.152,77
2.06E-06,0.999998,1,51.515,6.066,0.094,0.203,67
0.975218,0.0247822,1,23.927,3.697,0.134,0.146,90
1.19E-05,0.999988,1,45.249,5.355,0.096,0.186,54
1.36E-06,0.999999,1,81.655,16.411,0.173,0.159,119
0.716118,0.283882,1,66.645,16.392,0.219,0.095,169
0.176495,0.823505,1,54.409,11.997,0.205,0.112,122
0.997832,0.0021685,0,36.688,8.443,0.215,0.098,132
0.999673,0.000326563,0,27.429,6.447,0.214,0.109,117
0.999665,0.000335334,0,24.274,5.594,0.211,0.124,107
0.99405,0.00594967,0,20.101,3.89,0.159,0.158,75
1.23E-13,1,1,101.903,11.524,0.089,0.19,154
2.33E-09,1,1,100.132,18.829,0.161,0.163,143
0.00805445,0.991946,1,33.64,4.309,0.094,0.22,58
0.998019,0.00198126,0,20.667,3.571,0.151,0.13,96
0.999267,0.000732837,0,21.315,4.725,0.197,0.152,91
0.895025,0.104975,0,42.655,10.119,0.223,0.127,106
0.130688,0.869312,1,31.423,4.975,0.142,0.149,64
0.0112466,0.988753,1,38.871,6.242,0.138,0.14,70
0.932624,0.0673763,0,20.995,3.622,0.157,0.154,59
7.64E-05,0.999924,1,44.875,5.83,0.109,0.173,64
1.31E-14,1,1,89.628,10.033,0.083,0.232,69
0.487887,0.512113,1,30.703,5.088,0.142,0.145,77
0.989705,0.0102949,1,50.271,10.04,0.17,0.123,186
0.999999,1.20E-06,0,26.676,6.027,0.201,0.095,177
0.999782,0.000217715,0,20.281,4.559,0.207,0.132,99
0.000361566,0.999638,1,40.709,4.781,0.097,0.187,67
3.00E-07,1,1,70.71,11.203,0.134,0.148,104
0.791297,0.208703,0,20.25,2.39,0.103,0.181,60
3.99E-20,1,1,112.174,11.357,0.078,0.243,68
0.0121388,0.987861,1,36.665,5.06,0.126,0.163,72
0.865771,0.13423,0,27.331,3.905,0.126,0.158,91
3.72E-05,0.999963,1,46.746,5.891,0.112,0.168,68
0.998108,0.00189163,0,32.219,7.997,0.225,0.106,109
0.992458,0.00754193,0,22.358,3.82,0.151,0.128,90
0.999195,0.000804975,0,20.639,3.949,0.172,0.119,99
0.854839,0.145161,1,32.601,5.506,0.14,0.141,103
0.999679,0.000320961,0,29.078,7.572,0.238,0.117,111
0.919178,0.0808218,0,24.025,4.669,0.185,0.177,60
0.0890361,0.910964,1,23.581,2.146,0.076,0.214,48
0.997423,0.00257713,0,26.004,5.7,0.197,0.121,97
8.64E-14,1,1,95.32,11.822,0.102,0.172,103
1.81E-05,0.999982,1,56.389,8.037,0.115,0.196,94
0.351033,0.648967,1,29.473,4.779,0.142,0.15,67
0.986698,0.0133018,1,20.79,3.122,0.136,0.158,83
0.000166577,0.999833,1,49.027,6.99,0.11,0.168,84
0.0819634,0.918037,0,35.995,5.531,0.137,0.138,82
3.18E-10,1,1,89.221,12.503,0.104,0.214,137
0.999997,3.06E-06,0,28.981,7.297,0.224,0.093,164
0.999958,4.18E-05,0,28.924,6.628,0.199,0.102,147
0.999865,0.000135213,1,29.474,7.042,0.213,0.101,132
8.43E-09,1,1,82.859,12.52,0.122,0.152,130
7.07E-05,0.999929,1,47.45,5.915,0.104,0.181,79
0.895257,0.104743,0,28.037,4.719,0.153,0.126,87
0.783338,0.216662,0,20.946,2.703,0.113,0.16,60
0.991706,0.00829367,1,37.704,7.716,0.186,0.137,135
0.900742,0.0992584,1,20.798,2.676,0.091,0.173,70
0.999292,0.000707617,0,35.467,6.542,0.161,0.117,164
5.35E-13,1,1,81.058,8.779,0.072,0.273,67
0.935612,0.0643876,1,33.24,6.694,0.173,0.124,99
0.907943,0.0920568,1,25.305,4.211,0.143,0.153,77
8.60E-09,1,1,60.003,5.553,0.077,0.232,73
0.0521925,0.947807,1,28.096,3.107,0.084,0.171,60
0.00853855,0.991462,1,48.545,7.297,0.119,0.138,118
0.000101843,0.999898,0,50.174,8.312,0.133,0.148,68
0.462063,0.537937,1,32.982,5.654,0.16,0.146,82
0.0314785,0.968521,0,30.427,4.245,0.125,0.19,51
0.000511012,0.999489,1,53.775,7.838,0.125,0.151,115
0.999912,8.81E-05,1,30.47,7.26,0.217,0.095,140
0.994109,0.00589138,0,23.766,4.164,0.151,0.134,97
0.00652655,0.993473,1,28.306,2.443,0.077,0.216,47
5.84E-10,1,1,85.135,12.761,0.117,0.217,112
0.999045,0.000954616,0,25.082,6.323,0.227,0.115,91
0.991445,0.00855552,0,21.822,4.661,0.204,0.209,67
0.998768,0.00123199,0,20.676,3.88,0.153,0.123,97
4.77E-05,0.999952,1,58.704,9.322,0.129,0.173,102
4.34E-05,0.999957,1,37.48,2.975,0.068,0.239,48
0.0932147,0.906785,1,34.915,5.134,0.13,0.142,82
9.06E-06,0.999991,1,59.416,8.845,0.12,0.16,97
0.744402,0.255598,0,22.922,3.67,0.134,0.195,55
0.998889,0.0011106,0,38.368,9.936,0.242,0.102,128
0.891774,0.108226,0,20.177,2.932,0.133,0.159,59
0.243138,0.756862,1,21.453,2.197,0.084,0.216,45
2.61E-18,1,1,113.163,11.508,0.071,0.195,118
0.185671,0.814329,1,40.308,6.884,0.157,0.126,101
0.765263,0.234737,0,20.093,3.204,0.136,0.212,43
3.72E-21,1,1,113.931,9.213,0.066,0.251,84
0.000769892,0.99923,1,52.626,8.594,0.147,0.127,101
0.984514,0.0154864,1,27.174,4.622,0.154,0.133,103
0.00048801,0.999512,1,59.065,10.813,0.151,0.147,108
0.0775103,0.92249,0,38.351,6.296,0.134,0.161,86
0.0317388,0.968261,1,34.83,5.185,0.122,0.208,67
0.546953,0.453047,1,20.603,2.348,0.089,0.209,51
0.933674,0.066326,0,34.337,6.682,0.178,0.115,106
0.988922,0.0110783,1,31.707,7.767,0.224,0.117,90
0.99136,0.00863966,0,26.666,4.636,0.152,0.126,106
