Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0.953231,0.0467687,0,33.294,7.144,0.197,0.265,22
0.955892,0.0441077,0,31.981,7.054,0.205,0.336,19
0.939648,0.0603518,0,27.12,5.65,0.188,0.292,15
0.981318,0.0186824,0,26.439,6.086,0.206,0.305,16
0.995546,0.00445352,0,32.5,9.155,0.257,0.285,18
0.998398,0.00160185,0,24.608,6.489,0.243,0.297,20
0.914585,0.0854146,0,20.482,3.288,0.141,0.385,12
0.940393,0.0596069,0,34.035,7.48,0.208,0.304,20
0.994352,0.0056483,1,28.119,6.686,0.216,0.283,22
0.957813,0.0421871,0,27.993,5.629,0.179,0.315,19
0.983019,0.0169813,0,24.066,4.809,0.184,0.287,19
0.985588,0.0144116,0,23.073,5.125,0.21,0.412,14
0.992446,0.00755359,0,22.662,5.251,0.217,0.3,16
3.58E-16,1,0,133.544,16.82,0.075,0.617,20
0.967816,0.0321839,0,40.667,9.948,0.228,0.27,24
0.870656,0.129343,0,28.563,5.836,0.188,0.342,13
0.949301,0.0506988,0,21.335,4.146,0.181,0.458,10
1.08E-14,1,1,135.188,19.085,0.113,0.442,27
0.99167,0.00833032,0,27.492,6.659,0.228,0.354,18
0.999054,0.000946135,0,32.593,8.647,0.238,0.274,29
0.957992,0.0420083,0,30.524,7.154,0.22,0.316,15
0.997292,0.00270763,0,23.903,5.541,0.221,0.29,22
0.981877,0.0181226,0,39.062,9.333,0.214,0.262,27
0.939061,0.0609386,0,36.647,8.101,0.192,0.287,23
0.90153,0.0984698,0,31.973,6.672,0.185,0.297,18
0.945793,0.0542074,0,30.634,7.359,0.228,0.398,12
0.689905,0.310095,0,28.619,5.198,0.153,0.425,12
0.898317,0.101683,0,27.752,4.836,0.166,0.305,19
0.994065,0.00593509,0,22.645,5.084,0.208,0.342,18
0.99771,0.0022899,0,21.75,5.176,0.205,0.336,20
0.498578,0.501422,1,37.361,6.841,0.154,0.305,20
0.865526,0.134474,0,32.462,5.991,0.162,0.302,22
0.983252,0.016748,0,31.525,7.375,0.208,0.293,21
0.968445,0.0315546,0,28.817,6.626,0.206,0.295,16
0.998033,0.00196712,0,24.033,6.723,0.254,0.304,16
0.986312,0.013688,0,22.208,5.146,0.207,0.304,13
0.995973,0.00402698,0,20.689,4.69,0.204,0.294,18
0,1,1,549.698,26.417,0.01,0.948,15
3.07E-34,1,1,228.495,19.973,0.057,0.661,28
0.963368,0.0366317,0,38.32,9.449,0.221,0.267,21
0.996729,0.00327065,0,33.233,8.853,0.254,0.279,23
0.930979,0.0690213,0,27.484,5.998,0.189,0.314,13
0.990597,0.00940279,0,27.234,6.258,0.211,0.301,20
0.878719,0.121281,0,25.137,4.639,0.168,0.315,13
0.99007,0.00993044,0,22.33,5.528,0.235,0.414,11
0.983576,0.0164242,0,21.269,4.777,0.202,0.332,12
0.970293,0.0297068,0,20.492,3.509,0.147,0.358,16
0.92943,0.0705699,0,41.757,9.754,0.22,0.271,24
0.981967,0.0180326,0,31.565,7.354,0.206,0.282,21
0.93691,0.0630904,0,28.285,6.056,0.193,0.431,14
0.993924,0.00607631,0,23.916,5.511,0.209,0.393,18
0.946415,0.0535853,0,20.53,3.816,0.164,0.354,11
0.989919,0.0100806,0,22.445,5.235,0.219,0.323,14
0.995444,0.00455639,0,21.38,4.677,0.2,0.323,19
