Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
3.14E-15,1,1,222.943,45.721,0.176,0.289,47
0.438251,0.56175,0,56.661,12.176,0.196,0.231,32
0.880288,0.119712,0,44.543,9.297,0.189,0.252,32
0.978185,0.021815,0,42.666,10.616,0.231,0.256,30
0.998549,0.00145142,0,41.436,10.281,0.219,0.25,42
0.949136,0.050864,0,31.465,6.636,0.177,0.306,23
0.792391,0.207609,1,29.402,5.101,0.151,0.32,19
0.992708,0.00729208,0,26.101,5.952,0.21,0.34,24
0.996418,0.003582,0,26.052,6.048,0.209,0.315,27
0.956705,0.0432951,0,25.794,5.243,0.188,0.299,19
0.979466,0.0205339,0,24.919,4.844,0.167,0.308,23
0.992172,0.00782814,0,24.07,5.399,0.205,0.265,23
0.949783,0.0502169,0,23.047,4.724,0.185,0.349,15
0.955724,0.044276,0,20.009,3.724,0.16,0.323,15
0.800289,0.199711,0,46.305,9.061,0.169,0.254,34
0.994576,0.00542398,0,36.214,7.7,0.188,0.258,38
0.91535,0.0846499,0,35,7.603,0.196,0.369,22
0.952159,0.0478414,0,26.018,4.791,0.144,0.4,21
0.944258,0.0557418,0,25.318,5.028,0.173,0.315,18
0.991101,0.00889912,0,24.336,4.945,0.184,0.307,25
0.990823,0.00917695,0,21.08,5.003,0.226,0.371,17
0.940736,0.0592644,0,20.066,3.611,0.151,0.368,14
0.778923,0.221077,0,47.944,9.382,0.169,0.266,35
0.992054,0.00794585,0,45.181,10.375,0.212,0.25,41
0.993065,0.00693458,0,42.246,11.157,0.247,0.234,32
0.959648,0.0403523,0,39.746,9.053,0.199,0.27,29
0.398846,0.601154,0,35.7,5.814,0.132,0.339,20
0.729536,0.270465,0,29.99,5.561,0.158,0.36,16
0.998142,0.00185841,0,29.958,7.09,0.21,0.293,33
0.96606,0.0339404,0,24.356,4.317,0.158,0.317,22
0.998454,0.00154586,0,23.12,5.632,0.22,0.305,27
0.997844,0.00215616,0,21.849,5.428,0.233,0.268,24
0.978826,0.0211737,0,21.675,4.253,0.179,0.315,19
