Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0.629529,0.370471,1,25.239,2.652,0.091,0.449,11
4.09E-05,0.999959,1,71.428,10.76,0.121,0.342,49
0.999328,0.000671945,0,25.745,5.098,0.158,0.281,35
0.951578,0.0484216,0,49.683,11.173,0.208,0.223,38
0.983139,0.0168611,0,36.047,6.771,0.167,0.232,39
1.14E-23,1,1,170.299,22.859,0.1,0.384,40
0.99995,5.03E-05,0,29.697,7.928,0.251,0.253,32
0.998931,0.00106863,0,20.469,3.385,0.144,0.403,25
0.990744,0.00925625,0,26.025,4.562,0.164,0.318,21
0.997567,0.00243256,0,24.508,4.444,0.153,0.269,28
0.999995,4.52E-06,0,22.935,6.056,0.246,0.218,43
0.999879,0.00012146,0,24.607,5.554,0.192,0.293,34
0.999872,0.000128378,0,20.297,3.841,0.172,0.221,38
0.00012542,0.999875,1,55.053,7.053,0.115,0.31,27
0.987344,0.0126562,0,35.8,6.782,0.167,0.23,40
0.979432,0.0205685,0,21.282,2.97,0.12,0.335,15
0.99879,0.00121025,0,20.394,3.885,0.164,0.297,19
0.990485,0.00951537,0,36.187,7.474,0.188,0.223,34
0.991142,0.00885758,0,21.465,3.242,0.131,0.308,19
0.98735,0.0126499,1,20.654,2.604,0.095,0.417,20
7.62E-07,0.999999,1,61.876,6.275,0.07,0.59,25
0.99783,0.00216966,0,36.118,7.841,0.192,0.233,40
0.830779,0.169221,0,27.366,3.717,0.116,0.351,17
0,1,1,380.073,54.513,0.119,0.318,53
4.54E-26,1,1,217.669,36.548,0.134,0.313,53
0.999776,0.00022358,0,26.724,5.785,0.195,0.2,39
7.43E-16,1,1,139.259,22.05,0.143,0.282,41
0.938308,0.0616916,0,30.265,5.061,0.15,0.321,21
0.999933,6.69E-05,0,30.015,6.975,0.207,0.21,48
0.877906,0.122094,1,38.719,6.563,0.145,0.263,39
0.683463,0.316537,1,35.294,4.934,0.113,0.37,33
0.999467,0.000533152,0,23.164,4.867,0.177,0.375,23
0.99847,0.00153049,0,20.768,3.925,0.167,0.338,17
0,1,1,261.095,21.97,0.057,0.586,45
0.0178121,0.982188,1,49.529,7.056,0.119,0.304,39
0.999337,0.000663137,0,21.016,4.016,0.178,0.392,21
6.42E-24,1,1,171.368,22.7,0.087,0.373,44
0.94709,0.0529096,1,46.115,9.594,0.167,0.331,40
0.996103,0.00389662,0,20.638,3.217,0.131,0.3,22
0.999869,0.000130613,0,23.846,5.387,0.205,0.286,31
0.0071403,0.99286,1,50.603,7.689,0.134,0.301,28
0.997932,0.00206836,0,30.82,6.822,0.203,0.295,25
0.998253,0.00174702,0,22.174,4.093,0.156,0.355,21
0.997665,0.00233499,0,40.707,9.607,0.214,0.221,38
0.999984,1.61E-05,0,22.986,5.528,0.225,0.308,39
0.941622,0.0583776,0,30.355,4.449,0.126,0.47,27
0.0188395,0.98116,1,52.088,7.346,0.104,0.347,48
3.98E-08,1,1,91.159,14.481,0.121,0.319,44
0.999214,0.000785908,1,31.36,7.112,0.199,0.255,33
