Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0.991614,0.00838585,0,49.682,11.171,0.208,0.112,150
0.997574,0.00242636,0,35.854,6.667,0.166,0.117,155
8.77E-25,1,1,170.987,23.149,0.101,0.192,150
0.999715,0.00028515,0,20.469,3.385,0.144,0.202,100
0.996779,0.00322115,0,26.043,4.572,0.164,0.17,83
0.999482,0.000518297,0,25.04,4.693,0.158,0.133,109
0.999998,1.96E-06,0,21.576,5.276,0.229,0.149,138
0.99999,9.95E-06,0,25.271,5.869,0.199,0.166,139
0.999946,5.42E-05,0,20.263,3.737,0.169,0.122,123
0.000189776,0.99981,1,55.053,7.053,0.115,0.155,108
0.997856,0.00214363,0,35.81,6.777,0.167,0.116,153
0.987809,0.0121914,0,21.271,2.977,0.12,0.201,53
0.999597,0.000403266,0,20.394,3.885,0.164,0.148,76
0.999935,6.50E-05,0,21.071,4.078,0.179,0.162,111
0.998461,0.00153891,0,36.187,7.474,0.188,0.112,136
0.996586,0.00341361,0,21.465,3.242,0.131,0.154,76
0.99439,0.00561019,1,20.73,2.651,0.097,0.208,78
4.34E-07,1,1,61.88,6.273,0.07,0.295,96
0.999371,0.000628578,0,36.435,7.93,0.193,0.143,137
0.872691,0.127309,0,27.367,3.716,0.116,0.175,63
0,1,1,380.088,54.522,0.119,0.159,209
1.48E-27,1,1,219.208,36.372,0.133,0.158,207
0.99998,1.96E-05,0,26.817,5.812,0.195,0.1,157
0.999689,0.000311549,0,21.817,4.279,0.166,0.168,84
3.59E-16,1,1,139.261,22.046,0.143,0.141,164
0.972772,0.0272275,0,30.427,5.112,0.15,0.173,82
0.999995,5.52E-06,0,29.797,6.859,0.205,0.106,184
0.999269,0.000730689,0,26.979,5.743,0.187,0.145,83
0.983965,0.0160349,1,39.894,7.194,0.151,0.131,154
0.918191,0.0818095,1,36.353,5.553,0.122,0.181,129
0.999851,0.000149436,0,23.164,4.867,0.177,0.187,92
0.999395,0.000605369,0,20.937,3.975,0.167,0.198,65
0.999061,0.000938614,0,22.52,4.253,0.172,0.161,71
0,1,1,261.117,22.198,0.058,0.294,176
0.0353892,0.964611,1,49.567,7.111,0.12,0.157,139
0.99971,0.000289591,0,21.537,4.139,0.18,0.211,78
7.02E-25,1,1,171.502,22.782,0.088,0.187,169
0.985732,0.0142675,1,45.75,9.381,0.163,0.169,152
0.998851,0.00114875,0,20.831,3.307,0.134,0.154,87
0.999973,2.70E-05,0,23.991,5.473,0.207,0.148,115
0.0132638,0.986736,1,50.603,7.696,0.134,0.152,109
0.99883,0.00117025,0,30.937,6.878,0.203,0.157,82
0.99884,0.00116009,0,22.461,4.218,0.159,0.187,67
0.9996,0.000400296,0,40.615,9.563,0.214,0.118,144
0.999997,2.72E-06,0,23.335,5.651,0.226,0.155,142
0.977925,0.0220754,0,30.362,4.451,0.126,0.235,107
0.146458,0.853542,1,52.983,7.852,0.111,0.171,192
7.62E-08,1,1,91.165,14.485,0.121,0.159,175
0.999849,0.000151024,1,31.457,7.14,0.199,0.127,127
0.999084,0.000916285,0,32.851,6.738,0.175,0.139,127
0.998035,0.00196516,0,31.552,5.514,0.16,0.139,140
0.997578,0.00242158,1,45.564,10.835,0.215,0.103,131
2.47E-27,1,1,161.42,16.988,0.088,0.242,111
