Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0.999633,0.000366777,0,21.942,4.784,0.209,0.305,14
0.999195,0.000805186,0,21.75,4.555,0.17,0.326,13
0.997784,0.00221619,0,20.476,4.331,0.184,0.38,10
7.99E-16,1,1,218.812,41.635,0.164,0.325,31
0.978814,0.0211864,0,56.511,12.219,0.198,0.262,22
0.985813,0.0141866,0,43.977,9.002,0.187,0.302,18
0.994552,0.00544792,0,39.576,9.561,0.217,0.293,15
0.996312,0.00368835,0,30.093,6.35,0.18,0.282,14
0.99788,0.00211974,0,29.07,7.264,0.228,0.309,12
0.996563,0.00343656,0,26.909,6.265,0.214,0.343,11
0.986155,0.0138453,1,26.781,4.134,0.138,0.292,13
0.949539,0.0504607,0,26.528,4.012,0.129,0.392,10
0.882793,0.117207,0,26.264,3.528,0.114,0.401,9
0.997269,0.00273089,0,24.626,4.694,0.164,0.305,13
0.989332,0.0106677,0,24.046,4.825,0.183,0.398,9
0.996588,0.00341205,0,24.007,4.601,0.177,0.325,12
0.99884,0.00115991,0,22.664,4.997,0.201,0.327,12
0.883993,0.116007,0,45.215,7.525,0.13,0.468,17
0.990937,0.00906323,0,35.075,6.926,0.174,0.355,15
0.99807,0.00193036,0,30.671,6.784,0.2,0.408,14
0.998572,0.00142843,0,23.955,4.97,0.186,0.302,13
0.996427,0.00357338,0,21.843,4.106,0.172,0.334,11
0.970387,0.0296129,0,50.133,10.583,0.179,0.291,19
0.982877,0.0171225,0,44.585,10.027,0.21,0.324,16
0.999656,0.000344166,0,39.896,10.35,0.243,0.264,19
0.998076,0.00192356,0,38.494,8.636,0.196,0.274,18
0.78717,0.21283,0,32.98,4.789,0.118,0.388,11
0.950693,0.049307,0,27.612,4.901,0.155,0.415,9
0.989411,0.0105891,0,27.173,5.747,0.185,0.388,10
0.969867,0.0301335,0,22.897,3.391,0.133,0.406,9
0.999015,0.000984958,0,22.847,5.707,0.226,0.324,11
0.999556,0.000443771,0,20.983,5.555,0.255,0.319,11
0.999334,0.000665824,0,20.165,4.462,0.202,0.314,12
0.759612,0.240388,0,49.066,9.338,0.167,0.297,16
0.994687,0.00531338,0,47.294,10.495,0.203,0.27,20
0.993213,0.00678692,0,36.545,7.967,0.191,0.316,15
0.999569,0.000431255,0,35.017,7.486,0.19,0.279,20
0.996095,0.00390504,0,34.55,8.133,0.212,0.303,14
0.999509,0.000491177,0,29.269,6.795,0.222,0.273,16
0.996805,0.00319465,0,25.188,5.133,0.195,0.324,12
0.997932,0.00206809,0,24.795,4.98,0.186,0.298,13
0.998418,0.00158214,0,23.933,4.873,0.181,0.303,13
