Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0.948064,0.0519363,0,46.522,10.974,0.21,0.091,184
0.999449,0.000550906,0,29.941,6.603,0.196,0.116,159
0.97773,0.0222698,0,25.909,4.096,0.138,0.131,140
0.999996,3.66E-06,0,25.337,5.503,0.197,0.094,198
0.999997,2.52E-06,0,20.678,4.264,0.189,0.102,180
0.996933,0.00306742,0,34.284,7.526,0.195,0.11,166
0.999969,3.13E-05,0,22.23,4.494,0.182,0.113,161
0.00191867,0.998081,1,50.598,9.394,0.139,0.145,171
0.999999,9.20E-07,0,35.485,9.249,0.24,0.082,231
0.995403,0.00459667,0,24.435,4.373,0.158,0.127,131
0.99182,0.00818002,1,26.862,4.98,0.168,0.117,136
4.47E-09,1,1,57.262,7.796,0.11,0.183,137
0.999923,7.65E-05,0,36.22,9.143,0.231,0.095,187
0.00102644,0.998974,1,47.774,8.141,0.15,0.121,163
0.980481,0.019519,1,30.059,5.194,0.154,0.122,161
1.17E-08,1,1,46.249,5.545,0.098,0.182,76
3.27E-12,1,1,81.544,14.763,0.146,0.157,148
0.039238,0.960762,1,73.034,18.578,0.226,0.088,221
0.017756,0.982244,1,64.879,15.501,0.22,0.096,196
0.97959,0.0204098,0,47.231,11.265,0.22,0.084,196
0.977222,0.0227779,0,40.258,9.557,0.217,0.093,155
0.999966,3.36E-05,0,39.503,9.779,0.221,0.088,223
0.999432,0.000568064,0,29.746,6.272,0.186,0.103,168
0.999793,0.000206675,0,25.385,6.085,0.213,0.116,126
0.950707,0.0492927,0,22.805,3.638,0.149,0.138,101
0.999963,3.70E-05,0,22.579,5.451,0.218,0.116,130
3.64E-22,1,1,103.787,12.356,0.092,0.187,212
1.64E-15,1,1,101.09,19.071,0.161,0.161,172
0.000658758,0.999341,1,37.415,5.518,0.113,0.198,102
0.996996,0.00300439,0,26.05,4.982,0.168,0.11,139
0.999739,0.000261241,0,21.712,4.264,0.171,0.119,135
0.999918,8.20E-05,0,33.506,7.639,0.199,0.109,199
0.818725,0.181275,0,54.953,13.932,0.237,0.104,183
0.999643,0.000357405,0,21.139,4.075,0.166,0.117,130
0.859499,0.140501,1,42.307,8.565,0.18,0.114,189
0.999734,0.000265686,0,21.554,5.01,0.21,0.124,105
0.00164522,0.998355,1,48.726,8.944,0.159,0.115,157
0.929554,0.070446,0,32.573,6.401,0.176,0.115,138
6.16E-07,0.999999,1,53.621,7.991,0.128,0.146,148
6.51E-22,1,1,95.196,11.805,0.092,0.219,124
1,1.49E-07,0,35.025,9.687,0.256,0.091,233
0.982516,0.0174844,1,23.056,3.931,0.156,0.178,106
0.240032,0.759968,1,37.656,6.788,0.156,0.123,146
0.029885,0.970115,1,51.535,10.246,0.169,0.121,191
0.999979,2.13E-05,0,28.244,6.474,0.206,0.092,183
0.999803,0.000196528,0,26.383,5.995,0.207,0.114,143
0.0169637,0.983036,1,38.865,6.214,0.142,0.15,141
0.999935,6.51E-05,0,20.048,4.254,0.183,0.122,130
0.999828,0.000172082,0,35.065,7.654,0.194,0.103,210
0.994586,0.00541366,0,28.089,5.423,0.175,0.119,143
0.993873,0.00612707,0,22.269,4.196,0.165,0.139,103
0.999907,9.31E-05,1,30.633,6.39,0.185,0.109,199
0.999997,2.45E-06,0,27.434,6.65,0.225,0.102,192
0.999969,3.14E-05,0,24.625,5.528,0.197,0.102,160
0.612896,0.387104,0,20.691,2.369,0.099,0.172,84
1.67E-10,1,1,75.257,13.138,0.144,0.139,167
0.728455,0.271545,0,25.29,4.005,0.135,0.15,98
1.17E-29,1,1,115.79,12.696,0.084,0.236,131
0.000496618,0.999503,1,47.911,7.937,0.147,0.133,161
0.83637,0.16363,0,29.832,4.767,0.131,0.146,143
1.40E-05,0.999986,1,65.858,12.575,0.168,0.123,207
0.999982,1.81E-05,0,48.424,13.476,0.254,0.083,233
0.999984,1.58E-05,0,31.323,7.303,0.214,0.091,201
0.997907,0.00209274,0,31.201,6.372,0.179,0.101,168
0.913573,0.0864275,1,40.187,7.908,0.172,0.118,189
0.999188,0.000812519,0,33.451,7.901,0.207,0.108,160
0.894064,0.105936,0,28.179,5.73,0.191,0.154,91
0.00502467,0.994975,1,24.698,2.368,0.079,0.205,62
0.98471,0.0152897,0,21.704,3.629,0.143,0.149,103
0.890536,0.109464,0,20.712,2.746,0.121,0.158,92
0.999059,0.000941374,0,42.919,10.045,0.213,0.089,217
1,1.25E-07,0,22.071,5.173,0.205,0.097,208
5.72E-22,1,1,106.451,15.051,0.117,0.155,172
0.999613,0.000386831,0,20.267,4.134,0.186,0.152,111
4.10E-09,1,1,62.73,9.987,0.127,0.177,140
0.801909,0.198091,1,47.143,10.576,0.199,0.102,185
0.999867,0.00013337,0,21.349,4.425,0.186,0.121,132
0.994367,0.00563289,1,25.875,4.406,0.154,0.133,146
0.99628,0.00371986,0,25.023,4.768,0.167,0.118,129
0.924826,0.0751741,0,21.877,3.148,0.118,0.158,101
1.28E-06,0.999999,1,63.269,11.532,0.146,0.133,176
0.00607408,0.993926,0,41.675,7.14,0.151,0.122,137
0.998957,0.00104307,0,24.334,5.018,0.188,0.122,126
0.999946,5.36E-05,0,20.977,4.129,0.172,0.116,150
3.01E-18,1,1,94.358,13.856,0.11,0.203,161
0.999929,7.09E-05,0,33.898,7.857,0.21,0.091,199
0.999995,5.15E-06,0,32.19,8.19,0.228,0.086,199
0.999265,0.000735356,0,25.46,5.183,0.181,0.108,142
0.989295,0.0107054,0,21.29,3.514,0.155,0.131,105
1.79E-14,1,1,95.694,16.472,0.141,0.133,214
1.30E-07,1,1,55.452,8.33,0.127,0.157,141
0.980867,0.0191326,0,41.742,9.61,0.207,0.096,176
0.999927,7.26E-05,0,32.973,8.004,0.221,0.091,181
0.79918,0.20082,0,26.987,4.139,0.135,0.131,122
0.995396,0.00460433,0,26.738,4.959,0.167,0.111,143
0.654377,0.345623,1,44.988,9.211,0.187,0.119,188
0.999503,0.000497182,1,27.696,5.407,0.158,0.133,171
0.979994,0.0200057,0,37.701,7.162,0.166,0.111,200
8.13E-20,1,1,87.334,10.486,0.079,0.254,124
0.968563,0.0314373,1,37.436,7.987,0.184,0.112,164
0.999975,2.49E-05,0,27.098,5.337,0.163,0.121,204
0.953736,0.0462643,1,43.147,9.344,0.197,0.102,191
0.999971,2.90E-05,0,24.119,5.021,0.19,0.107,170
1.63E-13,1,1,66.554,7.461,0.089,0.209,135
0.828748,0.171252,1,41.734,9.02,0.193,0.123,163
2.45E-05,0.999975,1,56.812,9.888,0.147,0.12,180
0.99717,0.0028303,1,34.216,7.748,0.197,0.101,160
0.999137,0.000863467,0,23.678,4.235,0.159,0.14,146
2.34E-06,0.999998,0,64.2,12.389,0.164,0.119,169
0.120697,0.879303,0,46.078,9.11,0.175,0.132,172
0.0120752,0.987925,1,40.177,6.789,0.156,0.126,136
0.99974,0.000259692,0,20.905,4.106,0.173,0.12,129
4.08E-08,1,1,55.35,8.267,0.128,0.147,127
0.997551,0.00244893,0,48.584,12.963,0.252,0.098,186
0.999999,7.47E-07,1,40.187,10.929,0.247,0.081,244
0.991575,0.00842503,0,26.338,4.834,0.16,0.123,134
0.999704,0.000295559,0,23.54,5.165,0.2,0.156,124
0.000471111,0.999529,1,32.242,3.456,0.092,0.191,95
1.30E-15,1,1,94.081,15.701,0.128,0.197,180
0.999894,0.000106092,0,38.094,9.821,0.238,0.095,186
0.999952,4.82E-05,0,21.786,4.4,0.182,0.105,153
0.99385,0.00615002,0,20.788,3.887,0.164,0.207,89
0.994516,0.00548413,0,20.497,3.841,0.16,0.137,93
0.995239,0.00476131,1,20.687,3.568,0.156,0.133,106
0.999875,0.00012545,0,31.072,6.68,0.191,0.1,192
0.999996,3.75E-06,0,29.53,6.905,0.201,0.093,210
0.997615,0.00238478,0,28.741,6.503,0.213,0.167,122
0.994428,0.00557173,1,21.801,3.679,0.147,0.138,116
1.29E-08,1,1,62.076,10.16,0.135,0.164,141
1.36E-07,1,1,38.239,3.146,0.07,0.235,76
0.106997,0.893003,1,44.427,8.317,0.163,0.115,175
0.999794,0.000206379,0,22.355,4.419,0.173,0.11,142
1.17E-09,1,1,76.369,13.994,0.152,0.127,181
0.987611,0.0123886,0,35.19,6.815,0.172,0.134,182
0.999071,0.000928971,1,28.984,5.95,0.18,0.122,161
0.999659,0.000340581,0,21.299,4.406,0.187,0.132,119
0.999861,0.000139388,0,47.288,12.429,0.243,0.086,224
0.965166,0.034834,0,27.291,4.996,0.165,0.124,122
0.99955,0.00044984,0,23.657,4.161,0.159,0.112,158
0.753286,0.246714,1,25.907,3.949,0.123,0.182,109
0.997645,0.00235532,0,20.61,4.119,0.171,0.148,95
1.05E-28,1,1,117.785,13.161,0.079,0.187,175
0.0894199,0.91058,1,44.02,8.287,0.17,0.116,167
0.24302,0.75698,0,39.122,8.173,0.193,0.127,119
0.99981,0.000189866,0,22.869,4.516,0.176,0.116,146
