Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0.029656,0.970344,0,47.835,8.845,0.173,0.693,3
2.19E-05,0.999978,1,65.803,0,0,1,1
0.222101,0.777899,0,24.258,0,0,1,1
0.901203,0.0987968,0,24.074,4.145,0.165,0.625,3
0.000353006,0.999647,1,68.554,8.301,0.117,0.605,4
0.0384504,0.96155,0,43.713,8.084,0.182,0.713,2
0.0125784,0.987422,0,37.895,0,0,1,1
0.0184001,0.9816,0,36.201,0,0,1,1
0.0823394,0.917661,1,36.009,2.476,0.065,0.738,2
1.84E-07,1,1,86.782,0,0,1,1
0.0145131,0.985487,1,37.259,0,0,1,1
0.056774,0.943226,1,37.872,2.501,0.066,0.708,2
0.00682602,0.993174,0,40.601,0,0,1,1
0.0266766,0.973323,1,34.535,0,0,1,1
0.987862,0.0121376,0,21.267,3.103,0.144,0.477,5
0.906571,0.0934291,0,20.055,3.247,0.16,0.708,2
0.110779,0.889221,0,27.895,0,0,1,1
0.679775,0.320225,0,25.381,3.48,0.135,0.714,2
0.88364,0.11636,0,24.15,3.863,0.148,0.61,3
0.000622247,0.999378,1,51.132,0,0,1,1
0.8402,0.1598,0,24.044,4.808,0.196,0.713,2
1.46E-11,1,1,128.175,0,0,1,1
0.0693611,0.930639,1,47.313,9.445,0.166,0.547,4
0.988739,0.0112607,0,20.9,3.223,0.149,0.583,5
0.00103279,0.998967,0,58.407,10.84,0.174,0.744,2
0.470254,0.529746,0,29.526,4.866,0.152,0.755,2
0.000325568,0.999674,1,53.974,0,0,1,1
0.00176096,0.998239,1,46.565,0,0,1,1
0.277936,0.722064,1,30.98,2.942,0.094,0.716,2
0.0396648,0.960335,1,43.467,4.195,0.079,0.606,3
0.000712193,0.999288,0,67.818,7.571,0.088,0.613,5
0.00137114,0.998629,0,47.664,0,0,1,1
0.0369889,0.963011,0,33.055,0,0,1,1
1.64E-06,0.999998,1,77.17,0,0,1,1
0.00741734,0.992583,0,48.084,5.416,0.107,0.741,2
0.0349253,0.965075,0,43.837,8.383,0.179,0.743,2
0.0129491,0.987051,0,37.766,0,0,1,1
0.106974,0.893026,0,28.067,0,0,1,1
0.183044,0.816956,0,25.321,0,0,1,1
0.368569,0.631431,0,21.122,0,0,1,1
0.399902,0.600098,0,20.541,0,0,1,1
1.29E-08,1,1,105.485,8.287,0.039,0.772,3
2.86E-08,1,1,101.311,16.963,0.151,0.764,2
0.280664,0.719337,1,36.93,4.417,0.075,0.608,4
0.164307,0.835693,0,25.894,0,0,1,1
0.659081,0.340919,0,34.619,7.321,0.187,0.604,4
0.048956,0.951044,0,46.577,9.38,0.194,0.631,3
0.00551632,0.994484,1,41.541,0,0,1,1
0.0012286,0.998771,1,48.146,0,0,1,1
0.371347,0.628653,0,30.763,4.3,0.136,0.723,2
0.00221326,0.997787,1,52.19,4.829,0.081,0.785,2
0.851029,0.148971,1,20.313,1.414,0.044,0.887,3
1.64E-07,1,1,94.375,9.413,0.05,0.839,3
0.846796,0.153204,1,21.177,3.061,0.134,0.752,2
0.0790338,0.920966,1,37.685,5.221,0.115,0.808,2
0.00138479,0.998615,1,56.145,8.586,0.141,0.756,2
0.256151,0.743849,0,29.755,2.59,0.064,0.854,2
0.812579,0.187421,0,26.351,4.353,0.145,0.59,3
0.0191777,0.980822,0,36.016,0,0,1,1
