Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0,1,1,513.86,18.565,0.007,0.984,4
1.06E-31,1,1,234.228,12.647,0.023,0.892,4
0.981804,0.0181963,0,24.534,3.244,0.115,0.426,6
0,1,1,654.104,5.498,0.001,0.998,2
0,1,1,340.254,16.84,0.012,0.962,6
0,1,1,987.233,22.251,0.004,0.987,4
0.909907,0.0900928,0,45.619,10.024,0.194,0.333,10
0.868178,0.131822,0,42.12,8.576,0.155,0.571,7
0.988208,0.0117921,0,31.466,6.646,0.2,0.422,7
0.994954,0.00504588,0,23.89,4.978,0.185,0.469,5
0.994886,0.00511404,0,20.705,3.405,0.144,0.455,5
0.995568,0.00443224,0,20.582,3.633,0.165,0.547,4
0.989712,0.010288,0,27.158,5.249,0.171,0.44,6
0.995672,0.00432752,0,23.848,4.787,0.197,0.505,5
0.955921,0.0440786,0,22.435,1.788,0.071,0.557,4
0.999048,0.000951746,0,20.651,4.684,0.223,0.415,6
0,1,0,472.46,25.129,0.017,0.973,3
0.647117,0.352883,0,36.113,4.858,0.121,0.577,5
0.950888,0.0491118,0,29.576,4.665,0.114,0.699,4
0.996236,0.00376385,0,23.515,4.469,0.171,0.452,6
0.996525,0.00347529,0,21.204,3.977,0.178,0.462,5
0,1,1,372.258,16.374,0.012,0.976,4
0.854039,0.145961,0,36.493,5.3,0.104,0.686,6
0.849757,0.150243,0,33.857,5.232,0.116,0.716,4
0.996834,0.00316609,0,26.886,5.988,0.199,0.41,7
0.989376,0.0106238,0,25.451,4.28,0.151,0.44,6
0.999145,0.000854855,0,22.848,5.446,0.219,0.398,7
0.993089,0.00691077,0,20.26,3.119,0.135,0.53,4
0.969317,0.0306831,0,36.059,7.499,0.187,0.374,8
0.903701,0.0962991,0,34.492,6.051,0.137,0.492,6
0.653204,0.346796,0,33.638,4.175,0.084,0.768,3
0.990538,0.00946194,0,26.309,4.718,0.163,0.464,6
0.859997,0.140003,0,25.659,2.454,0.086,0.582,3
0.99686,0.00314001,0,24.285,4.978,0.201,0.451,6
0.993281,0.00671865,0,24.124,4.201,0.154,0.435,6
0,1,1,481.526,10.333,0.006,0.982,2
0.658865,0.341135,0,31.406,2.828,0.069,0.651,4
0.944525,0.0554751,0,31.07,4.681,0.126,0.395,7
0.987053,0.0129473,0,26.054,4.374,0.157,0.428,6
0.993008,0.00699173,0,22.938,3.805,0.142,0.522,5
0.995765,0.00423465,0,21.21,3.813,0.154,0.472,5
0.990701,0.00929872,0,29.382,6.264,0.201,0.477,6
0.97891,0.0210903,0,25.81,4.324,0.133,0.47,5
0.994883,0.00511708,0,23.769,4.646,0.183,0.499,5
0.995855,0.00414483,0,22.657,4.601,0.17,0.476,5
0.988805,0.0111953,0,22.215,3.533,0.145,0.523,4
0.996969,0.00303087,0,21.236,4.025,0.162,0.507,5
0.997187,0.00281285,0,21.039,4.647,0.197,0.514,4
