Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
7.68E-30,1,1,287.565,27.379,0.067,0.464,18
0.987463,0.0125367,1,32.962,4.399,0.121,0.354,9
0.95143,0.0485703,0,28.364,4.821,0.163,0.537,6
0.0122149,0.987785,1,66.282,11.473,0.15,0.36,10
0.105674,0.894326,1,82.683,7.828,0.08,0.474,17
0.999981,1.88E-05,0,20.874,4.261,0.17,0.308,11
0.00033736,0.999663,1,49.608,2.61,0.033,0.793,3
0.106176,0.893824,1,41.627,2.993,0.054,0.557,6
2.64E-10,1,1,161.136,19.37,0.09,0.406,21
0.000883483,0.999116,1,50.039,2.854,0.041,0.728,4
0.994408,0.00559182,0,22.859,2.748,0.101,0.411,7
2.16E-29,1,1,267.582,28.773,0.094,0.434,13
1.21E-11,1,1,130.125,15.717,0.097,0.491,10
0.880905,0.119095,1,33.488,4.822,0.137,0.39,7
0.984689,0.0153111,1,41.333,6.022,0.125,0.33,11
0.995818,0.00418177,1,25.983,3.958,0.114,0.37,8
0.820564,0.179436,1,23.069,1.608,0.057,0.553,4
0.248774,0.751226,1,49.965,5.416,0.098,0.431,9
0.522581,0.477419,1,36.781,4.13,0.087,0.672,6
0.835028,0.164972,1,27.546,3.624,0.097,0.53,5
0.962479,0.0375211,1,33.211,4.427,0.117,0.424,8
0.000298589,0.999701,1,50.959,1.302,0.025,0.54,4
0.000485073,0.999515,1,63.885,6.41,0.09,0.614,7
0.313144,0.686856,0,27.597,1.272,0.031,0.788,3
3.61E-06,0.999996,1,126.337,20.564,0.143,0.305,19
3.09E-08,1,1,111.537,12.646,0.107,0.347,12
0.999336,0.000663622,0,27.855,4.382,0.141,0.338,10
3.79E-06,0.999996,1,77.615,6.858,0.081,0.511,7
5.76E-25,1,1,217.009,14.522,0.051,0.624,9
1.31E-05,0.999987,1,91.417,6.854,0.051,0.518,12
0.945677,0.0543232,1,30.109,3.049,0.079,0.473,7
0.000486612,0.999513,1,52.532,4.46,0.062,0.688,4
0.351046,0.648954,1,36.155,2.18,0.045,0.487,6
0.942988,0.0570124,1,27.414,3.241,0.1,0.529,6
0.453222,0.546778,0,34.909,2.582,0.055,0.447,6
0.454677,0.545323,0,35.881,3.756,0.09,0.456,6
0.997405,0.00259502,0,35.681,5.236,0.134,0.322,11
0.970917,0.0290826,0,21.841,3.253,0.128,0.497,5
0.91356,0.0864397,0,40.877,7.581,0.162,0.351,9
0.681018,0.318982,1,38.403,6.861,0.139,0.416,7
0.994868,0.00513182,0,22.467,2.643,0.112,0.385,7
0.0154123,0.984588,1,63.056,7.005,0.09,0.404,10
0.984443,0.0155566,0,23.96,4.512,0.169,0.419,6
0.998125,0.001875,0,24.565,4.743,0.17,0.375,8
0.955088,0.0449122,1,41.384,6.283,0.137,0.341,10
0.617034,0.382966,1,33.791,3.364,0.099,0.452,6
1.54E-08,1,1,98.408,7.428,0.052,0.648,8
3.11E-05,0.999969,1,86.468,9.212,0.079,0.473,11
0.947653,0.0523473,1,54.568,9.132,0.138,0.429,13
0.999112,0.000888264,0,33.662,6.45,0.161,0.361,11
0.200912,0.799088,0,39.506,4.387,0.083,0.432,6
0.952922,0.0470776,0,30.425,4.629,0.13,0.4,7
0.0634337,0.936566,1,34.29,3.358,0.087,0.715,3
0.0439469,0.956053,1,60.982,8.951,0.124,0.375,10
4.49E-10,1,1,103.018,11.193,0.086,0.51,6
0.932117,0.0678825,0,20.082,1.025,0.037,0.657,4
0.892603,0.107397,1,39.749,4.487,0.097,0.4,9
0.0574027,0.942597,1,39.028,4.476,0.067,0.785,4
0.363522,0.636478,1,36.642,2.991,0.077,0.478,6
6.50E-06,0.999993,1,74.758,5.319,0.058,0.474,7
0.96548,0.0345195,1,27.891,2.694,0.071,0.394,7
0.988337,0.011663,0,40.229,5.463,0.13,0.323,11
0.839976,0.160024,0,22.857,1.716,0.069,0.557,4
0.985783,0.0142172,0,22.81,3.306,0.136,0.425,6
0.686507,0.313493,1,34.403,5.559,0.123,0.476,6
0.649163,0.350837,1,45.047,6.35,0.112,0.368,9
1.92E-26,1,1,265.078,35.682,0.111,0.391,17
2.87E-26,1,1,253.938,22.664,0.067,0.484,16
3.13E-06,0.999997,1,85.409,7.758,0.082,0.467,9
0.993475,0.00652525,0,20.719,3.498,0.151,0.424,6
0.552784,0.447216,1,43.278,6.1,0.109,0.471,8
0.00416897,0.995831,1,78.906,10.309,0.111,0.328,13
0.910148,0.0898519,0,27.753,2.391,0.082,0.458,6
1.11E-05,0.999989,1,81.314,7.495,0.079,0.439,9
1.23E-05,0.999988,1,78.434,8.442,0.099,0.481,8
0.999517,0.00048272,1,27.705,5.386,0.17,0.339,10
0.9987,0.00130006,0,26.885,4.939,0.163,0.351,9
0.000430039,0.99957,1,53.054,4.685,0.075,0.677,4
0.990134,0.0098656,1,22.791,4.371,0.186,0.434,6
0.989766,0.0102338,0,22.512,4.101,0.169,0.421,6
1.85E-06,0.999998,1,70.207,3.078,0.03,0.506,5
0.0188079,0.981192,1,67.384,8.673,0.103,0.462,11
0.948773,0.051227,1,22.588,1.949,0.083,0.51,5
0.795045,0.204955,0,20.267,1.392,0.049,0.614,3
0.00544009,0.99456,1,73.32,7.639,0.095,0.364,12
0.977005,0.0229953,1,36.239,5.968,0.146,0.413,9
0.997476,0.00252391,1,40.569,7.332,0.162,0.336,12
0.343462,0.656538,1,73.056,11.83,0.118,0.395,15
0.397761,0.602239,0,43.498,4.254,0.079,0.414,8
0.155414,0.844586,1,40.097,3.399,0.082,0.458,6
0.0935664,0.906434,1,34.991,2.601,0.063,0.577,4
0.946181,0.0538185,0,23.381,1.921,0.072,0.616,5
6.07E-18,1,1,144.367,3.524,0.007,0.953,3
3.91E-06,0.999996,1,76.803,6.117,0.072,0.475,7
0.769735,0.230265,1,25.724,2.872,0.087,0.666,4
0.722603,0.277397,1,50.425,5.023,0.088,0.398,11
0.863421,0.136579,1,34.204,5.359,0.113,0.418,7
0.0571203,0.94288,1,70.898,10.011,0.125,0.314,13
0.296511,0.703489,1,24.696,1.061,0.031,0.86,2
9.01E-06,0.999991,1,101.174,11.253,0.089,0.374,14
0.848083,0.151917,1,35.85,5.859,0.145,0.52,7
0.620662,0.379338,1,24.796,0.439,0.016,0.507,4
0.000328178,0.999672,1,55.269,3.164,0.044,0.529,5
0.949113,0.0508873,0,20.227,2.991,0.127,0.546,4
0.969816,0.0301839,1,21.19,2.335,0.087,0.509,5
0.995581,0.00441943,1,38.735,6.869,0.164,0.373,11
0.997495,0.00250496,0,23.906,2.769,0.107,0.386,8
0.999689,0.000310512,1,22.925,4.64,0.187,0.379,9
0.146995,0.853005,1,40.769,3.505,0.077,0.524,6
0.998888,0.00111227,1,53.564,10.383,0.17,0.284,16
0.893758,0.106242,1,31.84,2.936,0.082,0.419,7
0.948416,0.0515844,0,22.131,1.636,0.064,0.49,5
0.0405605,0.95944,1,50.573,6.815,0.119,0.529,7
1.12E-07,1,1,118.334,18.534,0.126,0.393,14
4.24E-09,1,1,98.276,7.289,0.047,0.609,7
0.638699,0.361301,1,45.578,6.751,0.118,0.387,9
0.998097,0.00190349,0,21.415,4.636,0.203,0.388,7
2.68E-05,0.999973,1,89.532,8.084,0.073,0.433,12
