Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0,1,1,688.846,28.307,0.007,0.975,10
0.865987,0.134013,0,42.707,6.468,0.112,0.378,21
3.34E-08,1,1,182.307,34.689,0.164,0.325,31
0.998251,0.00174906,0,25.895,5.599,0.198,0.262,22
0.980423,0.0195765,0,24.883,4.141,0.13,0.468,17
0.99322,0.00677959,0,20.635,4.641,0.21,0.324,16
0.990027,0.00997288,0,20.314,3.866,0.167,0.297,16
0.998459,0.00154101,0,20.642,4.581,0.203,0.27,20
0.0256716,0.974328,1,80.614,12.327,0.122,0.36,25
0.809697,0.190303,1,73.922,16.777,0.205,0.343,28
0.997292,0.00270789,0,26.621,6.552,0.232,0.285,20
0.992557,0.00744264,0,20.414,4.373,0.202,0.301,16
0.999132,0.000868338,0,20.201,5.337,0.25,0.268,20
0.998258,0.00174191,0,24.535,5.61,0.207,0.302,21
0.959,0.0410004,0,20.036,3.213,0.134,0.369,13
0.99937,0.000629707,0,23.809,6.378,0.249,0.276,22
0.997565,0.00243529,0,26.34,6.019,0.19,0.272,21
0.930865,0.0691348,0,39.788,7.871,0.183,0.256,19
0.995713,0.00428709,0,29.275,6.381,0.199,0.267,21
0.999563,0.000436626,0,20.968,5.567,0.247,0.295,22
0.997505,0.00249538,0,27.848,5.967,0.192,0.249,22
0.977951,0.0220495,0,20.817,4.029,0.17,0.346,14
0.998107,0.00189293,0,20.763,4.954,0.208,0.352,19
0.980792,0.0192082,0,23.353,6.246,0.248,0.299,13
0.991433,0.00856689,0,25.126,5.147,0.181,0.288,18
0.997925,0.00207502,0,28.838,6.872,0.202,0.265,22
5.13E-07,1,0,93.029,7.578,0.045,0.62,11
0.102085,0.897915,0,59.256,10.186,0.144,0.382,17
0.986847,0.0131535,0,32.793,6.827,0.178,0.303,20
0.999744,0.000256127,0,21.077,5.266,0.225,0.237,24
5.07E-10,1,1,126.957,13.028,0.043,0.879,9
0.984156,0.0158441,0,28.364,5.64,0.176,0.285,18
1.00E-37,1,0,411.15,28.723,0.027,0.898,14
6.83E-14,1,1,152.601,7.958,0.031,0.765,9
0.947343,0.0526571,0,50.692,9.603,0.162,0.319,25
0,1,1,681.431,46.949,0.019,0.942,14
0.998006,0.00199404,0,37.749,9.364,0.216,0.266,25
0.424735,0.575265,0,22.721,3.116,0.069,0.78,6
0.999692,0.00030806,0,23.375,5.368,0.215,0.225,25
3.36E-17,1,1,198.038,15.082,0.026,0.903,11
0.999616,0.000384054,0,24.736,5.711,0.205,0.226,25
0,1,1,408.633,21.388,0.013,0.977,5
0.976503,0.023497,0,21.236,3.487,0.137,0.304,15
2.07E-14,1,1,174.808,16.231,0.053,0.643,11
8.00E-08,1,1,120.43,13,0.074,0.441,18
0.986019,0.0139815,0,22.354,4.88,0.204,0.34,15
0.994377,0.00562269,0,21.378,4.757,0.192,0.287,17
0.996088,0.00391164,0,21.482,4.712,0.203,0.271,18
0.998533,0.00146646,0,26.111,6.706,0.243,0.278,21
0.998547,0.0014526,0,23.588,5.378,0.209,0.395,21
0.879596,0.120403,0,35.737,6.831,0.167,0.321,16
2.48E-08,1,1,125.354,16.567,0.093,0.437,14
7.86E-22,1,1,295.631,33.166,0.066,0.617,27
0.999905,9.50E-05,0,26.295,6.176,0.218,0.22,29
0.596198,0.403802,1,53.502,10.1,0.13,0.381,20
0,1,1,410.104,19.059,0.01,0.98,6
0.996913,0.0030874,0,21.036,5.566,0.25,0.286,17
0.992487,0.00751259,0,36.329,8.247,0.208,0.249,22
0.952153,0.0478473,0,25.332,5.58,0.194,0.31,13
0.985141,0.0148588,0,20.41,3.949,0.156,0.301,15
0.997065,0.00293459,0,34.122,8.071,0.219,0.348,23
1.25E-27,1,1,315.354,24.131,0.029,0.913,16
1.51E-20,1,1,286.766,33.841,0.087,0.473,28
0.996782,0.00321788,0,29.86,7.279,0.212,0.27,21
0.992685,0.00731466,0,21.874,4.475,0.187,0.291,17
0.984687,0.0153129,0,22.088,4.621,0.184,0.36,15
6.57E-38,1,0,422.356,34.247,0.033,0.795,14
0.779193,0.220807,1,41.934,6.442,0.117,0.314,19
0.994226,0.00577374,0,21.589,4.783,0.195,0.306,17
0.862316,0.137684,1,29.312,4.671,0.141,0.359,14
0.998339,0.00166066,0,32.629,7.737,0.217,0.237,24
0.98388,0.01612,0,34.704,7.364,0.187,0.348,20
0.999648,0.000351929,0,21.946,5.803,0.245,0.238,23
0.861238,0.138762,0,62.379,14.481,0.21,0.33,24
0.87225,0.12775,0,24.209,3.773,0.121,0.391,12
0.999664,0.000336096,0,20.131,4.962,0.226,0.258,23
0.990472,0.0095282,0,22.957,4.585,0.174,0.28,17
0.997801,0.00219947,0,32.312,7.738,0.227,0.236,23
0.998501,0.00149936,0,20.416,5.188,0.233,0.289,19
1.02E-12,1,1,177.821,21.42,0.077,0.504,17
0.993572,0.00642805,0,20.216,5.224,0.234,0.351,15
7.81E-13,1,1,165.584,16.303,0.043,0.872,14
0.947708,0.0522918,0,23.035,4.319,0.14,0.372,13
0.0127542,0.987246,0,63.768,9.003,0.104,0.392,16
0.998235,0.00176497,0,25.932,6.274,0.22,0.333,21
0.96617,0.0338304,0,24.363,4.283,0.162,0.311,15
0.999236,0.000764168,0,20.798,4.535,0.195,0.284,22
1.85E-06,0.999998,1,107.949,16,0.082,0.774,14
2.01E-12,1,1,144.987,12.777,0.025,0.928,7
6.26E-06,0.999994,1,128.017,21.579,0.13,0.387,24
0.990744,0.00925618,0,22.99,5.315,0.208,0.305,16
1.30E-09,1,1,132.533,13.168,0.044,0.802,15
0.999508,0.000491841,0,23.836,6.174,0.237,0.247,23
0.791947,0.208053,0,35.467,6.894,0.177,0.327,14
0.00552476,0.994475,1,81.946,13.085,0.119,0.381,21
0.499984,0.500016,0,28.411,4.38,0.132,0.441,9
0.980169,0.0198313,0,25.265,5.69,0.214,0.341,15
0.98328,0.0167204,0,23.419,5.155,0.195,0.319,15
0.996713,0.00328715,0,35.656,8.042,0.195,0.265,24
0.603865,0.396135,1,28.645,5.271,0.156,0.488,9
0.987246,0.0127536,0,39.498,8.106,0.188,0.257,23
0.99341,0.00658976,0,23.607,4.895,0.171,0.324,18
0.992419,0.00758125,0,29.236,6.688,0.209,0.342,19
0.991154,0.00884572,0,26.97,6.709,0.233,0.269,17
0.995613,0.00438674,0,22.844,5.242,0.194,0.319,18
0.984144,0.015856,0,24.713,5.866,0.218,0.334,15
0,1,1,624.078,21.872,0.007,0.948,10
0.998074,0.00192616,0,33.247,7.794,0.21,0.243,24
0.991641,0.00835875,0,21.084,4.51,0.195,0.329,16
0.984588,0.0154121,0,22.333,4.759,0.192,0.295,15
0,1,1,504.282,26.22,0.014,0.935,10
