Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0.0710166,0.928983,1,52.72,9.472,0.156,0.202,56
0.899409,0.100591,0,24.104,5.363,0.209,0.32,30
1.16E-09,1,1,128.918,11.164,0.064,0.403,46
0.4118,0.5882,1,56.62,13.588,0.212,0.197,53
0.851015,0.148985,0,25.106,5.468,0.194,0.205,51
0.756813,0.243187,0,22.966,3.955,0.156,0.259,29
0.646054,0.353946,0,44.067,10.494,0.212,0.167,49
0.95809,0.04191,0,31.359,9.19,0.266,0.157,56
0.797057,0.202943,0,29.539,6.465,0.194,0.217,45
0.566412,0.433588,0,25.779,3.967,0.135,0.248,41
0.70075,0.29925,0,33.884,7.309,0.192,0.211,47
0.834352,0.165648,0,21.845,4.258,0.175,0.205,47
0.103284,0.896716,1,51.65,9.736,0.141,0.239,51
0.851876,0.148124,0,35.262,8.947,0.233,0.147,67
0.704761,0.295239,0,24.314,4.225,0.15,0.227,43
0.667429,0.332571,1,26.831,4.803,0.162,0.212,45
0.00631032,0.99369,1,57.278,7.699,0.106,0.311,40
0.814167,0.185833,0,35.187,8.509,0.222,0.177,54
0.0760131,0.923987,1,46.798,7.506,0.139,0.233,46
0.521615,0.478385,1,30.101,5.182,0.151,0.219,46
0.0220171,0.977983,1,46.168,5.473,0.097,0.345,20
0.00565808,0.994342,1,89.141,18.491,0.175,0.25,48
0.251422,0.748578,1,71.853,17.985,0.22,0.16,57
0.352217,0.647783,1,63.953,15.805,0.227,0.158,59
0.78729,0.21271,0,55.012,15.234,0.25,0.144,65
0.81406,0.18594,0,43.151,11.247,0.238,0.16,54
0.772079,0.227921,0,37.903,9.222,0.217,0.158,62
0.76958,0.23042,0,26.967,5.483,0.18,0.188,48
0.911393,0.088607,0,26.025,6.376,0.217,0.212,39
0.690893,0.309107,0,22.784,3.543,0.146,0.24,33
9.12E-07,0.999999,1,103.62,11.772,0.08,0.343,59
0.000352081,0.999648,1,100.627,18.685,0.157,0.276,46
0.167529,0.832471,1,37.088,5.346,0.11,0.347,32
0.724568,0.275432,0,25.889,4.85,0.165,0.198,45
0.836258,0.163742,0,21.506,4.142,0.168,0.224,38
0.743219,0.25678,0,33.393,7.475,0.196,0.192,55
0.610051,0.389949,0,54.691,13.837,0.237,0.196,51
0.845327,0.154673,0,21.263,4.167,0.168,0.209,37
0.335458,0.664542,1,42.035,8.24,0.173,0.2,57
0.923698,0.0763019,0,20.783,4.753,0.209,0.224,33
0.12018,0.87982,1,48.515,8.761,0.156,0.211,50
0.657232,0.342768,0,32.953,6.748,0.182,0.212,43
0.0171276,0.982872,1,53.302,7.674,0.125,0.255,45
7.81E-06,0.999992,1,95.046,11.521,0.088,0.406,34
0.91265,0.0873499,0,34.505,9.401,0.253,0.161,76
0.738786,0.261214,1,22.575,3.707,0.151,0.29,34
0.375307,0.624693,1,38.107,7.09,0.161,0.228,46
0.138202,0.861798,1,51.924,10.178,0.165,0.206,56
0.831785,0.168214,0,27.969,6.284,0.201,0.168,53
