Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0,1,1,882.279,23.11,0.004,0.991,4
0,1,1,674.225,35.731,0.015,0.936,9
0.402254,0.597746,0,32.458,4.48,0.1,0.783,5
0.985736,0.014264,0,23.679,6.083,0.241,0.326,13
0.934231,0.0657691,0,27.07,5.685,0.185,0.375,11
0.990089,0.00991104,0,21.718,4.999,0.212,0.314,15
0,1,0,575.562,21.277,0.007,0.986,4
1.28E-18,1,1,270.984,25.452,0.043,0.861,14
0.790022,0.209978,0,46.999,10.26,0.176,0.352,15
0.819585,0.180415,0,35.061,6.326,0.147,0.321,13
0.886275,0.113725,0,25.263,4.529,0.13,0.547,9
0.988591,0.0114094,0,25.845,5.241,0.177,0.484,17
0.763486,0.236514,0,22.539,3.151,0.1,0.768,5
0.992826,0.00717378,0,20.855,5.197,0.236,0.29,15
0.939844,0.0601563,0,27.845,6.158,0.206,0.363,11
0.937402,0.0625981,0,21.731,4.322,0.191,0.378,9
0,1,1,701.997,17.839,0.005,0.982,6
0.838745,0.161255,0,38.85,9.148,0.211,0.34,11
0.799992,0.200008,0,22.88,4.164,0.126,0.589,5
2.26E-19,1,1,251.265,15.37,0.014,0.963,8
0.943777,0.0562232,0,31.363,7.509,0.208,0.339,12
0.853982,0.146018,0,30.268,6.431,0.185,0.389,9
0.956893,0.0431073,0,20.311,4.82,0.223,0.391,8
0.854578,0.145422,0,20.938,3.648,0.151,0.472,6
2.16E-30,1,1,418.937,36.848,0.053,0.524,17
0.0723127,0.927687,0,66.185,12.521,0.174,0.457,12
0.8972,0.1028,0,31.262,6.31,0.178,0.312,12
0.786766,0.213234,0,30.882,5.471,0.168,0.504,9
0.917284,0.0827162,0,26.731,5.599,0.193,0.345,10
0.943268,0.0567323,0,22.942,4.583,0.186,0.38,10
0.943469,0.0565314,0,23.903,5.49,0.214,0.368,9
0.940812,0.0591876,0,22.29,4.571,0.195,0.419,9
1.47E-19,1,0,244.268,13.336,0.013,0.975,4
3.74E-14,1,0,189.992,13.249,0.022,0.952,6
0.589308,0.410692,0,42.068,7.665,0.155,0.344,12
0.617847,0.382153,0,29.265,4.94,0.148,0.454,6
0.89652,0.10348,0,27.001,5.353,0.17,0.536,9
0.890713,0.109287,0,28.195,5.949,0.187,0.449,9
2.62E-35,1,1,489.479,44.799,0.048,0.619,19
0.867539,0.132461,0,22.966,4.099,0.131,0.58,7
2.70E-05,0.999973,0,105.583,12.703,0.069,0.773,14
0,1,1,888.482,44.041,0.013,0.953,9
0,1,1,616.777,34.683,0.012,0.974,7
0.787877,0.212123,0,28.493,4.602,0.114,0.541,9
4.27E-33,1,1,413.936,24.844,0.016,0.944,8
0.890147,0.109853,0,35.003,8.694,0.236,0.519,9
0.968243,0.0317571,0,26.566,6.001,0.212,0.292,13
0.90572,0.09428,0,29.082,5.95,0.179,0.342,11
0.927521,0.0724789,0,20.018,4.391,0.21,0.503,6
4.24E-17,1,1,233.195,17.07,0.03,0.704,11
0.785287,0.214713,0,37.673,7.048,0.161,0.503,12
0.796416,0.203584,0,30.638,5.399,0.162,0.354,10
0.873531,0.126469,0,30.494,7.285,0.219,0.38,8
0.948373,0.0516266,0,30.744,8.148,0.254,0.374,10
0.89408,0.10592,0,26.053,5.676,0.178,0.438,8
0.951968,0.0480321,0,24.665,6.087,0.235,0.369,9
0.912312,0.0876876,0,22.801,4.946,0.2,0.448,7
0,1,1,609.486,46.042,0.027,0.937,11
0.979834,0.0201659,0,33.704,8.592,0.23,0.3,16
0.973564,0.0264363,0,30.627,6.903,0.212,0.393,15
0.96549,0.0345095,0,20.158,3.962,0.171,0.357,11
2.92E-26,1,1,372.022,37.544,0.067,0.641,12
4.65E-27,1,1,343.223,21.07,0.02,0.948,8
1.11E-14,1,0,197.132,14.056,0.02,0.955,6
0.759751,0.240249,0,37.037,8.13,0.209,0.413,9
0.844913,0.155087,0,30.86,5.511,0.136,0.46,11
0.989485,0.0105149,0,22.845,5.886,0.233,0.306,14
0.889756,0.110244,0,27.602,5.767,0.195,0.388,9
0.397378,0.602622,0,29.852,3.872,0.111,0.528,5
0.951532,0.0484676,0,22.224,4.873,0.209,0.429,9
0.984065,0.0159347,0,20.926,4.712,0.21,0.326,13
0.84718,0.15282,0,20.82,3.882,0.167,0.49,5
0.890583,0.109417,0,35.091,7.744,0.196,0.362,12
0.971219,0.0287813,0,21.642,5.227,0.22,0.393,10
0.851901,0.148099,0,31.385,7.557,0.233,0.46,7
0,1,1,916.776,24.094,0.003,0.991,5
0.866175,0.133825,0,33.522,7.131,0.194,0.535,10
0.179448,0.820552,0,37.962,3.769,0.079,0.55,8
0.978496,0.0215036,0,20.798,4.703,0.194,0.321,12
0.856496,0.143504,0,22.289,3.788,0.163,0.621,6
0,1,1,721.882,31.782,0.013,0.951,10
0.892697,0.107303,0,33.958,6.981,0.176,0.491,12
0,1,1,517.757,15.211,0.011,0.781,6
0.121641,0.878359,0,47.912,7.059,0.128,0.427,9
0.936586,0.0634144,0,29.035,6.775,0.195,0.53,10
0.972475,0.0275249,0,23.919,6.116,0.24,0.451,10
0.927845,0.0721551,0,22.024,4.993,0.21,0.438,7
0.967135,0.0328648,0,21.525,5.065,0.215,0.341,10
0.97209,0.0279099,0,20.018,4.694,0.21,0.355,10
6.97E-27,1,0,360.732,31.065,0.038,0.942,7
0.972877,0.027123,0,22.15,5.561,0.239,0.364,10
3.12E-23,1,1,335.241,33.497,0.044,0.804,14
0.00554615,0.994454,1,88.041,15.485,0.158,0.335,16
0.979095,0.0209048,0,21.291,4.876,0.213,0.318,12
0.984725,0.0152748,0,21.701,4.729,0.189,0.332,14
0.927572,0.0724282,0,21.989,4.63,0.201,0.376,8
0,1,1,761.932,25.424,0.004,0.984,6
0,1,1,514.793,28.916,0.018,0.943,9
0,1,1,598.48,29.46,0.012,0.97,9
1.66E-30,1,1,375.401,19.202,0.012,0.957,8
0.772447,0.227553,0,25.983,4.93,0.164,0.623,5
0.601948,0.398052,0,41.621,8.531,0.185,0.536,9
0.910007,0.0899934,0,22.781,4.405,0.175,0.466,8
0.691522,0.308478,0,39.901,8.065,0.161,0.371,11
0.170988,0.829012,0,38.87,4.007,0.075,0.775,7
0.789063,0.210937,0,37.168,8.107,0.195,0.403,10
0.975841,0.0241591,0,21.21,4.965,0.222,0.341,11
4.17E-17,1,1,270.893,34.24,0.061,0.861,12
0.995054,0.00494623,0,26.397,6.889,0.244,0.293,18
0.97449,0.0255099,0,31.303,7.448,0.223,0.325,15
0.960359,0.0396415,0,23.043,5.24,0.209,0.399,10
0.751855,0.248145,0,46.326,11.425,0.224,0.37,11
0.645702,0.354298,0,27.952,3.605,0.102,0.678,7
0.952152,0.0478483,0,25.896,6.142,0.228,0.373,10
0.920389,0.0796111,0,22.343,4.539,0.18,0.438,8
0.924809,0.0751911,0,21.966,3.869,0.156,0.503,9
0,1,1,542.03,30.033,0.017,0.911,13
0.977394,0.0226065,0,24.132,6.228,0.241,0.399,11
0.995959,0.00404071,0,23.36,5.858,0.237,0.307,18
0.903468,0.0965315,0,29.657,6.371,0.197,0.427,10
0.825222,0.174778,0,21.922,3.625,0.158,0.461,6
4.86E-29,1,1,336.869,10.757,0.008,0.978,3
2.65E-16,1,1,214.368,13.797,0.022,0.885,7
0.55658,0.44342,0,60.019,11.855,0.175,0.341,19
0.935291,0.0647086,0,21.674,4.571,0.182,0.477,8
0.964727,0.0352732,0,21.899,4.959,0.208,0.398,10
0.818812,0.181188,0,22.739,3.937,0.144,0.492,6
7.96E-28,1,1,340.389,18.142,0.015,0.957,4
0.927846,0.0721544,0,20.047,3.968,0.187,0.51,7
0.925648,0.0743516,0,23.872,4.298,0.17,0.449,10
4.14E-09,1,0,135.932,11.999,0.042,0.905,7
0.00213007,0.99787,0,69.354,9.24,0.094,0.777,6
0.896066,0.103934,0,28.868,6.026,0.187,0.379,10
0.940068,0.059932,0,22.757,4.458,0.157,0.419,10
0.852508,0.147492,0,29.521,6.144,0.197,0.517,8
0.96153,0.0384697,0,22.898,5.29,0.213,0.373,10
0.874546,0.125454,0,25.883,4.753,0.169,0.4,9
0,1,0,751.21,29.664,0.009,0.971,8
1.63E-21,1,0,271.699,15.604,0.017,0.956,6
0.738535,0.261465,0,35.114,6.309,0.156,0.357,11
0.598531,0.401469,0,27.601,3.842,0.134,0.519,6
