Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
1.63E-09,1,1,50.159,6.195,0.078,0.406,26
1.53E-06,0.999998,1,48.804,7.848,0.134,0.324,36
1.46E-16,1,1,65.984,5.074,0.061,0.468,20
1.95E-06,0.999998,1,30.758,2.559,0.057,0.536,17
0.855553,0.144447,0,39.279,10.691,0.251,0.169,44
0.999789,0.000210844,0,31.508,9.187,0.268,0.162,54
0.933352,0.0666479,0,29.582,6.523,0.199,0.172,44
0.590208,0.409792,0,24.455,5.585,0.206,0.218,26
0.949347,0.050653,0,21.141,5.408,0.237,0.222,26
9.09E-08,1,0,48.679,6.651,0.101,0.335,33
1.00E-19,1,1,111.012,19.631,0.139,0.314,39
0.240513,0.759487,0,28.709,6.014,0.184,0.226,31
3.70E-06,0.999996,1,52.879,9.889,0.141,0.254,39
0.944709,0.0552907,0,29.088,7.218,0.221,0.244,39
0.0297763,0.970224,0,26.465,3.515,0.119,0.28,32
7.24E-10,1,1,70.773,12.763,0.162,0.223,43
0.997112,0.00288843,0,36.866,9.678,0.237,0.16,58
0.848567,0.151433,0,35.031,7.372,0.19,0.186,52
0.122607,0.877393,1,20.528,2.854,0.124,0.329,24
7.44E-08,1,1,36.748,3.074,0.057,0.358,19
0.0631796,0.93682,1,32.319,6.143,0.153,0.252,36
0.251308,0.748692,0,26.491,4.883,0.154,0.243,32
0.991983,0.00801751,0,34.425,8.053,0.215,0.168,57
0.676511,0.323489,0,22.843,5.071,0.207,0.335,26
1.22E-23,1,1,83.176,4.781,0.042,0.523,13
0.925526,0.0744738,1,32.617,8.548,0.24,0.226,40
0.602215,0.397785,0,38.564,9.744,0.226,0.183,43
0.178333,0.821667,0,23.34,3.468,0.129,0.269,30
0.998771,0.00122862,0,21.424,4.496,0.187,0.186,47
3.95E-07,1,1,45.174,5.955,0.107,0.339,32
5.66E-07,0.999999,1,60.31,12.48,0.184,0.268,38
5.31E-05,0.999947,1,56.336,12.569,0.193,0.19,42
0.861241,0.138759,0,54.877,15.177,0.25,0.144,64
0.915687,0.0843127,0,44.562,12.672,0.263,0.165,50
0.0667296,0.93327,1,35.327,8.748,0.233,0.22,28
0.787314,0.212686,0,22.455,4.458,0.169,0.225,31
0.985213,0.0147871,0,22.328,5.223,0.203,0.218,36
7.17E-16,1,1,100.627,18.685,0.157,0.276,46
8.93E-05,0.999911,1,31.641,4.041,0.069,0.593,25
3.02E-05,0.99997,1,35.329,4.944,0.104,0.364,25
0.859513,0.140487,0,31.418,6.82,0.188,0.202,45
0.622888,0.377112,1,34.936,7.122,0.181,0.217,49
0.0276173,0.972383,1,24.95,3.618,0.116,0.354,27
0.292018,0.707982,1,20.163,2.977,0.131,0.321,26
0.010635,0.989365,1,29.928,4.56,0.13,0.274,32
0.00119434,0.998806,1,51.887,10.163,0.165,0.206,55
0.999592,0.000407631,0,25.496,6.399,0.228,0.17,51
0.989753,0.0102469,0,24.642,5.899,0.213,0.212,40
0.000929106,0.999071,1,29.901,4.023,0.104,0.374,27
7.71E-05,0.999923,1,46.096,9.104,0.178,0.282,34
0.25099,0.74901,0,20.633,3.261,0.131,0.328,25
2.58E-27,1,1,113.325,11.602,0.073,0.426,30
0.0354855,0.964514,1,26.576,4.318,0.139,0.314,28
1.94E-06,0.999998,1,58.853,10.221,0.151,0.242,52
0.998683,0.00131684,0,27.016,6.476,0.217,0.179,51
0.366604,0.633396,1,34.291,6.567,0.158,0.217,47
0.760043,0.239957,0,20.33,3.969,0.176,0.268,27
0.610147,0.389853,0,33.188,7.483,0.203,0.2,41
1.20E-19,1,1,102.801,13.606,0.108,0.285,51
4.72E-06,0.999995,1,40.111,5.971,0.12,0.387,26
0.156522,0.843478,1,27.625,5.544,0.17,0.255,29
1.28E-05,0.999987,1,50.378,9.244,0.143,0.28,40
1.87E-13,1,1,66.969,8.67,0.083,0.507,28
0.990202,0.00979784,1,33.909,9.391,0.258,0.17,46
8.75E-13,1,1,82.65,13.158,0.125,0.277,52
0.00386034,0.99614,1,28.643,4.746,0.151,0.3,23
1.66E-08,1,1,53.921,7.613,0.12,0.292,36
0.166735,0.833265,0,31.429,6.746,0.185,0.212,33
0.827742,0.172258,0,25.131,4.618,0.163,0.214,39
0.979195,0.0208048,0,21.122,5.007,0.221,0.216,32
0.0361128,0.963887,1,41.015,8,0.179,0.238,48
0.816264,0.183736,1,21.556,3.764,0.136,0.277,34
3.93E-19,1,1,83.315,8.882,0.067,0.459,27
0.134837,0.865163,1,41.46,8.388,0.183,0.18,52
9.01E-09,1,1,45.494,4.906,0.082,0.423,26
0.0068578,0.993142,1,29.643,4.509,0.124,0.282,30
0.000112489,0.999887,1,43.716,7.409,0.141,0.264,39
0.669043,0.330957,1,25.347,4.724,0.158,0.226,36
1.79E-07,1,0,62.154,11.56,0.156,0.223,45
0.00177501,0.998225,0,44.999,8.641,0.17,0.234,45
0.257474,0.742526,1,22.342,3.542,0.145,0.273,28
0.499018,0.500982,0,46.849,12.879,0.256,0.19,47
0.33376,0.66624,1,23.369,4.341,0.175,0.26,27
