Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
3.20E-14,1,1,135.143,21.184,0.128,0.358,49
0.999258,0.000741887,0,21.236,4.137,0.177,0.288,20
0.663944,0.336056,1,25.239,2.652,0.091,0.449,11
7.83E-05,0.999922,1,71.428,10.76,0.121,0.342,49
0.999538,0.000461908,0,25.745,5.098,0.158,0.281,35
0.980443,0.0195571,0,49.683,11.173,0.208,0.223,38
0.989695,0.0103049,0,36.047,6.771,0.167,0.232,39
4.91E-23,1,1,170.299,22.859,0.1,0.384,40
0.999976,2.43E-05,0,29.697,7.928,0.251,0.253,32
0.999148,0.000851899,0,20.469,3.385,0.144,0.403,25
0.993607,0.00639277,0,26.025,4.562,0.164,0.318,21
0.998272,0.00172833,0,24.508,4.444,0.153,0.269,28
0.999997,2.71E-06,0,22.935,6.056,0.246,0.218,43
0.999922,7.76E-05,0,24.607,5.554,0.192,0.293,34
0.999902,9.79E-05,0,20.297,3.841,0.172,0.221,38
0.000194361,0.999806,1,55.053,7.053,0.115,0.31,27
0.992266,0.00773425,0,35.8,6.782,0.167,0.23,40
0.983563,0.0164372,0,21.282,2.97,0.12,0.335,15
0.999142,0.000858355,0,20.394,3.885,0.164,0.297,19
0.994812,0.00518768,0,36.187,7.474,0.188,0.223,34
0.993087,0.00691348,0,21.465,3.242,0.131,0.308,19
0.988969,0.0110311,1,20.654,2.604,0.095,0.417,20
9.67E-07,0.999999,1,61.876,6.275,0.07,0.59,25
0.998836,0.00116407,0,36.118,7.841,0.192,0.233,40
0.864528,0.135472,0,27.366,3.717,0.116,0.351,17
0,1,1,380.073,54.513,0.119,0.318,53
2.29E-25,1,1,220.868,37.085,0.134,0.313,53
0.999859,0.000140976,0,26.724,5.785,0.195,0.2,39
0.999163,0.000836585,0,23.432,4.639,0.166,0.291,24
3.62E-15,1,1,139.259,22.05,0.143,0.282,41
0.957707,0.042293,0,30.265,5.061,0.15,0.321,21
0.999961,3.91E-05,0,30.015,6.975,0.207,0.21,48
0.918113,0.0818868,1,38.719,6.563,0.145,0.263,39
0.739214,0.260786,1,35.294,4.934,0.113,0.37,33
0.999645,0.000355139,0,23.164,4.867,0.177,0.375,23
0.998918,0.00108179,0,20.768,3.925,0.167,0.338,17
0,1,1,261.095,21.97,0.057,0.586,45
0.0267827,0.973217,1,49.529,7.056,0.119,0.304,39
0.999523,0.000477059,0,21.016,4.016,0.178,0.392,21
2.64E-23,1,1,171.368,22.7,0.087,0.373,44
0.973769,0.0262312,1,46.115,9.594,0.167,0.331,40
0.996931,0.00306926,0,20.638,3.217,0.131,0.3,22
0.999917,8.29E-05,0,23.846,5.387,0.205,0.286,31
0.0121912,0.987809,1,50.603,7.689,0.134,0.301,28
0.998865,0.00113536,0,30.82,6.822,0.203,0.295,25
0.998745,0.00125539,0,22.174,4.093,0.156,0.355,21
0.998966,0.00103395,0,40.707,9.607,0.214,0.221,38
0.99999,1.04E-05,0,22.986,5.528,0.225,0.308,39
0.95424,0.0457605,0,30.355,4.449,0.126,0.47,27
0.0272194,0.972781,1,52.088,7.346,0.104,0.347,48
1.06E-07,1,1,91.159,14.481,0.121,0.319,44
0.999569,0.000431412,1,31.36,7.112,0.199,0.255,33
0.997879,0.00212108,0,32.523,6.625,0.174,0.252,35
0.991663,0.00833725,0,31.554,5.518,0.16,0.271,35
0.999948,5.17E-05,1,44.636,12.682,0.257,0.209,36
0.999163,0.00083696,0,34.092,7.819,0.203,0.229,32
1.48E-25,1,1,161.372,16.959,0.088,0.481,28
0.344343,0.655657,0,35.226,4.581,0.087,0.623,19
0.982789,0.0172111,0,44.93,9.629,0.195,0.212,38
0.984395,0.0156051,0,43.453,9.381,0.188,0.263,34
0.99441,0.00558962,0,27.119,4.937,0.157,0.319,23
0.999905,9.46E-05,0,26.202,5.601,0.187,0.298,40
0.994293,0.00570661,0,20.545,2.996,0.132,0.351,18
2.70E-05,0.999973,1,92.105,18.032,0.169,0.224,43
2.37E-21,1,1,167.528,23.649,0.127,0.283,47
1.14E-13,1,1,148.731,27.229,0.16,0.262,44
0.0336925,0.966307,1,71.775,14.005,0.18,0.271,52
0.999868,0.000132304,0,25.09,6.071,0.224,0.299,22
0.997217,0.0027832,0,22.683,3.701,0.142,0.312,25
0.997934,0.00206553,0,21.928,3.279,0.133,0.285,31
0.999803,0.00019723,0,27.215,6.526,0.22,0.282,24
0.995024,0.00497565,0,66.514,16.754,0.23,0.172,56
0.993511,0.00648858,0,63.919,16.17,0.234,0.192,48
0.999301,0.000699413,0,38.391,9.017,0.219,0.229,37
0.999858,0.000142071,0,26.161,5.506,0.19,0.283,38
