Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
1.69E-09,1,0,115.001,19.345,0.137,0.189,108
0.996384,0.00361577,0,40.588,10.336,0.233,0.166,89
0.994524,0.00547557,0,36.788,9.032,0.229,0.171,76
0.988949,0.0110515,0,34.383,7.85,0.2,0.18,75
0.999805,0.000194773,0,32.342,8.952,0.253,0.175,101
0.997572,0.00242831,0,28.414,6.931,0.222,0.206,60
0.996278,0.00372174,0,27.323,5.721,0.193,0.19,90
0.973265,0.0267354,0,26.898,4.918,0.161,0.203,67
0.99319,0.00681015,0,26.668,5.671,0.193,0.197,65
0.993267,0.00673338,0,22.218,4.502,0.178,0.203,51
0.997739,0.00226102,0,22.188,4.915,0.203,0.223,56
0.998035,0.00196492,0,21.068,4.809,0.204,0.213,49
0.0221197,0.97788,1,103.074,24.856,0.219,0.133,150
0.997564,0.00243608,0,50.235,12.72,0.236,0.147,144
0.769443,0.230557,0,37.767,7.013,0.156,0.158,80
0.998895,0.00110544,0,34.45,8.899,0.233,0.153,93
0.9939,0.00610037,0,30.018,6.715,0.195,0.193,74
0.997687,0.00231294,0,29.139,6.794,0.198,0.186,85
0.989403,0.0105966,0,28.083,5.792,0.188,0.2,69
0.999405,0.00059529,0,23.942,5.386,0.197,0.152,109
0.996612,0.00338804,0,46.229,11.947,0.231,0.143,110
0.997935,0.00206519,0,42.463,11.423,0.248,0.174,83
0.945393,0.0546069,0,36.272,7.497,0.188,0.174,75
0.995997,0.00400309,0,31.849,6.85,0.188,0.162,112
0.986121,0.013879,0,29.358,6.164,0.181,0.178,69
0.997566,0.00243376,0,27.969,6.133,0.197,0.185,94
0.988779,0.011221,0,25.584,5.083,0.168,0.203,64
0.981753,0.0182469,0,24.161,4.545,0.157,0.268,46
0.977002,0.0229979,0,22.225,3.55,0.138,0.269,56
0.999535,0.000464606,1,20.927,4.665,0.208,0.242,88
0.99496,0.00503984,0,41.898,10.717,0.233,0.208,78
0.986444,0.0135556,0,37.81,8.653,0.202,0.194,84
0.993228,0.00677205,0,35.938,8.387,0.212,0.193,85
0.995369,0.00463057,0,34.27,8.33,0.224,0.17,74
0.996184,0.00381589,0,30.152,7.097,0.204,0.188,72
0.997609,0.00239139,0,26.998,6.383,0.205,0.197,67
0.994419,0.00558148,0,26.402,5.842,0.205,0.198,57
0.997175,0.00282454,0,25.619,5.422,0.19,0.188,86
0.998807,0.00119288,0,21.717,4.758,0.208,0.216,73
0.987193,0.0128073,0,21.144,3.303,0.14,0.2,75
0.38743,0.61257,0,54.428,11.132,0.179,0.171,101
0.996277,0.00372299,0,38.395,9.424,0.225,0.161,96
0.998948,0.00105219,0,33.704,8.577,0.231,0.17,95
0.995655,0.00434531,0,31.005,7.049,0.201,0.207,81
0.989986,0.0100144,0,29.856,6.066,0.18,0.198,87
0.995137,0.00486309,0,29.778,6.896,0.217,0.207,63
0.970166,0.0298341,0,27.586,5.327,0.176,0.203,54
0.999195,0.000805271,0,20.611,4.822,0.217,0.242,60
0.996122,0.00387842,0,20.221,4.057,0.179,0.237,51
0.886823,0.113177,0,51.929,11.652,0.211,0.162,107
0.906952,0.0930481,0,49.827,11.272,0.197,0.154,102
0.981311,0.0186886,0,48.041,11.535,0.22,0.144,108
0.894839,0.105161,0,47.813,10.142,0.19,0.152,117
0.991855,0.00814527,0,36.206,8.398,0.207,0.22,81
0.999296,0.000703894,0,32.918,8.598,0.233,0.149,96
0.902892,0.0971078,0,30.385,5.475,0.147,0.213,59
0.98135,0.0186503,0,29.531,5.706,0.175,0.188,82
0.998013,0.00198661,0,27.427,6.583,0.217,0.178,70
0.99508,0.00492003,0,27.339,5.662,0.185,0.219,83
0.995863,0.004137,0,26.242,6.093,0.21,0.211,50
0.998279,0.00172136,0,24.507,5.988,0.225,0.212,50
0.998911,0.00108866,0,24.315,5.688,0.201,0.197,79
0.996844,0.00315643,0,21.881,4.708,0.204,0.196,54
0.999009,0.000991059,0,21.294,5.066,0.227,0.211,56
0.996342,0.00365778,0,20.844,4.259,0.188,0.209,55
0.997174,0.002826,0,31.526,7.395,0.207,0.191,87
0.991853,0.00814726,0,30.06,6.811,0.2,0.238,56
0.999154,0.000845945,0,25.32,6.413,0.233,0.23,60
0.999219,0.000780595,0,24.919,6.459,0.239,0.248,51
0.994953,0.00504715,0,23.437,4.917,0.177,0.194,61
0.993812,0.0061881,0,22.707,4.771,0.183,0.19,50
0.999127,0.000873279,0,22.635,5.535,0.224,0.19,63
0.999027,0.000972752,0,21.37,5.126,0.223,0.219,55
0.9992,0.000800473,0,42.983,11.741,0.252,0.164,104
0.993675,0.00632457,0,35.381,7.731,0.199,0.164,112
0.998827,0.00117323,0,33.053,8.273,0.231,0.17,95
0.99954,0.000459824,0,29.825,7.44,0.228,0.175,108
0.992283,0.00771723,0,28.474,6.26,0.202,0.195,62
0.999033,0.000967202,0,26.546,6.096,0.203,0.153,103
0.999013,0.000987256,0,26.417,6.673,0.229,0.197,66
0.988541,0.0114594,0,25.807,5.004,0.171,0.197,70
0.99846,0.00154015,0,23.061,5.185,0.205,0.253,64
0.993405,0.00659502,0,21.928,4.289,0.176,0.199,57
0.907638,0.0923616,0,36.21,7.082,0.178,0.179,77
0.996982,0.00301786,0,30.606,7.097,0.206,0.185,85
0.999429,0.000570858,0,27.95,7.368,0.242,0.19,73
0.991885,0.00811536,0,23.713,4.813,0.18,0.198,55
0.99989,0.000110209,0,21.119,5.433,0.242,0.2,97
0.839348,0.160652,0,57.71,13.507,0.212,0.159,104
0.983498,0.0165022,0,47.351,11.751,0.226,0.171,88
0.57348,0.42652,0,46.898,9.077,0.168,0.178,98
0.998786,0.00121444,0,41.065,10.977,0.24,0.168,98
0.998575,0.00142449,0,31.833,7.854,0.225,0.157,92
0.96594,0.0340596,0,31.604,6.299,0.173,0.238,65
0.996834,0.00316644,0,29.397,7.217,0.225,0.179,58
0.997881,0.00211935,0,27.847,6.82,0.233,0.212,57
0.979304,0.0206956,0,23.953,4.019,0.148,0.179,74
0.993591,0.00640858,0,22.488,4.176,0.166,0.244,67
0.995125,0.00487473,0,22.176,4.639,0.176,0.22,52
0.998704,0.00129565,0,21.457,4.832,0.216,0.226,61
0.989285,0.0107155,0,21.274,3.763,0.158,0.178,62
0.937526,0.0624743,0,58.332,13.672,0.206,0.139,139
0.998121,0.00187897,0,53.092,13.636,0.23,0.118,160
0.984338,0.0156619,0,52.819,13.332,0.23,0.141,107
0.999377,0.000623431,0,52.18,14.957,0.272,0.152,110
0.911002,0.0889978,0,47.085,10.347,0.196,0.151,102
