Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0.846274,0.153726,0,22.054,4.311,0.174,0.319,14
0,1,1,313.838,40.587,0.089,0.425,38
0.00232545,0.997675,1,46.702,7.892,0.151,0.264,28
0.111837,0.888163,0,36.015,6.553,0.168,0.43,23
6.28E-08,1,1,82.863,15.971,0.168,0.29,30
0.915532,0.0844683,0,22.557,3.72,0.145,0.298,26
0.85858,0.14142,0,21.401,3.834,0.152,0.298,17
0.848685,0.151315,0,20.533,3.375,0.147,0.302,17
5.78E-12,1,1,87.293,10.622,0.095,0.449,29
0.747567,0.252433,0,25.881,5.207,0.18,0.298,17
0.979606,0.0203945,0,33.073,7.5,0.203,0.204,43
0.903632,0.096368,0,23.298,4.641,0.182,0.321,19
0.0908309,0.909169,1,34.418,5.265,0.127,0.326,28
4.32E-07,1,1,55.073,6.31,0.071,0.713,16
2.25E-05,0.999978,1,55.491,7.615,0.11,0.422,33
0.95524,0.0447599,0,21.012,3.692,0.14,0.328,25
0.847774,0.152226,0,34.673,8.316,0.221,0.228,28
0.627057,0.372943,0,25.655,4.04,0.145,0.285,23
1.95E-25,1,1,169.406,22.601,0.099,0.386,38
0.990108,0.00989226,0,28.018,7.263,0.243,0.263,29
0.632004,0.367996,0,25.215,4.372,0.162,0.328,18
0.899983,0.100017,0,25.444,5.6,0.194,0.284,19
0.842887,0.157113,0,33.372,7.281,0.194,0.236,32
0.588063,0.411937,1,20.533,2.565,0.095,0.419,16
1.53E-08,1,1,57.232,4.654,0.057,0.638,16
0.101969,0.898031,0,27.17,3.669,0.116,0.353,15
0,1,1,274.552,33.132,0.101,0.423,25
3.39E-21,1,1,156.442,25.024,0.127,0.411,34
0.0228567,0.977143,1,38.46,6.825,0.161,0.341,20
0.194832,0.805168,0,25.451,3.568,0.125,0.347,14
0.287675,0.712325,1,38.664,7.414,0.16,0.264,35
0.0517374,0.948263,1,32.963,4.399,0.104,0.394,26
1.57E-06,0.999998,1,57.917,7.71,0.119,0.374,24
0.000388446,0.999612,1,46.672,7.545,0.115,0.532,19
0.209126,0.790874,1,42.56,8.937,0.168,0.354,34
0.00620918,0.993791,1,37.161,5.512,0.128,0.381,18
0.996628,0.00337174,0,20.618,4.722,0.215,0.339,29
1.50E-08,1,1,64.079,6.984,0.068,0.433,24
0.855096,0.144904,0,30.695,7.146,0.212,0.259,23
0.818577,0.181423,0,26.312,4.801,0.163,0.303,25
1.42E-09,1,1,66.068,7.222,0.096,0.593,12
0.00684046,0.99316,0,30.301,3.126,0.053,0.718,13
0.293646,0.706354,0,39.79,8.613,0.193,0.229,29
0.394335,0.605665,0,36.891,8.092,0.19,0.297,25
2.37E-08,1,1,91.322,17.803,0.168,0.226,41
6.30E-17,1,1,142.263,25.823,0.159,0.272,39
8.16E-17,1,1,122.151,17.18,0.124,0.318,34
0.15082,0.84918,0,51.766,12.48,0.215,0.202,37
0.0791005,0.9209,0,47.895,10.366,0.194,0.23,35
0.970618,0.0293817,0,20.805,4.237,0.182,0.328,21
0.897717,0.102283,0,23.085,4.332,0.168,0.287,21
0.977889,0.0221109,0,25.986,6.31,0.216,0.245,25
0.0990714,0.900929,0,32.362,5.568,0.152,0.297,18
1.94E-13,1,1,94.179,11.284,0.104,0.424,27
0.805342,0.194658,0,21.508,3.659,0.153,0.328,16
0,1,1,223.206,18.364,0.058,0.606,24
0.899741,0.100259,0,20.64,3.154,0.118,0.358,23
0.830733,0.169267,0,21.924,3.202,0.132,0.322,23
8.27E-15,1,1,97.152,9.68,0.064,0.487,31
0.0054023,0.994598,1,34.778,4.532,0.099,0.412,17
1.62E-07,1,1,59.293,6.859,0.082,0.61,21
2.74E-05,0.999973,1,41.279,3.884,0.066,0.43,13
0.000195653,0.999804,0,44.862,5.91,0.104,0.355,22
0.859837,0.140163,0,26.72,4.984,0.166,0.29,27
0.0180478,0.981952,1,33.51,4.659,0.11,0.371,19
0.96558,0.0344205,0,21.476,4.783,0.189,0.326,18
0.000152355,0.999848,0,45.577,5.988,0.111,0.365,22
0.936135,0.0638648,0,21.955,4.824,0.21,0.371,14
0.0190001,0.981,0,47.555,8.818,0.166,0.251,37
0.421167,0.578833,0,27.775,4.765,0.148,0.399,19
0.716021,0.283979,0,33.877,6.915,0.188,0.239,32
0.2646,0.7354,0,27.202,3.745,0.119,0.461,21
0.255885,0.744115,0,35.824,6.901,0.176,0.241,27
0.000102432,0.999898,0,83.08,20.506,0.224,0.202,42
0.0027817,0.997218,1,47.54,9.121,0.163,0.332,22
0.875559,0.124441,0,37.129,8.001,0.191,0.235,42
0.997969,0.00203133,0,25.9,6.647,0.231,0.209,37
0.981759,0.0182412,0,21.317,4.136,0.175,0.33,27
0.990622,0.0093781,0,20.544,3.972,0.168,0.338,30
0.932768,0.0672315,0,20.278,3.388,0.134,0.354,22
0.963723,0.036277,1,23.669,4.903,0.183,0.313,25
0.0486154,0.951385,0,31.766,4.733,0.135,0.297,18
0.888436,0.111564,0,21.219,3.287,0.128,0.337,23
