Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0.770073,0.229927,0,38.584,8.807,0.208,0.165,66
0.865943,0.134057,0,29.969,6.184,0.187,0.172,54
0.967402,0.0325981,0,25.88,5.348,0.192,0.196,46
0.997839,0.00216152,0,22.073,4.804,0.189,0.177,64
1.92E-05,0.999981,1,52.72,9.472,0.156,0.202,56
0.994966,0.00503371,0,24.104,5.363,0.209,0.32,30
8.83E-34,1,1,128.918,11.164,0.064,0.403,46
0.0219913,0.978009,1,56.62,13.588,0.212,0.197,53
0.990767,0.00923316,0,25.106,5.468,0.194,0.205,51
0.857384,0.142616,0,22.966,3.955,0.156,0.259,29
0.178119,0.821881,0,47.804,11.384,0.212,0.167,49
0.999872,0.000128102,0,31.359,9.19,0.266,0.157,56
0.947997,0.052003,0,29.539,6.465,0.194,0.217,45
0.366993,0.633007,0,25.779,3.967,0.135,0.248,41
0.995612,0.0043876,0,20.4,4.133,0.184,0.183,51
0.741135,0.258865,0,33.884,7.309,0.192,0.211,47
0.986047,0.0139528,0,21.845,4.258,0.175,0.205,47
7.87E-05,0.999921,1,51.65,9.736,0.141,0.239,51
0.992015,0.00798495,0,35.262,8.947,0.233,0.147,67
0.827735,0.172265,0,24.314,4.225,0.15,0.227,43
0.702201,0.297799,1,26.831,4.803,0.162,0.212,45
2.04E-09,1,1,57.278,7.699,0.106,0.311,40
0.964198,0.0358023,0,35.187,8.509,0.222,0.177,54
2.12E-05,0.999979,1,46.798,7.506,0.139,0.233,46
0.224602,0.775398,1,30.101,5.182,0.151,0.219,46
9.58E-08,1,1,46.168,5.473,0.097,0.345,20
3.87E-10,1,1,89.141,18.491,0.175,0.25,48
0.00109875,0.998901,1,71.853,17.985,0.22,0.16,57
0.00276663,0.997233,1,67.527,16.688,0.227,0.158,59
0.914774,0.0852257,0,55.012,15.234,0.25,0.144,65
0.900478,0.0995221,0,45.595,11.884,0.238,0.16,54
0.900005,0.0999949,0,39.635,9.643,0.217,0.158,62
0.863352,0.136648,0,28.855,5.867,0.18,0.188,48
0.997215,0.00278506,0,26.025,6.376,0.217,0.212,39
0.708158,0.291842,0,22.784,3.543,0.146,0.24,33
5.05E-23,1,1,103.62,11.772,0.08,0.343,59
1.61E-14,1,1,100.627,18.685,0.157,0.276,46
0.000519811,0.99948,1,37.088,5.346,0.11,0.347,32
0.855974,0.144026,0,25.889,4.85,0.165,0.198,45
0.980393,0.0196069,0,21.506,4.142,0.168,0.224,38
0.899056,0.100944,0,33.393,7.475,0.196,0.192,55
0.230338,0.769662,0,54.691,13.837,0.237,0.196,51
0.983086,0.0169139,0,21.263,4.167,0.168,0.209,37
0.0191152,0.980885,1,42.035,8.24,0.173,0.2,57
0.998306,0.00169388,0,20.783,4.753,0.209,0.224,33
0.000124357,0.999876,1,48.515,8.761,0.156,0.211,50
0.557426,0.442574,0,32.953,6.748,0.182,0.212,43
8.07E-08,1,1,53.302,7.674,0.125,0.255,45
3.48E-20,1,1,95.046,11.521,0.088,0.406,34
0.999354,0.000646112,0,34.505,9.401,0.253,0.161,76
