Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
6.43E-12,1,1,61.773,5.304,0.075,0.22,38
0.129775,0.870225,0,26.792,3.638,0.123,0.154,81
0.960008,0.0399916,0,23.852,5.261,0.199,0.15,92
2.62E-08,1,1,68.949,11.416,0.152,0.128,110
0.997309,0.00269124,0,32.585,8.168,0.229,0.095,155
0.0189891,0.981011,1,29.43,3.691,0.11,0.172,76
0.92811,0.0718898,0,25.291,5.413,0.191,0.13,95
0.739007,0.260993,0,24.339,4.991,0.192,0.13,74
2.36E-13,1,1,80.454,8.245,0.083,0.194,105
1.91E-06,0.999998,1,43.306,3.884,0.065,0.2,71
0.12801,0.87199,1,25.933,4.468,0.137,0.166,60
0.946938,0.0530616,0,32.238,8.091,0.23,0.108,114
0.000367793,0.999632,1,30.352,2.964,0.089,0.206,44
0.240963,0.759037,0,29.951,5.635,0.151,0.147,85
0.874695,0.125305,0,21.815,4.698,0.205,0.161,67
0.953297,0.0467034,0,23.173,4.027,0.155,0.128,107
0.988829,0.0111709,0,21.04,4.495,0.203,0.142,97
0.000491274,0.999509,1,41.606,6.211,0.123,0.15,91
4.03E-25,1,1,126.209,10.547,0.063,0.256,97
0.161785,0.838215,1,34.254,7.25,0.186,0.149,87
0.60366,0.39634,0,26.384,5.518,0.19,0.134,75
0.899807,0.100193,0,22.191,4.144,0.168,0.147,85
0.942094,0.0579058,0,21.325,4.572,0.193,0.152,77
1.12E-07,1,1,51.515,6.066,0.094,0.203,67
0.677744,0.322256,1,23.927,3.697,0.134,0.146,90
9.29E-07,0.999999,1,45.249,5.355,0.096,0.186,54
6.33E-09,1,1,81.655,16.411,0.173,0.159,119
0.00491719,0.995083,1,66.645,16.392,0.219,0.095,169
0.00186171,0.998138,1,54.409,11.997,0.205,0.112,122
0.849685,0.150315,0,36.688,8.443,0.215,0.098,132
0.985108,0.0148918,0,27.429,6.447,0.214,0.109,117
0.988631,0.011369,0,24.274,5.594,0.211,0.124,107
0.918918,0.0810817,0,20.101,3.89,0.159,0.158,75
5.61E-16,1,1,101.903,11.524,0.089,0.19,154
4.80E-12,1,1,100.132,18.829,0.161,0.163,143
0.000685169,0.999315,1,33.64,4.309,0.094,0.22,58
0.961136,0.0388636,0,20.667,3.571,0.151,0.13,96
0.983605,0.0163948,0,21.315,4.725,0.197,0.152,91
0.114908,0.885092,0,42.655,10.119,0.223,0.127,106
0.0105348,0.989465,1,31.423,4.975,0.142,0.149,64
0.000600364,0.9994,1,38.871,6.242,0.138,0.14,70
0.567277,0.432723,0,20.995,3.622,0.157,0.154,59
4.66E-06,0.999995,1,44.875,5.83,0.109,0.173,64
3.55E-16,1,1,89.628,10.033,0.083,0.232,69
0.0498742,0.950126,1,30.703,5.088,0.142,0.145,77
0.254414,0.745586,1,50.271,10.04,0.17,0.123,186
0.999844,0.000156387,0,26.676,6.027,0.201,0.095,177
0.994474,0.00552575,0,20.281,4.559,0.207,0.132,99
2.43E-05,0.999976,1,40.709,4.781,0.097,0.187,67
3.95E-09,1,1,70.71,11.203,0.134,0.148,104
0.297594,0.702406,0,20.25,2.39,0.103,0.181,60
8.60E-22,1,1,112.174,11.357,0.078,0.243,68
0.000730522,0.999269,1,36.665,5.06,0.126,0.163,72
0.245175,0.754825,0,27.331,3.905,0.126,0.158,91
2.08E-06,0.999998,1,46.746,5.891,0.112,0.168,68
0.913388,0.0866121,0,32.219,7.997,0.225,0.106,109
0.874359,0.125641,0,22.358,3.82,0.151,0.128,90
0.981971,0.0180293,0,20.639,3.949,0.172,0.119,99
0.159137,0.840863,1,32.601,5.506,0.14,0.141,103
0.984383,0.0156165,0,29.078,7.572,0.238,0.117,111
0.468056,0.531944,0,24.025,4.669,0.185,0.177,60
0.0136941,0.986306,1,23.581,2.146,0.076,0.214,48
0.930954,0.0690462,0,26.004,5.7,0.197,0.121,97
9.96E-16,1,1,95.32,11.822,0.102,0.172,103
4.47E-07,1,1,56.389,8.037,0.115,0.196,94
0.0360396,0.96396,1,29.473,4.779,0.142,0.15,67
0.829681,0.170319,1,20.79,3.122,0.136,0.158,83
5.96E-06,0.999994,1,49.027,6.99,0.11,0.168,84
0.00417751,0.995822,0,35.995,5.531,0.137,0.138,82
1.76E-12,1,1,89.221,12.503,0.104,0.214,137
0.999621,0.000378874,0,28.981,7.297,0.224,0.093,164
0.996595,0.0034048,0,28.924,6.628,0.199,0.102,147
0.991135,0.00886499,1,29.474,7.042,0.213,0.101,132
5.57E-11,1,1,82.859,12.52,0.122,0.152,130
3.20E-06,0.999997,1,47.45,5.915,0.104,0.181,79
0.294164,0.705836,0,28.037,4.719,0.153,0.126,87
0.28047,0.71953,0,20.946,2.703,0.113,0.16,60
0.602287,0.397713,1,37.704,7.716,0.186,0.137,135
0.450794,0.549206,1,20.798,2.676,0.091,0.173,70
0.926944,0.0730556,0,35.467,6.542,0.161,0.117,164
1.79E-14,1,1,81.058,8.779,0.072,0.273,67
0.297763,0.702237,1,33.24,6.694,0.173,0.124,99
0.38153,0.61847,1,25.305,4.211,0.143,0.153,77
4.32E-10,1,1,60.003,5.553,0.077,0.232,73
0.00554119,0.994459,1,28.096,3.107,0.084,0.171,60
0.000159945,0.99984,1,48.545,7.297,0.119,0.138,118
4.09E-06,0.999996,0,50.174,8.312,0.133,0.148,68
0.0377442,0.962256,1,32.982,5.654,0.16,0.146,82
0.00317225,0.996828,0,30.427,4.245,0.125,0.19,51
9.08E-06,0.999991,1,53.775,7.838,0.125,0.151,115
0.993082,0.00691835,1,30.47,7.26,0.217,0.095,140
0.881289,0.118711,0,23.766,4.164,0.151,0.134,97
0.000898286,0.999102,1,28.306,2.443,0.077,0.216,47
4.96E-12,1,1,85.135,12.761,0.117,0.217,112
0.973687,0.0263126,0,25.082,6.323,0.227,0.115,91
0.884532,0.115468,0,21.822,4.661,0.204,0.209,67
0.974111,0.0258892,0,20.676,3.88,0.153,0.123,97
8.56E-07,0.999999,1,58.704,9.322,0.129,0.173,102
5.23E-06,0.999995,1,37.48,2.975,0.068,0.239,48
0.00509287,0.994907,1,34.915,5.134,0.13,0.142,82
1.92E-07,1,1,59.416,8.845,0.12,0.16,97
0.224556,0.775444,0,22.922,3.67,0.134,0.195,55
0.904763,0.0952368,0,38.368,9.936,0.242,0.102,128
0.464848,0.535152,0,20.177,2.932,0.133,0.159,59
0.0457062,0.954294,1,21.453,2.197,0.084,0.216,45
2.26E-20,1,1,113.163,11.508,0.071,0.195,118
0.00614003,0.99386,1,40.308,6.884,0.157,0.126,101
0.300098,0.699902,0,20.093,3.204,0.136,0.212,43
7.91E-23,1,1,113.931,9.213,0.066,0.251,84
1.61E-05,0.999984,1,52.626,8.594,0.147,0.127,101
0.699465,0.300535,1,27.174,4.622,0.154,0.133,103
6.44E-06,0.999994,1,59.065,10.813,0.151,0.147,108
0.0032305,0.99677,0,38.351,6.296,0.134,0.161,86
0.00205117,0.997949,1,34.83,5.185,0.122,0.208,67
0.136807,0.863193,1,20.603,2.348,0.089,0.209,51
0.265387,0.734613,0,34.337,6.682,0.178,0.115,106
0.722359,0.277641,1,31.707,7.767,0.224,0.117,90
0.799887,0.200113,0,26.666,4.636,0.152,0.126,106
2.30E-08,1,1,67.339,10.448,0.124,0.147,111
5.65E-05,0.999943,1,49.285,7.572,0.112,0.145,107
0.0142198,0.98578,1,39.191,7.366,0.164,0.128,95
0.805232,0.194768,0,26.644,6.021,0.207,0.136,81
1.90E-07,1,1,85.858,19.15,0.204,0.104,156
0.0422962,0.957704,0,30.887,5.179,0.147,0.159,74
0.800607,0.199393,0,27.041,5.565,0.182,0.126,93
0.54724,0.45276,0,26.259,4.733,0.151,0.128,86
1.20E-17,1,1,100.884,12.443,0.099,0.198,82
0.304814,0.695186,1,32.037,5.373,0.151,0.12,111
0.194548,0.805452,1,37.726,8.51,0.197,0.116,100
0.768174,0.231826,0,27.126,6.237,0.208,0.132,79
0.179253,0.820747,0,22.572,3.025,0.118,0.178,60
0.895641,0.104359,0,20.354,3.02,0.135,0.139,89
0.764233,0.235767,1,31.639,6.577,0.173,0.115,114
0.00114513,0.998855,1,30.684,3.469,0.098,0.156,55
6.85E-06,0.999993,1,39.158,3.302,0.069,0.245,60
1.37E-06,0.999999,1,60.231,9.368,0.13,0.165,120
0.994505,0.00549512,0,29.27,6.294,0.193,0.104,149
0.0667269,0.933273,1,28.771,4.376,0.136,0.175,75
3.85E-08,1,1,55.297,6.26,0.08,0.242,81
0.981428,0.0185716,0,21.223,4.684,0.197,0.158,89
7.95E-31,1,1,170.26,22.44,0.11,0.163,113
8.52E-13,1,1,76.471,8.618,0.093,0.186,83
0.952953,0.0470469,0,30.282,7.234,0.223,0.13,112
0.368617,0.631383,0,28.134,5.11,0.168,0.129,85
0.0181582,0.981842,0,27.307,3.423,0.109,0.176,62
0.932062,0.0679382,0,23.185,4.56,0.171,0.125,93
0.98842,0.0115804,1,26.89,7.049,0.247,0.117,104
0.000119458,0.999881,1,49.182,8.662,0.155,0.201,94
0.973882,0.0261179,0,26.9,5.236,0.179,0.11,126
