Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0.998748,0.00125191,0,25.055,3.753,0.116,0.614,3
1.33E-07,1,1,96.533,3.947,0.025,0.839,3
0.998007,0.00199321,0,35.512,6.659,0.172,0.482,5
0.995782,0.00421816,0,41.396,7.578,0.17,0.54,5
0.998862,0.00113824,0,20.026,1.93,0.095,0.715,2
0.639714,0.360286,1,45.02,4.171,0.092,0.708,2
1.20E-08,1,1,127.4,13.25,0.079,0.589,4
0.971945,0.0280547,0,26.608,0,0,1,1
0.995184,0.00481572,1,21.149,0,0,1,1
0.0214497,0.97855,1,72.029,8.751,0.089,0.642,4
0.999171,0.00082894,0,22.171,3.323,0.125,0.58,3
0.994377,0.00562337,0,46.3,9.317,0.191,0.528,4
0.968539,0.0314609,0,32.198,3.103,0.094,0.587,3
3.50E-13,1,1,164.128,14.07,0.052,0.643,6
0.999757,0.000242643,0,20.059,2.928,0.127,0.783,2
0.0186368,0.981363,1,51.256,1.797,0.034,0.723,2
0.998469,0.00153063,0,26.475,3.35,0.106,0.73,3
0.999829,0.000170566,0,21.51,3.766,0.162,0.751,2
0.999024,0.000975796,0,20.904,1.977,0.08,0.799,2
0.99719,0.00280991,0,28.344,4.178,0.112,0.599,3
0.998677,0.00132326,0,26.202,3.674,0.139,0.708,2
0.000416857,0.999583,1,61.233,0,0,1,1
0.98919,0.0108096,0,22.012,0.582,0.025,0.737,2
0.993043,0.00695691,0,22.28,0,0,1,1
0,1,1,383.814,21.655,0.021,0.69,4
4.54E-16,1,1,220.667,27.094,0.088,0.542,7
0.998975,0.00102474,0,25.954,4.295,0.142,0.525,4
5.19E-09,1,1,134.885,14.309,0.091,0.796,2
0.9984,0.00160043,0,22.71,2.617,0.106,0.572,4
0.997686,0.00231365,0,30.44,4.662,0.11,0.674,3
0.900313,0.0996872,1,33.451,2.044,0.061,0.709,2
0.849617,0.150383,1,34.159,1.3,0.031,0.818,2
0.99975,0.000250135,0,23.913,4.86,0.191,0.503,4
1.82E-27,1,1,262.833,13.564,0.03,0.762,4
0.401813,0.598187,1,52.523,5.92,0.106,0.558,4
3.81E-15,1,1,163.623,9.633,0.034,0.673,4
0.785422,0.214578,1,37.059,1.863,0.042,0.805,2
0.999847,0.000153364,0,22.271,4.214,0.175,0.669,3
0.869373,0.130627,1,41.859,3.858,0.052,0.736,4
0.999755,0.000244534,0,26.23,4.72,0.16,0.748,3
0.997384,0.00261617,0,31.297,5.077,0.154,0.584,3
0.993142,0.00685751,0,26.571,1.752,0.048,0.855,2
0.00990144,0.990099,1,52.015,1.898,0.032,0.588,3
0.00128861,0.998711,1,92.249,12.183,0.109,0.784,3
0.999055,0.00094514,0,32.143,5.995,0.177,0.632,3
0.996754,0.00324648,0,28.81,4.129,0.135,0.522,4
0.997829,0.00217097,1,44.257,9.617,0.206,0.512,4
1.14E-14,1,1,158.511,8.316,0.029,0.781,4
0.988706,0.011294,0,33.518,3.323,0.062,0.894,2
0.994437,0.00556341,0,45.975,9.272,0.191,0.519,4
0.987267,0.0127328,0,29.411,2.787,0.091,0.64,3
0.999042,0.000957503,0,27.224,3.808,0.109,0.833,2
0.00123465,0.998765,1,93.737,13.726,0.122,0.61,3
6.86E-18,1,1,166.053,4.161,0.025,0.709,2
