Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0.78838,0.21162,1,28.34,1.866,0.045,0.441,6
0.0438564,0.956144,1,61.103,4.532,0.066,0.379,9
0.488314,0.511686,1,47.742,6.29,0.121,0.312,11
0.0161332,0.983867,1,70.235,5.189,0.058,0.4,10
0.801268,0.198732,1,32.754,1.129,0.028,0.411,7
0.856521,0.143479,1,22.394,1.674,0.071,0.47,5
0.94846,0.0515398,1,23.154,1.371,0.047,0.382,7
4.16E-06,0.999996,1,116.393,6.983,0.048,0.446,10
0.378906,0.621094,1,35.292,1.958,0.042,0.483,5
0.626198,0.373802,1,38.005,3.544,0.073,0.411,8
0.107512,0.892488,1,46.74,2.918,0.056,0.435,6
0.000269347,0.999731,1,86.869,4.946,0.048,0.408,8
0.00145592,0.998544,1,83.692,14.566,0.14,0.328,14
0.739164,0.260836,1,24.195,1.056,0.044,0.516,4
0.937413,0.0625873,1,22.794,2.451,0.094,0.382,7
0.736547,0.263453,1,35.103,3.24,0.086,0.367,8
0.00105055,0.998949,1,70.981,3.401,0.045,0.539,5
0.218143,0.781857,1,49.31,5.092,0.062,0.371,9
2.46E-05,0.999975,1,97.824,5.003,0.044,0.493,7
0.684976,0.315024,1,27.746,1.949,0.069,0.461,5
0.0010807,0.998919,1,85.33,7.69,0.08,0.341,11
0.464154,0.535846,1,39.108,3.056,0.059,0.452,7
0.5139,0.4861,1,34.523,2.484,0.064,0.416,6
0.00836699,0.991633,1,67.415,5.191,0.052,0.518,8
0.0510873,0.948913,1,62.548,5.39,0.077,0.362,10
0.523345,0.476655,1,31.939,1.835,0.055,0.466,5
0.00385788,0.996142,1,70.929,3.596,0.036,0.537,7
0.0977459,0.902254,1,54.17,3.663,0.056,0.439,8
0.850361,0.149639,1,26.912,1.081,0.033,0.42,6
0.777109,0.222891,0,33.873,3.223,0.084,0.372,8
0.917919,0.0820808,0,21.63,2.041,0.081,0.426,6
0.658199,0.341801,1,28.588,1.927,0.06,0.474,5
0.809892,0.190108,1,21.567,1.258,0.058,0.519,4
