Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0,1,1,423.958,22.888,0.019,0.751,19
0.999079,0.000921399,0,27.721,6.043,0.198,0.264,15
0.995978,0.00402202,0,26.772,5.519,0.185,0.325,11
2.06E-22,1,1,198.923,13.899,0.031,0.453,15
0.997393,0.00260717,0,26.743,5.677,0.174,0.312,12
0,1,1,615.476,39.765,0.028,0.578,23
0.999886,0.000113782,0,50.378,13.586,0.248,0.214,24
0.997061,0.00293878,0,30.563,5.998,0.184,0.268,15
0.998908,0.0010918,0,30.307,7.122,0.211,0.288,14
0.99661,0.00339009,0,25.201,5.041,0.178,0.342,11
0.999177,0.000823127,0,24.514,5.535,0.213,0.283,13
0.998933,0.00106645,0,20.662,4.435,0.202,0.32,11
0.997237,0.00276256,0,20.512,3.686,0.144,0.315,11
0.999081,0.000919263,0,35.686,8.33,0.218,0.257,17
0.999694,0.000306187,0,31.976,7.681,0.22,0.24,18
0.998628,0.00137235,0,27.511,6.208,0.204,0.288,13
0.996658,0.00334163,0,20.038,3.592,0.158,0.323,10
0.98453,0.0154702,0,25.903,4.622,0.151,0.347,9
0.998468,0.00153153,0,22.757,4.917,0.202,0.312,11
0.998934,0.00106611,0,20.421,4.135,0.181,0.299,12
0.997397,0.0026028,0,20.131,4.111,0.174,0.347,9
0,1,1,912.415,31.319,0.012,0.794,16
0.956435,0.0435648,0,35.88,5.798,0.122,0.3,14
0.890068,0.109932,0,29.866,2.993,0.078,0.393,12
0.999838,0.000161693,0,24.014,6.177,0.243,0.265,15
0.999411,0.000589173,0,23.894,5.855,0.225,0.313,12
0.994642,0.00535839,0,22.609,3.838,0.151,0.396,10
0.997306,0.00269418,0,21.958,4.211,0.162,0.311,11
0.998306,0.00169419,0,21.217,4.024,0.167,0.301,12
0,1,1,710.275,23.844,0.013,0.827,15
0.959453,0.0405469,0,32.722,4.753,0.106,0.289,14
0.981137,0.0188626,0,20.973,2.761,0.095,0.342,9
0.998526,0.0014735,0,20.309,4.045,0.189,0.314,11
0,1,1,418.311,24.04,0.034,0.547,17
0.936793,0.0632065,0,33.822,4.613,0.118,0.294,14
0.995795,0.00420525,0,32.971,7.415,0.213,0.413,11
0.998509,0.00149097,0,20.749,4.495,0.197,0.331,10
0,1,0,367.742,29.433,0.035,0.753,19
0.994673,0.00532707,0,23.921,4.152,0.163,0.337,11
0,1,1,345.996,22.402,0.04,0.44,17
0.200793,0.799207,1,111.16,23.055,0.181,0.196,34
0.997748,0.00225174,0,30.712,6.957,0.205,0.286,13
0.99847,0.00153049,0,29.948,6.755,0.195,0.276,14
0.998224,0.00177627,0,20.881,4.358,0.197,0.332,10
0.99701,0.00298999,0,20.251,3.972,0.176,0.354,9
0.996995,0.00300469,0,34.65,6.588,0.169,0.24,18
0.999841,0.000158503,0,29.534,8.273,0.262,0.269,15
0.999744,0.00025572,0,38.573,9.391,0.21,0.227,21
0.989689,0.0103108,0,25.513,4.549,0.139,0.35,10
