Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0.969833,0.0301669,0,27.635,4.078,0.131,0.424,7
0.995657,0.0043426,0,38.302,7.562,0.169,0.305,15
0.858735,0.141265,0,48.477,9.671,0.173,0.32,11
0.99545,0.00455007,0,24.133,5.459,0.216,0.384,7
0,1,1,378.444,11.453,0.006,0.991,2
0.99619,0.00381038,0,32.465,7.654,0.214,0.308,11
0.98393,0.0160701,0,29.625,6.176,0.198,0.394,7
0,1,0,387.305,23.067,0.023,0.937,7
0.0320989,0.967901,1,74.534,11.767,0.131,0.342,14
0.99332,0.00668014,0,26.647,6.058,0.218,0.393,7
0.976888,0.0231122,0,24.234,4.351,0.165,0.517,4
0.975766,0.0242335,0,27.164,4.471,0.136,0.508,6
0.995366,0.0046344,0,26.532,5.553,0.187,0.347,9
0.99435,0.00564969,0,21.465,3.767,0.164,0.405,7
0.974351,0.0256494,0,33.291,6.17,0.164,0.351,9
0.99595,0.00404954,0,24.117,5.544,0.217,0.401,7
0.997061,0.00293924,1,20.663,4.411,0.199,0.392,7
0.96541,0.0345899,0,27.178,4.285,0.143,0.43,6
0.990158,0.00984177,0,26.117,5.746,0.2,0.546,5
0.991044,0.00895607,0,24.143,4.892,0.184,0.435,6
0.994399,0.00560048,0,21.588,4.357,0.188,0.43,6
0.991838,0.00816245,0,21.011,4.116,0.175,0.452,5
4.99E-25,1,0,270.889,21.625,0.043,0.768,9
0.992866,0.00713357,0,28.605,6.363,0.204,0.383,8
0.995871,0.00412929,0,27.322,5.978,0.206,0.359,9
0.996522,0.00347831,0,26.958,5.533,0.19,0.335,10
0.989649,0.0103511,0,21.761,3.556,0.131,0.568,5
0.957439,0.0425614,0,29.57,5.265,0.157,0.412,6
0.947415,0.0525846,0,27.564,4.306,0.131,0.474,5
5.76E-32,1,1,313.626,15.288,0.025,0.624,9
0.99521,0.00478993,0,23.076,4.962,0.191,0.385,7
0.985598,0.0144023,0,20.187,2.39,0.111,0.42,6
0.979644,0.0203556,0,26.978,4.862,0.168,0.453,6
0.994572,0.00542758,0,24.367,5.381,0.199,0.386,7
0.993891,0.00610948,0,31.148,7.365,0.221,0.349,9
0.991118,0.00888176,0,22.349,3.653,0.137,0.4,7
3.47E-17,1,1,180.665,9.831,0.041,0.695,5
0.920366,0.0796338,1,29.362,4.229,0.14,0.491,5
0.926536,0.0734635,0,27.201,3.202,0.116,0.511,5
0,1,1,568.941,18.488,0.007,0.96,4
6.78E-22,1,1,219.599,10.946,0.02,0.665,5
0.990086,0.00991423,0,20.879,3.771,0.155,0.459,5
0.991281,0.0087189,0,26.129,6.137,0.228,0.496,5
0.995545,0.00445469,0,22.917,5.362,0.221,0.422,6
0.790593,0.209407,0,24.479,0.999,0.04,0.599,3
0.997724,0.00227594,0,23.182,5.94,0.247,0.395,7
0.995707,0.00429339,0,31.388,7.292,0.204,0.371,10
0.997821,0.00217916,0,22.255,4.45,0.175,0.378,9
0.992617,0.00738327,0,25.833,5.668,0.193,0.386,7
0.991608,0.00839197,0,21.017,4.143,0.165,0.454,5
0.991496,0.00850444,0,20.356,3.659,0.175,0.45,5
0.837334,0.162666,0,37.178,5.817,0.126,0.446,7
0.970684,0.0293164,0,29.954,4.9,0.136,0.378,8
0.982185,0.0178146,0,29.683,5.566,0.175,0.359,8
0.938099,0.0619014,0,29.367,4.295,0.129,0.45,6
1.62E-20,1,1,238.801,21.385,0.055,0.507,14
0.994597,0.00540276,0,24.526,5.562,0.219,0.468,6
0.997361,0.00263855,0,22.452,5.001,0.204,0.356,8
0.992297,0.00770274,0,25.854,5.551,0.174,0.414,7
0.981266,0.0187343,0,20.47,2.834,0.115,0.544,4
6.55E-24,1,1,244.095,14.541,0.021,0.944,4
0.985376,0.0146245,0,20.952,3.643,0.142,0.511,4
4.84E-26,1,1,254.468,11.338,0.012,0.973,3
0.848168,0.151832,0,42.66,8.419,0.174,0.373,8
0.987137,0.0128628,0,24.399,4.738,0.184,0.495,5
0.995029,0.00497105,0,20.876,4.661,0.21,0.46,5
0,1,1,704.906,18.998,0.005,0.987,3
0.0157114,0.984289,0,54.171,5.014,0.065,0.504,6
0.929778,0.0702216,0,35.011,6.161,0.126,0.486,7
0.983542,0.0164577,0,27.25,5.161,0.161,0.384,7
0.981611,0.0183887,0,23.427,3.358,0.136,0.444,6
0.997426,0.00257377,0,23.264,5.917,0.239,0.382,7
1.70E-11,1,1,185.278,30.883,0.141,0.381,16
0.950475,0.0495254,0,27.074,4.078,0.143,0.468,5
0.988806,0.0111943,0,21.39,3.82,0.16,0.453,5
0.985863,0.0141372,0,21.591,3.126,0.122,0.539,5
0.946265,0.0537347,0,29.292,3.948,0.115,0.427,7
0.993712,0.00628785,0,21.109,4.018,0.169,0.43,6
0.974502,0.0254978,0,22.29,2.929,0.117,0.467,5
1.55E-05,0.999985,1,88.873,8.805,0.08,0.44,9
0.993943,0.00605711,1,20.201,3.809,0.159,0.411,6
0.388427,0.611573,1,87.679,19.072,0.195,0.384,20
0.991298,0.0087023,0,29.692,5.472,0.157,0.347,10
0.999204,0.000795548,0,27.936,7.161,0.226,0.308,12
0.998823,0.00117649,0,26.07,6.125,0.212,0.332,11
