Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0.9992,0.00079993,0,23.133,4.079,0.166,0.368,8
0.997905,0.00209484,0,22.455,4.596,0.184,0.457,6
0.999857,0.000142704,0,22.259,4.673,0.181,0.345,9
0.998904,0.00109645,0,20.191,3.242,0.154,0.398,7
0.998779,0.00122086,0,23.762,4.879,0.194,0.41,7
0.998569,0.0014313,0,21.817,3.827,0.159,0.389,7
0.999286,0.000713548,1,20.341,4.801,0.218,0.432,6
7.73E-11,1,0,128.223,15.422,0.07,0.643,12
0.999865,0.000134997,0,32.189,7.577,0.222,0.332,11
0.999346,0.000654324,0,24.7,5.05,0.191,0.387,8
1.95E-09,1,1,128.255,16.471,0.104,0.466,15
0.999928,7.15E-05,0,23.34,5.701,0.228,0.411,9
0.999799,0.000201298,0,28.972,6.561,0.213,0.333,10
0.999942,5.75E-05,0,26.258,6.621,0.233,0.34,10
0.995494,0.00450565,0,24.809,4.782,0.178,0.484,6
0.992407,0.00759266,0,23.262,3.682,0.135,0.42,6
0.993936,0.0060635,0,21.865,4.933,0.22,0.534,4
0.998574,0.00142559,0,20.172,4.015,0.183,0.412,6
0.990691,0.00930929,1,29.082,4.253,0.121,0.38,8
0.997706,0.00229449,0,20.19,3.382,0.151,0.448,6
0,1,1,538.722,13.468,0.005,0.968,5
3.93E-27,1,1,215.758,14.759,0.046,0.701,10
0.999123,0.000876951,0,23.633,5.312,0.204,0.391,7
0.998737,0.00126257,0,28.501,6.288,0.21,0.371,8
0.999104,0.000896174,0,23.367,5.132,0.206,0.385,7
1,1.77E-09,0,41.299,9.978,0.225,0.221,25
0.99959,0.000409593,0,21.148,3.77,0.161,0.401,8
0.997087,0.00291256,1,25.851,4.791,0.182,0.438,7
0.997762,0.00223777,0,21.385,4.054,0.18,0.42,6
0.999517,0.000482905,0,42.152,7.837,0.157,0.319,14
0.9915,0.00849991,0,33.876,5.646,0.145,0.379,9
0.999932,6.80E-05,0,21.307,4.778,0.215,0.383,9
1.69E-26,1,1,227.526,20.867,0.073,0.399,13
0.996027,0.00397287,0,21.13,4.212,0.177,0.486,5
0.995861,0.00413884,0,20.22,2.792,0.118,0.441,6
7.08E-32,1,1,223.361,10.994,0.019,0.9,4
0.994627,0.00537276,0,23.884,4.298,0.157,0.445,6
0.998092,0.00190807,0,22.73,4.892,0.186,0.456,6
0.999669,0.000331432,0,20.433,3.776,0.165,0.369,8
4.52E-36,1,1,251.881,13.155,0.029,0.688,5
0.998175,0.00182517,0,21.706,4.511,0.187,0.418,6
0.994694,0.00530596,0,20.996,3.831,0.147,0.505,5
5.39E-12,1,1,177.095,30.028,0.141,0.355,20
0.997751,0.00224931,0,25.511,5.167,0.185,0.392,7
0.996834,0.00316568,0,24.754,4.33,0.169,0.389,7
0.988548,0.0114519,0,20.554,2.855,0.12,0.451,5
0.998793,0.00120709,0,27.74,5.963,0.198,0.376,8
0.998484,0.00151613,0,26.178,5.918,0.217,0.393,7
0.000306055,0.999694,1,73.888,8.772,0.095,0.516,10
0.998756,0.00124407,0,22.524,4.366,0.164,0.402,7
0.966264,0.0337357,1,70.309,16.507,0.212,0.323,15
0.998206,0.00179445,0,28.582,4.918,0.145,0.353,9
0.999855,0.000144563,0,21.554,4.25,0.17,0.358,9
0,1,1,362.307,31.772,0.051,0.551,11
0.99528,0.00472024,0,27.677,5.353,0.18,0.401,7
0.991611,0.00838914,0,24.804,4.307,0.145,0.437,6
0.98831,0.0116899,0,22.439,3.717,0.127,0.492,5
0.982316,0.0176843,0,32.608,5.249,0.138,0.386,8
0.99682,0.00317956,0,32.137,7.129,0.207,0.368,8
0.996813,0.00318672,0,20.681,3.39,0.121,0.452,6
0.988761,0.0112391,0,23.663,3.459,0.119,0.418,6
0.999331,0.000668729,0,20.253,5.008,0.21,0.41,6
0.995717,0.00428311,0,26.598,5.627,0.202,0.512,6
0.989357,0.010643,0,22.285,3.151,0.13,0.619,5
0.999899,0.000101305,0,25.821,6.792,0.248,0.354,9
0.998092,0.00190771,0,49.674,10.131,0.181,0.319,14
0.998719,0.00128054,0,26.086,5.045,0.178,0.372,8
0.999857,0.000142852,0,22.596,4.768,0.194,0.347,9
0.999693,0.000306684,0,21.82,4.542,0.185,0.377,8
0.995033,0.00496736,0,28.072,5.519,0.18,0.4,7
0.946133,0.053867,0,24.236,2.705,0.097,0.484,5
0.992657,0.00734294,0,23.667,3.814,0.153,0.426,6
0.999467,0.000532928,0,22.396,5.264,0.215,0.384,7
0.946905,0.0530951,0,20.599,1.879,0.082,0.533,4
0.97545,0.02455,0,23.038,2.954,0.109,0.519,5
0.99806,0.00194002,1,21.578,4.329,0.185,0.424,6
0.998373,0.00162653,0,20.567,4.059,0.175,0.424,6
0.998562,0.00143823,0,22.452,4.142,0.164,0.394,7
2.00E-12,1,0,98.771,3.309,0.018,0.846,4
0.967306,0.0326942,0,30.618,4.44,0.121,0.44,7
0.945307,0.054693,0,29.138,5.097,0.153,0.51,5
0.99943,0.000570174,0,27.111,6.622,0.211,0.374,8
3.58E-09,1,1,78.518,4.675,0.023,0.961,2
0.999031,0.000969072,0,34.966,7.97,0.192,0.334,10
0.999216,0.000783578,0,21.781,4.468,0.182,0.404,7
0.999704,0.000296381,0,22.349,4.83,0.196,0.377,8
0,1,0,422.807,21.294,0.022,0.796,13
0.0538214,0.946179,1,42.483,3.644,0.072,0.525,6
0.966921,0.0330793,0,36.57,5.417,0.124,0.365,9
0.998496,0.00150429,0,24.619,5.113,0.198,0.397,7
0.999179,0.000821141,0,20.967,4.754,0.211,0.489,6
0.949919,0.0500809,0,25.605,3.521,0.1,0.506,5
0.99684,0.00316029,0,23,4.378,0.185,0.44,6
0.996224,0.00377616,0,20.879,4.165,0.182,0.472,5
0.995859,0.00414064,0,20.032,2.747,0.12,0.423,6
