Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0,1,1,212.736,21.108,0.084,0.222,43
2.57E-21,1,1,69.525,4.626,0.063,0.28,20
1.16E-21,1,1,74.332,5.25,0.069,0.27,16
2.69E-24,1,1,84.418,5.238,0.052,0.291,18
1.31E-13,1,1,39.536,1.83,0.042,0.302,17
0,1,1,146.455,15.25,0.075,0.224,45
9.48E-13,1,1,43.97,1.74,0.032,0.412,8
0,1,1,306.943,27.186,0.085,0.196,40
0,1,1,164.126,15.272,0.085,0.209,33
3.12E-36,1,1,108.282,13.091,0.109,0.177,44
2.34E-08,1,1,20.688,1.42,0.052,0.304,12
0,1,1,237.52,13.257,0.042,0.324,30
8.71E-34,1,1,126.047,7.127,0.036,0.253,18
8.09E-16,1,1,50.959,1.302,0.025,0.27,16
0,1,1,143.27,10.75,0.068,0.272,30
0,1,1,146.502,16.572,0.109,0.161,52
1.36E-30,1,1,95.761,10.668,0.105,0.196,32
7.45E-10,1,1,26.045,4.283,0.159,0.332,11
2.03E-20,1,1,69.044,4.785,0.066,0.285,16
0,1,1,254.344,15.805,0.047,0.272,35
1.55E-23,1,1,80.486,3.481,0.036,0.293,20
3.75E-12,1,1,28.82,2.388,0.058,0.249,21
1.81E-24,1,1,82.475,6.242,0.06,0.347,20
1.82E-19,1,1,50.165,6.821,0.103,0.2,30
1.52E-19,1,1,57.842,4.587,0.077,0.232,24
7.19E-14,1,0,39.067,3.999,0.062,0.258,17
8.51E-18,1,1,58.715,2.851,0.048,0.258,16
1.14E-12,1,1,37.738,0,0,0.25,16
2.84E-10,1,1,28.616,3.503,0.091,0.33,11
3.79E-30,1,1,102.872,8.385,0.061,0.313,24
1.85E-08,1,1,25.497,2.784,0.078,0.431,6
1.37E-08,1,1,21.726,1.43,0.064,0.303,12
1.01E-13,1,0,36.64,6.138,0.149,0.262,17
2.93E-10,1,0,24.405,1.862,0.038,0.243,17
0,1,1,155.922,13.387,0.08,0.207,36
1.65E-09,1,1,26.969,1.232,0.04,0.33,11
7.25E-31,1,1,95.833,9.802,0.09,0.19,34
7.69E-25,1,1,80.655,6.107,0.066,0.251,24
1.82E-27,1,1,98.07,7.381,0.069,0.268,17
3.80E-10,1,1,24.568,4.386,0.152,0.278,14
2.17E-16,1,1,56.13,2.654,0.046,0.328,12
2.11E-34,1,1,135.073,6.085,0.036,0.386,12
8.71E-34,1,1,110.897,12.073,0.079,0.307,30
6.07E-12,1,1,32.401,4.848,0.109,0.276,14
6.47E-19,1,1,64.001,2.565,0.04,0.273,16
2.76E-16,1,1,40.769,5.158,0.096,0.205,26
6.84E-15,1,1,38.681,4.463,0.098,0.23,22
0,1,1,246.865,31.238,0.101,0.211,42
0,1,1,231.745,16.215,0.056,0.265,32
0,1,1,124.243,13.414,0.103,0.182,45
1.30E-38,1,1,128.851,12.504,0.073,0.207,34
9.41E-15,1,1,48.656,2.691,0.047,0.345,12
9.51E-24,1,1,70.008,6.307,0.085,0.193,30
3.05E-30,1,1,96.349,7.896,0.065,0.212,32
0,1,1,143.458,14.354,0.093,0.177,44
0,1,1,145.198,10.914,0.068,0.229,32
2.16E-31,1,1,101.076,8.528,0.079,0.195,32
0,1,1,143.818,10.99,0.06,0.249,29
4.66E-31,1,1,103.687,9.161,0.074,0.236,27
6.72E-16,1,1,49.583,3.505,0.07,0.255,16
3.89E-24,1,1,74.194,6.777,0.068,0.211,27
4.75E-25,1,1,75.828,8.767,0.094,0.211,28
1.64E-07,1,0,20.831,1.026,0.049,0.358,8
1.11E-13,1,1,37.205,6.379,0.125,0.274,16
1.12E-14,1,1,46.839,0.015,0,0.25,16
2.82E-25,1,1,78.612,8.905,0.087,0.217,26
1.62E-19,1,1,54.006,4.599,0.081,0.2,28
5.38E-14,1,0,35.705,5.411,0.119,0.245,20
4.81E-08,1,1,21.224,2.414,0.081,0.339,9
2.13E-24,1,1,83.989,4.005,0.04,0.287,20
0,1,1,174.529,7.664,0.029,0.401,16
4.60E-09,1,1,24.049,1.245,0.051,0.292,12
1.16E-12,1,1,34.506,2.785,0.067,0.277,17
2.24E-10,1,1,27.152,2.529,0.06,0.269,14
