Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0.321796,0.678204,0,37.234,0,0,1,1
0.404253,0.595747,0,34.128,0,0,1,1
0.728776,0.271224,0,27.29,3.788,0.123,0.688,3
0.485159,0.514841,0,42.537,5.406,0.12,0.74,2
0.716311,0.283689,0,30.558,3.806,0.091,0.855,2
0.849593,0.150407,0,25.381,3.48,0.135,0.714,2
0.819397,0.180603,0,24.15,3.863,0.148,0.61,3
0.0873578,0.912642,1,51.132,0,0,1,1
0.93713,0.06287,0,24.044,4.808,0.196,0.713,2
1.34E-05,0.999987,1,128.175,0,0,1,1
0.218627,0.781373,1,50.654,10.335,0.169,0.515,5
0.861405,0.138595,0,26.361,4.04,0.143,0.746,2
0.716065,0.283935,0,20.9,3.223,0.149,0.583,5
0.379733,0.620267,0,58.407,10.84,0.174,0.744,2
0.857146,0.142854,0,28.425,4.685,0.152,0.755,2
0.554021,0.445979,0,28.878,0,0,1,1
0.72594,0.27406,0,25.485,2.119,0.075,0.767,2
0.469887,0.530113,0,35.329,7.909,0.197,0.442,6
0.884039,0.115961,0,20.266,2.729,0.101,0.846,2
0.17585,0.82415,1,52.016,5.144,0.067,0.879,2
0.755497,0.244503,0,34.387,6.577,0.186,0.602,3
0.77191,0.22809,0,20.177,0,0,1,1
0.0645445,0.935455,1,53.974,0,0,1,1
0.633128,0.366872,0,26.024,0,0,1,1
0.139398,0.860601,1,46.565,0,0,1,1
0.644536,0.355464,1,30.98,2.942,0.094,0.716,2
0.205048,0.794952,1,43.467,4.195,0.079,0.606,3
0.00850888,0.991491,0,65.331,8.33,0.096,0.583,7
0.145102,0.854898,0,60.11,7.729,0.105,0.815,2
0.434335,0.565665,0,33.055,0,0,1,1
0.00474721,0.995253,1,77.17,0,0,1,1
0.304635,0.695365,0,48.084,5.416,0.107,0.741,2
0.70076,0.29924,0,43.837,8.383,0.179,0.743,2
0.308571,0.691429,0,37.766,0,0,1,1
0.819311,0.180689,0,30.898,4.932,0.15,0.744,2
0.576969,0.423031,0,28.067,0,0,1,1
0.651725,0.348275,0,25.321,0,0,1,1
0.752181,0.247819,0,21.122,0,0,1,1
0.000320619,0.999679,1,105.485,8.287,0.039,0.772,3
0.00922458,0.990775,1,101.311,16.963,0.151,0.764,2
0.264423,0.735577,1,36.93,4.417,0.075,0.608,4
0.636599,0.363401,0,25.894,0,0,1,1
0.692581,0.307419,0,34.619,7.321,0.187,0.604,4
0.694122,0.305878,0,40.129,8.081,0.194,0.631,3
0.224154,0.775846,1,41.541,0,0,1,1
0.165158,0.834842,1,44.829,0,0,1,1
0.77929,0.22071,0,30.763,4.3,0.136,0.723,2
0.168821,0.831179,1,52.19,4.829,0.081,0.785,2
0.707652,0.292348,1,20.313,1.414,0.044,0.887,3
0.00166962,0.99833,1,94.375,9.413,0.05,0.839,3
0.867853,0.132147,0,25.115,3.701,0.141,0.734,2
0.899197,0.100803,1,21.177,3.061,0.134,0.752,2
0.624131,0.375869,1,37.685,5.221,0.115,0.808,2
0.289468,0.710532,1,56.145,8.586,0.141,0.756,2
0.63577,0.36423,0,29.755,2.59,0.064,0.854,2
0.782475,0.217525,0,26.351,4.353,0.145,0.59,3
0.353146,0.646854,0,36.016,0,0,1,1
0.809704,0.190296,0,26.94,4.55,0.165,0.594,3
0.918234,0.0817664,0,22.034,3.688,0.159,0.737,2
0.0272048,0.972795,1,78.607,10.051,0.098,0.841,2
0.68965,0.31035,0,23.829,0,0,1,1
0.000352211,0.999648,1,106.561,8.38,0.041,0.916,3
0.67342,0.32658,1,22.072,0.631,0.005,0.994,2
0.804857,0.195143,0,20.864,1.676,0.073,0.767,2
0.019179,0.980821,1,64.921,0,0,1,1
0.240341,0.759659,0,51.651,6.26,0.087,0.861,2
0.373471,0.626529,0,35.253,0,0,1,1
0.829466,0.170534,0,33.903,7.564,0.212,0.589,3
0.20013,0.79987,1,42.79,0,0,1,1
0.867177,0.132823,0,20.831,3.307,0.154,0.617,3
0.903781,0.0962193,0,27.901,5.302,0.187,0.709,2
0.765852,0.234148,1,20.473,0,0,1,1
0.621296,0.378704,0,31.975,4.451,0.125,0.627,3
0.759286,0.240714,0,23.647,1.939,0.081,0.713,2
0.000299519,0.999701,1,101.198,0,0,1,1
0.060221,0.939779,1,56.394,2.839,0.027,0.928,2
0.175158,0.824842,1,44.214,0,0,1,1
0.850432,0.149568,1,26.104,3.747,0.137,0.736,2
0.731001,0.268999,0,22.082,0,0,1,1
0.750481,0.249519,0,21.201,0,0,1,1
0.0272486,0.972751,1,67.627,5.267,0.032,0.956,2
0.23499,0.76501,0,41.009,0,0,1,1
0.483833,0.516167,0,31.323,0,0,1,1
0.595377,0.404623,0,24.424,4.66,0.173,0.442,6
0.759072,0.240928,0,20.798,0,0,1,1
0.00138026,0.99862,1,92.727,11.027,0.078,0.779,5
0.365795,0.634205,0,35.539,0,0,1,1
0.674407,0.325593,0,32.291,3.806,0.096,0.817,2
0.0751117,0.924888,1,52.559,0,0,1,1
0.758819,0.241181,0,20.81,0,0,1,1
0.000604549,0.999395,1,95.098,0,0,1,1
0.0732662,0.926734,1,54.574,4.791,0.075,0.64,3
0.703934,0.296066,0,32.739,4.375,0.104,0.833,2
0.461443,0.538557,0,32.103,0,0,1,1
0.626683,0.373317,0,24.207,1.998,0.064,0.723,3
0.761837,0.238162,0,24.507,2.191,0.089,0.708,2
0.531071,0.468929,1,41.654,8.09,0.19,0.582,4
0.325451,0.674549,0,37.089,0,0,1,1
0.882485,0.117515,0,22.241,3.936,0.167,0.675,3
0.00264355,0.997356,1,82.271,0,0,1,1
0.602333,0.397667,1,33.523,6.044,0.159,0.57,4
0.651804,0.348196,0,25.318,0,0,1,1
0.638571,0.361429,1,42.373,7.184,0.147,0.788,2
0.784904,0.215096,0,23.869,3.337,0.133,0.596,3
0.0202425,0.979757,1,64.443,0,0,1,1
0.77078,0.22922,1,38.641,7.199,0.173,0.75,2
0.0618981,0.938102,1,54.362,0,0,1,1
0.517338,0.482662,1,30.159,0,0,1,1
0.0494813,0.950519,0,56.42,0,0,1,1
0.418492,0.581508,0,46.062,6.088,0.119,0.771,2
0.367158,0.632842,1,37.832,4.96,0.129,0.575,4
0.0967707,0.903229,1,54.799,6.053,0.071,0.775,3
0.759219,0.240781,1,28.2,3.296,0.104,0.777,2
0.879417,0.120583,0,25.49,4.22,0.139,0.802,2
0.825449,0.174551,0,21.712,4.208,0.173,0.512,4
0.482563,0.517437,1,31.053,1.461,0.037,0.83,2
0.00347956,0.99652,1,92.159,12.952,0.086,0.827,4
0.67089,0.32911,0,24.578,0,0,1,1
