Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0.632492,0.367508,0,46.376,10.94,0.21,0.091,184
0.847494,0.152506,0,29.941,6.603,0.196,0.116,159
0.656719,0.343281,0,25.909,4.096,0.138,0.131,140
0.91235,0.0876496,0,25.337,5.503,0.197,0.094,198
0.931826,0.0681742,0,20.51,4.229,0.189,0.102,180
0.773299,0.226701,0,34.284,7.526,0.195,0.11,166
0.902426,0.0975735,0,22.23,4.494,0.182,0.113,161
0.114188,0.885812,1,50.598,9.394,0.139,0.145,171
0.933193,0.0668066,0,35.485,9.249,0.24,0.082,231
0.784857,0.215143,0,24.435,4.373,0.158,0.127,131
0.757859,0.242141,1,26.862,4.98,0.168,0.117,136
0.00541508,0.994585,1,57.262,7.796,0.11,0.183,137
0.892866,0.107134,0,36.22,9.143,0.231,0.095,187
0.102147,0.897853,1,47.774,8.141,0.15,0.121,163
0.620203,0.379797,1,30.059,5.194,0.154,0.122,161
0.0145406,0.985459,1,46.249,5.545,0.098,0.182,76
0.00137716,0.998623,1,81.544,14.763,0.146,0.157,148
0.277905,0.722095,1,73.034,18.578,0.226,0.088,221
0.25411,0.74589,1,64.879,15.501,0.22,0.096,196
0.656401,0.343599,0,47.231,11.265,0.22,0.084,196
0.751163,0.248837,0,40.258,9.557,0.217,0.093,155
0.858567,0.141433,0,39.503,9.779,0.221,0.088,223
0.819437,0.180563,0,29.746,6.272,0.186,0.103,168
0.923971,0.0760293,0,25.385,6.085,0.213,0.116,126
0.737501,0.262499,0,22.805,3.638,0.149,0.138,101
0.945188,0.0548116,0,22.579,5.451,0.218,0.116,130
7.36E-07,0.999999,1,103.787,12.356,0.092,0.187,212
0.000188705,0.999811,1,101.09,19.071,0.161,0.161,172
0.158709,0.841291,1,37.415,5.518,0.113,0.198,102
0.796635,0.203365,0,26.05,4.982,0.168,0.11,139
0.883196,0.116804,0,21.712,4.264,0.171,0.119,135
0.844432,0.155568,0,33.506,7.639,0.199,0.109,199
0.623297,0.376703,0,54.953,13.932,0.237,0.104,183
0.879787,0.120213,0,21.139,4.075,0.166,0.117,130
0.463487,0.536513,1,42.307,8.565,0.18,0.114,189
0.934432,0.0655678,0,21.554,5.01,0.21,0.124,105
0.13549,0.86451,1,48.726,8.944,0.159,0.115,157
0.660441,0.339559,0,32.573,6.401,0.176,0.115,138
0.0180413,0.981959,1,53.621,7.991,0.128,0.146,148
3.32E-06,0.999997,1,95.196,11.805,0.092,0.219,124
0.959659,0.0403409,0,35.025,9.687,0.256,0.091,233
0.781076,0.218924,1,23.056,3.931,0.156,0.178,106
0.382994,0.617006,1,37.656,6.788,0.156,0.123,146
0.187107,0.812893,1,51.535,10.246,0.169,0.121,191
0.902183,0.097817,0,28.244,6.474,0.206,0.092,183
0.901781,0.0982189,0,26.383,5.995,0.207,0.114,143
0.21914,0.78086,1,38.865,6.214,0.142,0.15,141
0.924275,0.0757253,0,20.048,4.254,0.183,0.122,130
0.787179,0.212821,0,35.065,7.654,0.194,0.103,210
0.768043,0.231957,0,28.089,5.423,0.175,0.119,143
0.8404,0.1596,0,22.269,4.196,0.165,0.139,103
0.818878,0.181122,1,30.633,6.39,0.185,0.109,199
0.937942,0.0620584,0,27.434,6.65,0.225,0.102,192
0.914845,0.085155,0,24.625,5.528,0.197,0.102,160
0.596543,0.403457,0,20.691,2.369,0.099,0.172,84
0.00250754,0.997492,1,75.257,13.138,0.144,0.139,167
0.63419,0.36581,0,25.29,4.005,0.135,0.15,98
2.63E-08,1,1,115.79,12.696,0.084,0.236,131
0.0858026,0.914197,1,47.911,7.937,0.147,0.133,161
0.516412,0.483588,0,29.832,4.767,0.131,0.146,143
0.0272213,0.972779,1,65.858,12.575,0.168,0.123,207
0.903012,0.0969881,0,48.424,13.476,0.254,0.083,233
0.891917,0.108082,0,31.323,7.303,0.214,0.091,201
0.760592,0.239408,0,31.201,6.372,0.179,0.101,168
0.47991,0.52009,1,40.187,7.908,0.172,0.118,189
