Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
2.34E-35,1,1,370.028,51.613,0.092,0.562,11
0.997103,0.00289734,0,21.029,3.414,0.156,0.731,2
0.0254331,0.974567,0,63.279,10.274,0.154,0.685,3
5.89E-05,0.999941,1,54.675,0.974,0.016,0.771,2
0.857939,0.142061,0,24.078,1.071,0.042,0.751,2
0.975128,0.0248717,0,23.653,3.232,0.11,0.571,6
3.38E-23,1,1,240.812,29.906,0.075,0.654,11
0.833674,0.166326,0,31.699,3.556,0.111,0.715,2
0.936989,0.0630114,0,29.434,3.509,0.062,0.842,3
0.910734,0.0892657,0,22.378,0,0,1,1
0.981417,0.0185829,0,24.444,3.661,0.116,0.614,3
1.30E-09,1,1,93.165,4.362,0.026,0.829,4
0.988788,0.0112115,0,24.714,4.663,0.175,0.444,7
0.986311,0.0136892,0,20.791,1.472,0.033,0.945,2
0.0336097,0.96639,1,46.744,4.486,0.095,0.682,3
3.57E-11,1,1,121.562,12.642,0.079,0.589,4
0.989448,0.010552,0,22.595,2.424,0.064,0.904,3
0.941526,0.0584745,1,21.149,0,0,1,1
0.000126636,0.999873,1,72.029,8.751,0.089,0.642,4
0.97038,0.0296197,0,35.059,7.237,0.194,0.511,6
1.16E-16,1,1,162.866,15.347,0.059,0.622,11
0.000406764,0.999593,1,51.256,1.797,0.034,0.723,2
0.970015,0.0299849,0,26.975,3.831,0.12,0.659,5
0.987145,0.012855,0,25.108,4.192,0.157,0.575,4
5.54E-06,0.999994,1,61.233,0,0,1,1
0,1,1,367.756,22.42,0.023,0.685,5
2.36E-18,1,1,199.319,25.91,0.094,0.534,8
3.47E-12,1,1,134.885,14.309,0.091,0.796,2
0.949178,0.0508216,0,30.44,4.662,0.11,0.674,3
0.37464,0.62536,1,36.815,3.843,0.082,0.648,4
0.185194,0.814806,1,34.159,1.3,0.031,0.818,2
5.08E-34,1,1,253.533,8.163,0.026,0.789,3
0.153493,0.846507,1,42.697,4.759,0.104,0.647,3
2.43E-17,1,1,163.678,14.026,0.05,0.647,7
0.217214,0.782786,1,38.983,3.468,0.059,0.765,3
0.418097,0.581903,1,36.569,3.218,0.055,0.83,3
0.998883,0.00111667,0,20.236,4.218,0.195,0.638,6
0.990886,0.00911374,0,24.941,4.571,0.174,0.536,4
0.998862,0.00113822,0,22.256,5.412,0.237,0.506,4
0.955478,0.0445217,0,23.956,1.509,0.032,0.932,2
0.00017556,0.999824,1,52.015,1.898,0.032,0.588,3
9.96E-06,0.99999,1,84.677,10.052,0.082,0.848,3
0.996732,0.00326851,0,22.561,4.049,0.17,0.672,4
0.969637,0.0303631,0,25.781,4.009,0.147,0.492,5
0.944976,0.0550243,0,37.61,7.585,0.191,0.519,4
0.989363,0.0106366,0,25.306,3.54,0.109,0.833,2
4.46E-06,0.999996,1,93.737,13.726,0.122,0.61,3
2.84E-21,1,1,163.125,4.087,0.025,0.709,3
7.90E-11,1,1,139.875,19.939,0.132,0.668,4
0.0107754,0.989225,1,65.567,11.361,0.165,0.443,6
0.611252,0.388748,0,45.506,8.68,0.177,0.432,6
0.998158,0.00184195,0,20.334,3.613,0.164,0.717,3
0.99623,0.00376976,0,20.726,2.988,0.127,0.778,2
0.995716,0.00428422,0,22.247,3.417,0.131,0.775,3
0.945012,0.0549876,0,21.499,1.307,0.047,0.708,4
2.46E-10,1,1,99.713,5.521,0.034,0.753,4
0.983534,0.0164663,0,21.796,2.169,0.09,0.766,2
2.43E-33,1,1,262.497,12.769,0.028,0.91,2
0.944838,0.0551621,0,33.868,6.638,0.165,0.445,6
0.85981,0.14019,0,37.256,6.375,0.161,0.557,4
0.992627,0.00737326,0,24.662,4.433,0.161,0.604,4
0.424622,0.575378,0,31.096,1.613,0.049,0.74,2
6.34E-12,1,1,98.14,0,0,1,2
0.0792927,0.920707,1,40.924,2.241,0.018,0.968,3
3.52E-08,1,1,94.001,8.176,0.059,0.76,11
0.350723,0.649277,1,52.481,9.515,0.154,0.63,3
0.985546,0.0144535,0,31.22,6.305,0.187,0.558,6
7.97E-08,1,1,84.598,6.112,0.044,0.664,3
0.992007,0.00799321,0,25.86,5.19,0.181,0.487,8
0.66171,0.33829,1,36.868,4.834,0.083,0.703,4
0.977385,0.0226147,0,26.323,3.501,0.106,0.761,3
0.990614,0.0093862,0,23.868,4.385,0.159,0.506,4
0.848351,0.151649,0,24.053,0,0,1,2
0.946261,0.0537387,0,20.908,0,0,1,1
9.79E-16,1,1,136.615,7.26,0.022,0.688,6
0.00201483,0.997985,0,58.04,6.192,0.099,0.621,4
0.967766,0.0322339,0,26.138,2.877,0.075,0.833,4
0.98408,0.0159198,1,22.737,2.436,0.093,0.789,2
0.986089,0.0139114,0,20.708,1.988,0.083,0.759,3
0.00862731,0.991373,0,63.431,10.534,0.118,0.462,6
0.09649,0.90351,0,50.379,6.138,0.074,0.898,4
0.985235,0.0147649,0,28.465,5.213,0.176,0.578,4
0.892219,0.107781,0,22.941,0,0,1,1
0.952956,0.0470435,0,26.636,3.184,0.109,0.686,3
4.92E-21,1,1,236.117,33.665,0.121,0.547,7
0.981096,0.0189041,0,29.659,6.214,0.171,0.373,18
0.06876,0.93124,0,32.917,0.325,0.01,0.711,2
0.547778,0.452222,1,42.332,6.508,0.145,0.613,3
0.933556,0.0664444,0,23.711,1.718,0.07,0.731,2
0.934659,0.0653408,0,26.704,2.027,0.029,0.963,2
0.996563,0.0034365,0,20.061,3.139,0.135,0.693,5
1.14E-09,1,1,106.297,9.948,0.069,0.669,4
0.0685548,0.931445,0,41.371,2.963,0.065,0.767,2
0.976525,0.0234745,1,32.819,6.744,0.192,0.487,6
0.461299,0.538701,0,30.866,0.946,0.016,0.929,2
0.00010789,0.999892,1,105.649,22.149,0.194,0.432,7
0.000385567,0.999614,1,59.625,3.868,0.022,0.969,2
0.997558,0.00244194,0,20.16,3.228,0.151,0.743,2
5.46E-11,1,1,112.003,8.19,0.043,0.85,5
0.964836,0.0351644,1,24.631,2.252,0.06,0.846,3
1.48E-08,1,1,126.266,20.719,0.129,0.552,6
0.819311,0.180689,0,29.863,3.377,0.111,0.585,3
0.196121,0.803879,1,44.745,5.763,0.096,0.67,6
0.0302165,0.969783,1,49.88,5.763,0.073,0.677,5
0.99069,0.00931012,0,26.166,4.695,0.149,0.629,6
0.832729,0.167271,0,39.038,6.949,0.16,0.537,5
0.985288,0.0147124,0,21.22,3.004,0.135,0.507,5
0.859918,0.140082,0,32.33,4.611,0.105,0.607,3
0.448952,0.551048,0,29.765,0.479,0.008,0.932,3
0.166649,0.833351,0,65.421,14.045,0.197,0.441,12
0.992628,0.00737203,0,31.496,7.713,0.232,0.357,12
0.988322,0.0116783,0,25.955,4.721,0.145,0.567,6
0.943082,0.0569184,0,21.5,1.323,0.046,0.699,4
0.975291,0.0247086,0,30.133,4.636,0.115,0.78,8
0.132835,0.867165,0,38.809,2.878,0.055,0.749,3
0.324888,0.675112,0,45.744,6.999,0.135,0.604,3
0.966033,0.0339672,0,31.736,5.071,0.127,0.751,4
0.708596,0.291404,0,49.048,10.236,0.174,0.484,9
7.08E-28,1,1,197.019,0,0,1,1
0.963099,0.0369012,0,38.901,8.795,0.213,0.426,7
0.989864,0.0101359,0,21.357,3.453,0.141,0.487,8
0.99917,0.000829813,0,20.03,4.902,0.194,0.558,5
0.639449,0.360551,1,35.138,4.389,0.083,0.641,3
0.846458,0.153542,0,24.036,0,0,1,1
7.99E-09,1,1,104.596,11.492,0.073,0.623,7
1.89E-11,1,1,136.966,17.312,0.089,0.725,3
0.652787,0.347213,0,37.321,5.352,0.114,0.589,3
0.973079,0.0269214,0,22.492,2.541,0.11,0.607,4
0.953456,0.0465443,0,21.092,0.837,0.031,0.835,2
1.64E-08,1,1,104.366,10.906,0.054,0.91,3
0.14361,0.856391,1,45.266,6.216,0.127,0.505,5
0.976736,0.0232641,0,29.503,4.657,0.139,0.727,3
0.918237,0.0817627,0,28.551,3.735,0.125,0.569,6
0.0891505,0.910849,0,67.821,14.074,0.182,0.515,7
0.037777,0.962223,0,55.054,7.96,0.137,0.603,5
0.992741,0.00725926,0,26.88,5.82,0.205,0.42,10
0.993056,0.00694441,0,23.322,3.466,0.14,0.739,2
0.783107,0.216893,1,30.802,3.105,0.067,0.722,4
0.988913,0.0110872,0,22.052,3.036,0.135,0.627,4
0.958112,0.0418883,0,21.398,1.889,0.085,0.596,3
0.56676,0.43324,0,26.52,0.392,0.013,0.796,2
0.0476541,0.952346,1,48.213,5.779,0.083,0.621,7
0.980702,0.0192984,0,24.367,3.18,0.121,0.685,3
7.38E-15,1,1,162.109,18.896,0.1,0.705,4
0.318965,0.681035,1,39.975,4.497,0.103,0.686,3
0.000118783,0.999881,1,74.686,8.834,0.085,0.825,3
4.07E-21,1,1,155.095,0,0,1,1
4.24E-09,1,1,111.529,13.68,0.072,0.573,14
0.995079,0.00492114,0,20.116,2.583,0.115,0.772,2
