Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0.462823,0.537177,0,40.423,6.805,0.151,0.333,16
0.997082,0.00291835,0,37.186,9.948,0.243,0.283,22
0.694265,0.305735,0,35.836,6.207,0.137,0.437,15
0.338554,0.661446,0,35.541,5.488,0.12,0.594,9
0.996437,0.00356333,0,31.949,7.931,0.218,0.293,23
0.971672,0.0283283,0,28.579,5.882,0.187,0.389,16
0.943881,0.0561186,0,24.92,4.966,0.182,0.416,9
0.943065,0.0569349,0,24.251,4.352,0.158,0.345,13
0.931404,0.0685959,0,23.346,3.895,0.148,0.355,13
0.975193,0.0248074,0,22.831,4.703,0.192,0.408,11
0.944698,0.055302,0,21.201,3.739,0.158,0.365,10
0,1,1,459.32,23.164,0.02,0.847,16
0.915776,0.0842236,0,43.068,9.014,0.189,0.321,22
0.642671,0.357329,0,42.159,7.28,0.136,0.342,22
0.957862,0.0421378,0,33.89,7.27,0.187,0.319,17
0.970978,0.0290221,0,28.926,6.292,0.2,0.315,14
0.95568,0.0443205,0,28.416,5.866,0.187,0.477,12
0.982303,0.0176974,0,27.987,5.927,0.19,0.301,18
0.997236,0.00276418,0,27.859,7.207,0.24,0.309,19
0.983455,0.0165449,0,27.836,5.93,0.203,0.373,17
0.951487,0.0485126,0,24.029,4.445,0.153,0.354,13
0.98915,0.0108502,0,23.35,4.925,0.197,0.398,16
0.919501,0.080499,0,39.771,8.604,0.204,0.294,17
0.996237,0.00376259,0,31.238,8.313,0.249,0.32,17
0.926685,0.0733152,0,30.381,6.096,0.187,0.321,13
0.980872,0.0191279,0,30.263,6.489,0.187,0.316,19
0.953271,0.0467288,0,29.987,6.178,0.176,0.313,15
0.91325,0.0867505,0,29.182,4.982,0.143,0.347,18
0.979493,0.0205072,0,28.329,5.866,0.188,0.342,18
0.963482,0.0365176,0,27.634,5.95,0.193,0.316,12
0.988566,0.0114337,0,26.687,5.968,0.205,0.293,17
0.961081,0.0389187,0,26.61,4.737,0.147,0.333,19
0.991323,0.00867718,0,26.512,6.232,0.217,0.307,16
