Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0.994922,0.00507829,0,23.885,4.364,0.171,0.526,6
0.0390588,0.960941,1,46.744,4.486,0.095,0.682,3
5.36E-11,1,1,120.215,12.502,0.079,0.589,4
0.993521,0.0064795,0,21.327,2.288,0.064,0.904,3
0.940546,0.0594536,1,21.149,0,0,1,1
0.00014716,0.999853,1,72.029,8.751,0.089,0.642,4
0.994729,0.00527052,0,22.89,4.236,0.145,0.532,4
0.988417,0.0115833,0,32.177,6.642,0.194,0.511,6
0.991584,0.00841611,0,21.858,3.424,0.132,0.525,5
2.37E-15,1,1,152.7,14.389,0.059,0.622,11
0.997544,0.00245605,0,20.059,2.928,0.127,0.783,2
0.000411799,0.999588,1,51.256,1.797,0.034,0.723,2
0.989541,0.0104593,0,23.747,3.368,0.12,0.638,7
0.985606,0.014394,0,27.166,4.535,0.157,0.575,4
1.37E-05,0.999986,1,61.411,1.116,0.002,0.997,2
0,1,1,363.38,22.153,0.023,0.685,5
1.25E-17,1,1,192.994,25.088,0.094,0.534,8
5.10E-12,1,1,137.97,15.916,0.099,0.778,4
0.990906,0.00909363,0,20.989,3.125,0.138,0.457,8
0.988119,0.0118806,0,24.911,3.815,0.11,0.674,3
0.422474,0.577526,1,36.815,3.843,0.082,0.648,4
0.191884,0.808116,1,34.159,1.3,0.031,0.818,2
0.996808,0.00319176,0,27.551,6.305,0.218,0.445,6
1.46E-33,1,1,262.833,13.564,0.03,0.762,4
0.0114505,0.98855,1,52.523,5.92,0.106,0.558,4
1.98E-15,1,1,154.992,15.242,0.053,0.637,8
0.238074,0.761926,1,38.983,3.468,0.059,0.765,3
0.0684151,0.931585,1,44.538,4.336,0.059,0.693,6
0.994705,0.00529456,0,24.011,4.401,0.174,0.536,4
0.933794,0.0662056,0,26.271,2.206,0.065,0.806,3
0.000185723,0.999814,1,52.015,1.898,0.032,0.588,3
1.13E-05,0.999989,1,90.395,12.473,0.115,0.763,4
0.998918,0.00108195,0,20.269,4.081,0.189,0.603,5
0.987458,0.0125421,0,23.38,3.635,0.147,0.492,5
0.98577,0.0142301,1,39.096,9.123,0.216,0.491,5
1.01E-18,1,1,158.511,8.316,0.029,0.781,4
0.833965,0.166035,0,34.35,3.949,0.068,0.873,3
0.962009,0.0379908,0,37.524,7.568,0.191,0.519,4
0.99457,0.00542966,0,23.24,3.251,0.109,0.833,2
5.15E-06,0.999995,1,93.737,13.726,0.122,0.61,3
3.19E-21,1,1,161.848,4.055,0.025,0.709,2
1.67E-10,1,1,137.16,19.552,0.132,0.668,4
0.016253,0.983747,1,65.326,11.319,0.165,0.443,6
0.915044,0.0849565,0,42.09,8.847,0.193,0.398,8
0.997943,0.00205714,0,25.787,5.725,0.21,0.485,10
0.997901,0.00209858,0,20.203,3.103,0.131,0.775,3
0.994741,0.00525922,0,20.498,3.1,0.12,0.592,6
2.36E-10,1,1,99.713,5.521,0.034,0.753,4
0.972655,0.0273447,0,29.442,4.612,0.15,0.624,3
2.35E-33,1,1,262.137,13.128,0.029,0.907,3
0.962879,0.0371205,0,33.868,6.638,0.165,0.445,6
0.898754,0.101246,0,39.158,7.153,0.172,0.532,5
0.9971,0.00290043,0,21.716,3.903,0.161,0.604,4
0.718145,0.281855,0,27.551,1.429,0.049,0.74,2
5.79E-12,1,1,97.657,0,0,1,1
0.149156,0.850844,1,38.812,2.126,0.018,0.968,3
1.22E-07,1,1,90.215,7.847,0.059,0.76,9
0.307548,0.692452,1,54.155,9.754,0.152,0.611,4
0.0195443,0.980456,0,40.945,1.811,0.044,0.707,2
0.996877,0.00312262,0,25.147,5.079,0.187,0.558,6
9.19E-08,1,1,84.141,6.079,0.044,0.664,3
0.99153,0.00847006,0,26.501,5.121,0.175,0.434,9
0.705661,0.294339,1,36.868,4.834,0.083,0.703,4
0.9899,0.0100997,0,23.876,3.176,0.106,0.761,3
0.995652,0.00434766,0,21.741,3.994,0.159,0.506,4
0.842149,0.157851,0,24.053,0,0,1,1
1.51E-15,1,1,135.029,7.176,0.022,0.688,6
0.00241366,0.997586,0,58.04,6.192,0.099,0.621,4
0.988092,0.0119079,0,23.081,2.54,0.075,0.833,4
0.993605,0.00639501,0,21.267,3.264,0.139,0.567,4
0.0117225,0.988277,0,63.431,10.534,0.118,0.462,6
0.173843,0.826156,0,48.303,5.885,0.074,0.898,4
0.699075,0.300925,0,42.034,7.068,0.159,0.516,5
0.950822,0.0491777,0,20.613,0,0,1,1
0.981501,0.0184992,0,23.79,2.844,0.109,0.686,3
0.991098,0.00890228,0,24.414,4.383,0.159,0.423,10
4.72E-20,1,1,229.922,33.531,0.123,0.539,8
0.991847,0.00815313,0,32.426,7.231,0.187,0.35,20
0.609707,0.390293,1,42.328,6.507,0.145,0.613,3
0.996308,0.00369154,0,20.264,3.684,0.158,0.434,9
0.971176,0.0288244,0,21.288,1.542,0.07,0.731,2
0.956984,0.0430161,0,25.42,1.93,0.029,0.963,2
1.69E-08,1,1,104.923,12.171,0.08,0.638,6
0.438962,0.561038,0,43.816,6.454,0.098,0.677,3
0.984227,0.0157726,1,33.03,6.787,0.192,0.487,6
0.997887,0.00211308,0,20.175,3.924,0.174,0.512,5
0.891165,0.108835,1,28.675,3.051,0.09,0.648,5
0.769499,0.230501,0,29.498,1.846,0.04,0.872,3
0.0010588,0.998941,1,95.157,19.947,0.193,0.428,8
0.97231,0.0276903,1,22.364,1.827,0.075,0.759,2
