Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0.980704,0.0192962,0,33.294,7.144,0.197,0.265,22
0.982021,0.0179793,0,31.981,7.054,0.205,0.336,19
0.970695,0.0293049,0,27.12,5.65,0.188,0.292,15
0.991099,0.00890069,0,26.439,6.086,0.206,0.305,16
0.998547,0.00145285,0,32.5,9.155,0.257,0.285,18
0.999168,0.000832028,0,24.608,6.489,0.243,0.297,20
0.943471,0.0565291,0,20.482,3.288,0.141,0.385,12
0.977124,0.022876,0,34.035,7.48,0.208,0.304,20
0.997281,0.00271911,1,28.119,6.686,0.216,0.283,22
0.978682,0.0213183,0,27.993,5.629,0.179,0.315,19
0.989938,0.0100619,0,24.066,4.809,0.184,0.287,19
0.992168,0.0078316,0,23.073,5.125,0.21,0.412,14
0.995753,0.00424737,0,22.662,5.251,0.217,0.3,16
3.06E-14,1,0,133.544,16.82,0.075,0.617,20
0.991034,0.00896595,0,40.667,9.948,0.228,0.27,24
0.94003,0.0599703,0,28.563,5.836,0.188,0.342,13
0.970599,0.0294009,0,21.335,4.146,0.181,0.458,10
1.02E-12,1,1,135.188,19.085,0.113,0.442,27
0.996186,0.00381356,0,27.492,6.659,0.228,0.354,18
0.999609,0.0003911,0,32.593,8.647,0.238,0.274,29
0.98357,0.0164295,0,30.524,7.154,0.22,0.316,15
0.998397,0.0016034,0,23.903,5.541,0.221,0.29,22
0.994218,0.00578172,0,39.062,9.333,0.214,0.262,27
0.978124,0.0218758,0,36.647,8.101,0.192,0.287,23
0.958077,0.041923,0,31.973,6.672,0.185,0.297,18
0.98011,0.0198901,0,30.634,7.359,0.228,0.398,12
0.834408,0.165592,0,28.619,5.198,0.153,0.425,12
0.943351,0.0566489,0,27.752,4.836,0.166,0.305,19
0.996495,0.00350545,0,22.645,5.084,0.208,0.342,18
0.998577,0.001423,0,21.75,5.176,0.205,0.336,20
0.737959,0.262042,1,37.361,6.841,0.154,0.305,20
0.934823,0.0651774,0,32.462,5.991,0.162,0.302,22
0.993137,0.00686344,0,31.525,7.375,0.208,0.293,21
0.986399,0.0136014,0,28.817,6.626,0.206,0.295,16
0.999053,0.000947302,0,24.033,6.723,0.254,0.304,16
0.992555,0.00744484,0,22.208,5.146,0.207,0.304,13
0.997416,0.00258378,0,20.689,4.69,0.204,0.294,18
0,1,1,549.698,26.417,0.01,0.948,15
3.70E-31,1,1,228.495,19.973,0.057,0.661,28
0.989268,0.0107323,0,38.32,9.449,0.221,0.267,21
0.998825,0.00117495,0,33.233,8.853,0.254,0.279,23
0.96869,0.0313097,0,27.484,5.998,0.189,0.314,13
0.995366,0.00463452,0,27.234,6.258,0.211,0.301,20
0.933288,0.0667117,0,25.137,4.639,0.168,0.315,13
0.99495,0.00505011,0,22.33,5.528,0.235,0.414,11
0.990724,0.00927618,0,21.269,4.777,0.202,0.332,12
0.979652,0.0203478,0,20.492,3.509,0.147,0.358,16
0.980042,0.0199578,0,41.757,9.754,0.22,0.271,24
0.992603,0.00739717,0,31.565,7.354,0.206,0.282,21
0.971641,0.0283587,0,28.285,6.056,0.193,0.431,14
0.996649,0.00335111,0,23.916,5.511,0.209,0.393,18
0.96692,0.0330803,0,20.53,3.816,0.164,0.354,11
0.994488,0.00551243,0,22.445,5.235,0.219,0.323,14
0.997074,0.00292599,0,21.38,4.677,0.2,0.323,19
0.9885,0.0115004,0,24.883,5.26,0.189,0.301,17
0.933887,0.0661127,0,21.209,2.337,0.084,0.509,20
0.997129,0.00287108,0,43.651,10.492,0.224,0.21,34
0.976215,0.0237847,0,22.818,4.128,0.164,0.373,16
0.894518,0.105482,0,36.786,7.234,0.17,0.323,21
0.995148,0.00485228,0,34.709,7.881,0.213,0.281,27
0.988164,0.0118364,1,34.117,7.4,0.203,0.343,24
0.999014,0.000986271,0,30.914,8.167,0.245,0.301,23
0.998528,0.00147152,0,23.904,6.015,0.232,0.283,19
0.982405,0.0175953,0,20.529,3.655,0.153,0.319,16
0.992992,0.00700759,0,20.433,4.333,0.183,0.33,15
0.857678,0.142322,0,48.888,10.712,0.185,0.283,25
0.365235,0.634765,0,35.215,5.749,0.139,0.363,14
0.997679,0.0023211,0,27.242,6.57,0.225,0.308,21
0.987963,0.0120375,0,20.094,4.085,0.178,0.355,13
2.01E-30,1,0,239.701,25.386,0.082,0.378,29
0.98055,0.0194502,0,31.446,6.974,0.199,0.339,18
0.995958,0.00404202,0,28.779,6.306,0.184,0.292,25
0.849735,0.150265,0,27.193,4.624,0.141,0.345,14
0.984973,0.0150275,0,25.849,5.445,0.199,0.35,16
0.99898,0.00102025,0,25.099,6.771,0.25,0.302,18
0.998966,0.00103367,0,24.692,6.286,0.225,0.297,21
2.19E-34,1,1,230.856,17.25,0.029,0.87,13
0.938726,0.0612738,0,34.77,6.951,0.173,0.32,21
0.999427,0.000572978,0,33.502,8.692,0.237,0.269,29
0.989784,0.0102156,0,30.439,7.139,0.207,0.286,18
0.996482,0.00351771,0,21.228,4.811,0.195,0.317,17
0.99416,0.0058402,0,20.167,3.758,0.159,0.314,20
0.997289,0.00271106,0,32.709,7.676,0.199,0.279,27
0.979522,0.0204782,0,27.913,5.776,0.188,0.285,18
0.999871,0.000128927,0,27.085,7.653,0.268,0.292,27
0.994914,0.00508628,0,22.964,5.298,0.204,0.286,16
0.985818,0.0141815,0,22.756,4.858,0.184,0.381,13
0.986955,0.0130445,0,21.253,4.025,0.164,0.38,16
0.99102,0.00898047,0,20.958,4.248,0.164,0.347,16
0.993985,0.00601518,0,20.538,4.418,0.198,0.331,15
0.981778,0.0182222,0,20.153,3.371,0.139,0.349,17
0.983792,0.0162083,0,26.678,5.121,0.173,0.295,21
0.998142,0.00185829,0,26.146,6.739,0.242,0.29,18
0.979348,0.0206523,0,25.684,5.818,0.199,0.408,11
0.999381,0.000619138,0,22.276,5.709,0.246,0.299,21
0,1,1,265.595,20.703,0.04,0.652,18
0.921876,0.0781242,0,35.311,7.122,0.18,0.271,20
0.963958,0.0360417,0,26.899,5.428,0.182,0.297,15
0.956613,0.0433867,0,26.356,5.141,0.185,0.363,14
0.989271,0.0107294,0,24.092,5.242,0.193,0.358,15
0.991973,0.00802729,0,20.331,4.034,0.184,0.332,16
0.994928,0.00507213,0,35.516,8.568,0.223,0.259,24
0.968738,0.0312621,0,29.998,6.689,0.187,0.377,14
0.975119,0.0248814,0,23.823,3.978,0.149,0.328,20
0.997651,0.002349,0,22.303,5.654,0.228,0.319,15
0.982539,0.0174613,0,22.093,4.045,0.163,0.305,17
0.995499,0.00450084,0,24.682,5.943,0.218,0.289,16
0.957203,0.0427966,0,22.973,4.516,0.154,0.372,11
2.97E-14,1,1,189.8,34.514,0.151,0.331,37
0.990216,0.0097837,0,39.789,9.603,0.225,0.249,24
0.925902,0.0740978,0,37.529,7.623,0.186,0.283,22
0.987282,0.0127182,0,24.293,5.459,0.211,0.308,13
0.970879,0.0291209,0,22.754,4.048,0.153,0.33,16
0.983192,0.0168082,0,20.098,3.944,0.177,0.386,12
0.993627,0.00637277,0,32.739,7.065,0.191,0.279,27
0.902315,0.0976848,0,28.699,5.331,0.156,0.339,15
0.886556,0.113444,0,22.858,3.848,0.127,0.451,10
0.997959,0.00204139,0,44.958,12.356,0.256,0.27,25
0.980825,0.0191749,0,42.981,9.553,0.206,0.261,29
0.986699,0.0133012,0,30.237,7.025,0.195,0.321,17
0.965224,0.0347763,0,24.86,4.726,0.165,0.359,15
0.895654,0.104346,0,24.418,4.177,0.148,0.374,12
0.999302,0.000697811,0,23.407,5.964,0.234,0.271,22
0.656147,0.343853,0,46.572,9.215,0.168,0.29,24
0.980479,0.0195207,0,39.823,9.048,0.199,0.249,25
0.960528,0.0394722,0,36.274,7.793,0.195,0.281,21
0.996879,0.00312058,0,25.482,5.925,0.217,0.283,20
0.996555,0.00344513,0,24.219,5.273,0.199,0.328,21
0.986834,0.0131658,0,20.549,4.045,0.179,0.338,14
0,1,1,434.84,31.026,0.044,0.662,22
2.11E-06,0.999998,1,81.787,11.868,0.114,0.467,21
0.965176,0.034824,0,32.748,7.345,0.196,0.3,16
0.989866,0.0101335,0,23.621,5.107,0.201,0.335,15
0.961219,0.0387813,0,23.182,4.174,0.16,0.387,14
0.996061,0.0039391,0,23.167,5.209,0.21,0.312,18
0.989033,0.0109667,0,21.843,4.391,0.175,0.322,16
0.449322,0.550678,1,76.776,18.465,0.217,0.296,29
0.996683,0.00331657,0,38.895,9.617,0.227,0.282,27
0.85414,0.14586,0,34.795,6.76,0.16,0.297,18
0.987813,0.0121865,0,26.232,5.591,0.183,0.291,18
0.997088,0.00291196,0,22.182,5.309,0.226,0.315,16
0.944203,0.0557975,0,40.583,8.825,0.189,0.256,23
0.633296,0.366704,0,39.125,7.53,0.175,0.367,16
0.998758,0.00124174,0,27.2,6.493,0.217,0.291,25
0.995282,0.00471828,0,26.124,6.153,0.213,0.286,18
0.811489,0.188511,0,42.737,8.561,0.179,0.286,23
0.995664,0.00433619,0,42.024,10.164,0.222,0.238,30
0.873484,0.126516,0,40.087,8.252,0.18,0.296,21
0.968689,0.0313111,0,37.456,8.171,0.206,0.307,22
0.998149,0.0018515,0,29.471,7.668,0.236,0.29,20
0.856839,0.143161,0,28.999,4.975,0.14,0.385,16
0.995926,0.00407402,0,21.236,4.816,0.21,0.288,16
0.971319,0.0286806,0,20.729,4.049,0.18,0.377,10
0.968586,0.0314138,0,25.7,5.109,0.177,0.313,15
0.998709,0.00129071,0,20.581,4.902,0.222,0.335,19
0.61889,0.38111,0,46.73,9.558,0.178,0.285,21
