Likelihood that Jet is Background,Likelihood that Jet is Signal,background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0,1,0,247.778,11.665,0.021,0.664,18
1.82E-30,1,0,208.437,19.033,0.045,0.66,40
0.531442,0.468558,0,44.841,8.428,0.159,0.189,46
0.850433,0.149567,0,31.742,5.201,0.141,0.289,21
0.998619,0.00138105,0,25.687,5.678,0.204,0.316,28
0.994862,0.00513757,0,24.142,4.382,0.142,0.348,46
0.999588,0.000412453,0,22.387,5.502,0.215,0.274,21
0,1,1,494.895,57.233,0.075,0.33,124
0.992423,0.00757651,0,37.353,8.485,0.205,0.204,55
0.983323,0.016677,0,34.99,7.022,0.184,0.329,47
0.998725,0.00127463,0,32.172,7.862,0.217,0.185,57
0.99757,0.00242964,0,29.843,6.844,0.204,0.204,46
0.996599,0.00340066,0,29.552,6.42,0.192,0.304,34
0.995747,0.00425331,0,28.082,5.96,0.188,0.252,37
0.999743,0.000257288,0,27.13,7.067,0.24,0.201,53
0.998838,0.00116154,0,25.479,5.678,0.205,0.229,55
0.996781,0.0032187,0,22.943,4.598,0.182,0.2,42
0.982513,0.0174874,0,22.687,3.518,0.147,0.214,50
0.999252,0.00074789,0,22.274,5.056,0.214,0.232,37
0.9995,0.000500478,0,21.248,4.916,0.215,0.253,35
0.997139,0.00286067,0,20.42,3.917,0.165,0.235,34
1.71E-16,1,0,141.214,17.623,0.069,0.266,65
0.999387,0.000612745,0,32.364,8.323,0.242,0.199,46
0.995698,0.00430191,0,28.727,6.161,0.189,0.226,44
0.998019,0.0019805,0,25.761,5.714,0.207,0.244,27
0.999438,0.000562206,0,25.562,6.258,0.221,0.238,36
0.999831,0.000168762,0,25.516,6.827,0.247,0.267,29
0.998946,0.00105371,0,24.668,5.583,0.21,0.191,54
0.998916,0.00108426,0,24.276,5.573,0.206,0.264,24
0.993549,0.00645108,0,23.726,4.529,0.167,0.204,39
0.999675,0.000325467,0,23.617,5.985,0.233,0.264,21
0.999569,0.000431015,0,22.452,5.41,0.215,0.25,35
0.99977,0.00023044,0,22.086,5.556,0.22,0.256,41
0.999258,0.000742473,0,22.025,5.125,0.206,0.276,16
0.995503,0.00449682,0,21.949,3.974,0.159,0.302,32
0.999189,0.000811414,0,21.236,4.899,0.196,0.241,23
0.983788,0.0162122,0,20.347,3.002,0.123,0.235,38
0,1,1,888.728,41.516,0.014,0.847,42
0,1,1,631.689,38.385,0.031,0.582,33
0.974626,0.0253742,0,28.018,4.893,0.128,0.285,50
0,1,1,433.153,26.642,0.023,0.735,40
0.995198,0.00480195,0,46.41,11.621,0.23,0.226,46
0.996834,0.00316601,0,35.062,8.262,0.221,0.203,49
0.996343,0.00365742,0,30.752,6.762,0.194,0.173,70
0.991731,0.00826901,0,25.978,5.083,0.175,0.257,23
0.998019,0.00198149,0,25.442,5.53,0.191,0.208,51
0.997104,0.00289634,0,23.848,4.749,0.177,0.304,33
0.996176,0.0038238,0,22.963,4.326,0.161,0.24,55
0.998742,0.0012576,0,22.259,4.794,0.187,0.304,24
0.997559,0.00244095,0,22.24,4.515,0.182,0.286,20
0.999915,8.47E-05,0,21.752,5.798,0.248,0.236,56
